AR	ASPD	ASPD_Opt	ATK	AddATK	AddATK_Opt	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BLK_Opt	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	CRT_Opt	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DblAttach	DeadDrop	DefEA	DefIP	DefIP_Opt	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireATK_Opt	FireIP	FireIP_Opt	GolemBane	GroupName	HPDrain	HPDrain_Opt	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceATK_Opt	IceIP	IceIP_Opt	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncHeal	IncINT	IncLegend	IncMHP	IncMSP	IncSTR	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LghtATK_Opt	LghtIP_Opt	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MediumBane	MetalBane	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	Option4ID	Option4MaxValue	Option4MinValue	OptionGroup	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyATK_Opt	PsyIP	PsyIP_Opt	RFIRE	RFIRE_Opt	RHP	RHP_Opt	RICE	RICE_Opt	RLGHT	RLGHT_Opt	RPSY	RPSY_Opt	RSP	RSTAT	RSTAT_Opt	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	SoftBane	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseAnim	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	99	0	999	0	0	None	0	None	0	None	0	None	0	None	0	atk_polearm1.wav	0	0	23	0	999	block_polearm.wav	hit_polearm1.wav	0	None	None	0	None	50	0	Weapon	<$>43947</>	Weapon_Polearm	<$>29641</>	10049	FrozenMarlinEX	Polearm	YES	0	0	FALSE	1	0	0	RH	999	<$>44058</>	999	5	-50	0	None	NormEqp	None	drop_polearm.wav	N/A	Dummy_R_HAND	N/A	N/A	N/A	Dummy_BACK_POL	TRUE	0	None	100	Legendary Frozen marlin	SH	None	None	2147483647	0	FALSE	it_w_frozenmarlin	999	0	0	0	999	Weapon	0	0	0	0	999	0	0	999	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29641</>	SYS_item_column_red	0	<$>44057</>	CTYPE	1.2	1000	999	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	3	Item_Leviathan	1	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31849</>	1	10049	1.1	None	0	0	0	Weapon	0	<$>44059</>	_NO	None	FALSE	999	None	TRUE	NO	Both	TRUE	TRUE	100	TRUE	55	1_4	0	0	0
0	50	0	444	0	0	None	0	None	0	None	0	None	0	None	0	atk_fist1.wav	0	0	20	0	0	block_knuckle.wav	hit_knuckle1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Knuckle	<$>29648</>	10051	ElementalKnuckle	Knuckle	YES	0	0	FALSE	1	0	0	RH	0	<$>44065</>	0	180	2	0	None	NormEqp	None	drop_bracelet.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_L_HAND	Dummy_R_HAND	TRUE	10	None	100	Knuckle of Three Kings	SH	None	None	2147483647	0	FALSE	it_w_knuckleofyeti	444	0	0	0	0	Weapon	0	0	0	0	0	0	0	444	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29648</>	SYS_item_column_red	0	<$>44064</>	ATYPE	1.4	1000	444	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	1	Item_Elek	1000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>44066</>	1	10051	2	None	150000	0	0	Weapon	0	<$>44067</>	_NO	None	FALSE	0	None	TRUE	NO	Both	TRUE	FALSE	100	TRUE	35	None	0	0	0
0	50	0	444	0	0	None	0	None	0	None	0	None	0	None	0	atk_kick1.wav	0	0	16	1	0	block_knuckle.wav	hit_kick1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Legguard	<$>29649</>	10052	ElementalLegguard	Leguard	NO	100	0	FALSE	1	0	0	RH	0	<$>44069</>	0	0	0	0	None	NormEqp	None	drop_bracelet.wav	Dummy_L_CALF	Dummy_L_CALF	N/A	N/A	Dummy_L_CALF	Dummy_L_CALF	TRUE	10	None	100	Leg-guard of Three Kings	SH	None	None	2147483647	0	FALSE	it_w_legguardofyeti	444	0	0	0	0	Weapon	0	0	0	0	0	0	0	444	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29649</>	SYS_item_column_red	0	<$>44068</>	ATYPE	1.4	1000	444	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	3	Item_Elek	1000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>44066</>	1	10052	2	None	150000	0	0	Weapon	0	<$>44070</>	_NO	None	FALSE	0	None	TRUE	NO	Both	TRUE	FALSE	100	TRUE	35	None	0	0	0
0	99	0	666	0	0	None	0	None	0	None	0	None	0	None	0	atk_rod1.wav	0	0	20	0	666	None	hit_rod1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Rod	<$>29652</>	10056	StaffofElemental	Rod	YES	0	0	FALSE	1	0	0	RH	666	<$>44083</>	666	-30	50	0	None	NormEqp	None	drop_staff.wav	N/A	Dummy_R_HAND	N/A	N/A	N/A	Dummy_R_HAND	TRUE	10	None	100	Staff of Three Kings	SH	None	None	2147483647	0	FALSE	it_w_dilosrod	666	0	0	0	666	Weapon	0	0	0	0	666	0	0	666	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29652</>	SYS_item_column_red	0	<$>44082</>	PSY	0	1000	666	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PSY	0	0	NO	7	Item_Elek	100000	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31909</>	1	10056	1	None	25000	0	0	Weapon	0	<$>92860</>	_ROD	None	FALSE	666	None	TRUE	NO	Both	TRUE	TRUE	100	TRUE	40	None	0	0	0
0	99	0	777	0	0	None	0	None	0	None	0	None	0	None	0	atk_crossbow1.wav	0	0	24	0	777	None	None	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Crossbow	<$>29651</>	10061	GrandCrossBow_Elite	CrossBow	NO	0	0	FALSE	1	10	0	RH	777	<$>44091</>	777	75	3	0	None	NormEqp	None	drop_rifle.wav	Dummy_L_HAND_RIFLE	Dummy_R_HAND_RIFLE	N/A	N/A	N/A	Dummy_BACK_RIFLE	TRUE	10	None	100	Crossbow of Three King	SH	None	None	2147483647	0	FALSE	it_w_silvercrossbow	777	0	0	0	777	Weapon	0	0	0	0	777	0	0	777	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29651</>	SYS_item_column_red	0	<$>44090</>	CTYPE	0	1000	777	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PSY	0	0	NO	5	Item_Elek	100000	0	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>44066</>	1	10061	2	None	25000	0	0	Weapon	0	<$>44092</>	_NO	None	FALSE	777	None	TRUE	NO	Both	TRUE	TRUE	100	TRUE	40	None	0	0	0
0	0	0	86	0	0	None	0	None	0	None	0	None	0	None	0	atk_rapier1.wav	0	0	27	0	0	None	hit_rapier1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Rapier	<$>29638</>	10201	Fleuret	Rapier	NO	0	0	FALSE	1	0	0	RH	0	<$>44143</>	0	-160	95	0	None	NormEqp	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	48	Fleuret	SH	None	None	2147483647	0	FALSE	it_w_fleuret	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29638</>	SYS_item_column_red	12	<$>44142</>	BTYPE	0.8	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	5	None	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31607</>	1	10201	1.5	None	3000	0	0	Weapon	0	<$>44144</>	_NO	None	TRUE	0	None	TRUE	NO	Both	TRUE	TRUE	48	TRUE	12	2_4	0	0	0
0	0	0	91	0	0	None	0	None	0	None	0	None	0	None	0	atk_rapier1.wav	0	0	27	0	0	None	hit_rapier1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Rapier	<$>29638</>	10202	EpeePra	Rapier	NO	0	0	FALSE	1	0	0	RH	0	<$>44143</>	0	-160	95	0	None	NormEqp	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	52	Epee for practice	SH	None	None	2147483647	0	FALSE	it_w_epee	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29638</>	SYS_item_column_red	13	<$>44145</>	BTYPE	0.8	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	5	None	19200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31472</>	1	10202	1.5	None	4800	0	0	Weapon	0	<$>43971</>	_NO	None	TRUE	0	None	TRUE	NO	Both	TRUE	TRUE	52	TRUE	13	2_4	0	0	0
0	0	0	97	0	0	None	0	None	0	None	0	None	0	None	0	atk_rapier1.wav	0	0	27	0	0	None	hit_rapier1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Rapier	<$>29638</>	10203	EpeeTra	Rapier	NO	0	0	FALSE	1	0	0	RH	0	<$>44143</>	0	-160	95	0	None	NormEqp	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	56	Epee for training	SH	None	None	2147483647	0	FALSE	it_w_epee	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29638</>	SYS_item_column_red	14	<$>44146</>	BTYPE	0.8	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	5	None	32400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31610</>	1	10203	1.5	None	8100	0	0	Weapon	0	<$>44147</>	_NO	None	TRUE	0	None	TRUE	NO	Both	TRUE	TRUE	56	TRUE	14	2_4	0	0	0
0	0	0	102	0	0	None	0	None	0	None	0	None	0	None	0	atk_rapier1.wav	0	0	27	0	0	None	hit_rapier1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Rapier	<$>29638</>	10204	RapierPra	Rapier	NO	0	0	FALSE	1	0	0	RH	0	<$>44143</>	0	-160	95	0	None	NormEqp	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	60	Rapier for practice	SH	None	None	2147483647	0	FALSE	it_w_rapier	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29638</>	SYS_item_column_red	15	<$>44148</>	BTYPE	0.8	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	5	None	57600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31582</>	1	10204	1.5	None	14400	0	0	Weapon	0	<$>43991</>	_NO	None	TRUE	0	None	TRUE	NO	Both	TRUE	TRUE	60	TRUE	15	2_4	0	0	0
0	0	0	108	0	0	None	0	None	0	None	0	None	0	None	0	atk_rapier1.wav	0	0	27	0	0	None	hit_rapier1.wav	0	None	None	0	None	0	0	Weapon	<$>43947</>	Weapon_Rapier	<$>29638</>	10205	RapierTra	Rapier	NO	0	0	FALSE	1	0	0	RH	0	<$>44143</>	0	-160	95	0	None	NormEqp	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	64	Rapier for duel	SH	None	None	2147483647	0	FALSE	it_w_rapier	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	<$>29638</>	SYS_item_column_red	16	<$>44149</>	BTYPE	0.8	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MELEE	0	0	NO	5	None	76800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31478</>	1	10205	1.5	None	19200	0	0	Weapon	0	<$>44150</>	_NO	None	TRUE	0	None	TRUE	NO	Both	TRUE	TRUE	64	TRUE	16	2_4	0	0	0
