ClassID	ClearWeek	Fraction	Group	Limit	LimitTime	TimeLimitCount
10001	0	SCP_USE_ZENIABOX_JPN	0	0	0	0
10002	1	None	10001	0	0	0
10003	1	None	10002	0	0	0
10004	1	None	10003	0	0	0
10005	1	None	10004	0	0	0
10006	1	None	10005	0	0	0
10007	1	None	10006	0	0	0
10008	1	None	10007	0	0	0
10009	1	None	10008	0	0	0
10010	1	None	10009	0	0	0
10011	1	None	10010	0	0	0
10012	1	None	10011	0	0	0
10013	1	None	10012	0	0	0
10014	1	None	10013	0	0	0
10015	1	None	10014	0	0	0
10016	1	None	10015	0	0	0
10017	1	None	10016	0	0	0
10018	0	SCP_USE_RALPHBOX_JPN_JPN	0	0	0	0
10019	1	None	10017	0	0	0
10020	1	None	10018	0	0	0
10021	1	None	10019	0	0	0
10022	1	None	10020	0	0	0
10023	1	None	10021	0	0	0
10024	1	None	10022	0	0	0
10025	1	None	10023	0	0	0
10026	1	None	10024	0	0	0
10027	1	None	10025	0	0	0
10028	1	None	10026	0	0	0
10029	1	None	10027	0	0	0
10030	1	None	10028	0	0	0
10031	1	None	10029	0	0	0
10032	1	None	10030	0	0	0
10033	1	None	10031	0	0	0
10034	1	None	10032	0	0	0
10035	1	None	10033	0	0	0
