ClassID	ClassName	Condition1	Condition2	Condition3	Condition4	Condition5	Condition6	Condition7	Condition8	Location1	Location2	Location3	Location4	Location5	Location6	Location7	Location8	Map1	Map2	Map3	Map4	Map5	Map6	Map7	Map8	Npc1	Npc2	Npc3	Npc4	Npc5	Npc6	Npc7	Npc8	QuestLv1	QuestLv2	QuestLv3	QuestLv4	QuestLv5	QuestLv6	QuestLv7	QuestLv8	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Scenario	StartMap	StartNpc	Title	TotalStage	Type	WarLocation1	WarLocation2	WarLocation3	WarLocation4	WarLocation5	WarLocation6	WarLocation7	WarLocation8
1	Quest_00001	<$>111685</>	<$>53487</>	<$>53490</>	None	None	None	None	None	<$>3976</>	<$>53486</>	<$>53488</>	None	None	None	None	None	reb_basic	reb_basic	reb_basic	None	None	None	None	None	NPC_REB_AIDE	chr_service	C1_REB_LINDEN	None	None	None	None	None	1	1	1	1	1	1	1	1	<$>27187</>	<$>13438</>	<$>195422</>	None	None	None	None	None	<$>111684</>	reb_basic	C1_REB_LINDEN	<$>29458</>	3	Msg	None	None	None	None	None	None	None	None
2	Quest_00002	None	None	None	None	None	None	None	None	<$>28797</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	C1_REB_LINDEN	None	None	None	None	None	None	None	8	0	1	1	1	1	1	1	<$>132162</>	None	None	None	None	None	None	None	<$>53491</>	reb_basic	C1_REB_LINDEN	<$>29460</>	1	Msg	btl_reb04 9620 -1739 4998	None	None	None	None	None	None	None
3	Quest_00003	None	None	None	None	None	None	None	None	<$>28797</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	C1_REB_LINDEN	None	None	None	None	None	None	None	10	0	1	1	1	1	1	1	<$>82509</>	None	None	None	None	None	None	None	<$>53494</>	reb_basic	C1_REB_LINDEN	<$>29461</>	1	Msg	btl_reb04 17 -48 4968	None	None	None	None	None	None	None
4	Quest_00004	<$>97830</>	<$>53499</>	None	None	None	None	None	None	<$>3976</>	<$>53488</>	None	None	None	None	None	None	reb_basic	reb_basic	None	None	None	None	None	None	NPC_REB_AIDE	C1_REB_LINDEN	None	None	None	None	None	None	12	12	1	1	1	1	1	1	<$>27187</>	<$>82510</>	None	None	None	None	None	None	<$>53497</>	reb_basic	C1_REB_LINDEN	<$>29462</>	2	Msg	None	None	None	None	None	None	None	None
5	Quest_00005	None	None	None	None	None	None	None	None	<$>54233</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	C1_REB_LINDEN	None	None	None	None	None	None	None	16	0	1	1	1	1	1	1	<$>82511</>	None	None	None	None	None	None	None	<$>125344</>	reb_basic	C1_REB_LINDEN	<$>124420</>	1	Msg	dun_alq01 -25257 18021 -399	None	None	None	None	None	None	None
6	Quest_00006	None	<$>125346</>	None	None	None	None	None	None	<$>47443</>	<$>1293</>	None	None	None	None	None	None	reb_basic	coim_basic	None	None	None	None	None	None	C1_REB_LINDEN	C1_COIM_NUNEZ	None	None	None	None	None	None	18	20	1	1	1	1	1	1	<$>82969</>	<$>13438</>	None	None	None	None	None	None	<$>125345</>	reb_basic	C1_REB_LINDEN	<$>29464</>	2	Msg	dun_alq03 - -	None	None	None	None	None	None	None
10	Quest_00010	<$>125347</>	<$>125348</>	<$>53511</>	None	None	None	None	None	<$>3976</>	<$>47402</>	<$>3976</>	None	None	None	None	None	reb_basic	dun_jaq05	reb_basic	None	None	None	None	None	C1_REB_LINDEN	JAQ_UNDER_GATE_OPEN	C1_REB_LINDEN	None	None	None	None	None	120	120	120	1	1	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	None	None	None	None	None	<$>53507</>	None	None	<$>53506</>	3	Scout	None	None	None	None	None	None	None	None
11	Quest_00011	<$>93667</>	<$>93668</>	<$>93669</>	None	None	None	None	None	<$>3976</>	<$>3976</>	<$>3976</>	None	None	None	None	None	reb_basic	reb_basic	reb_basic	None	None	None	None	None	PIONEER_PROMOTION_C	PIONEER_PROMOTION_A	PIONEER_PROMOTION_B	None	None	None	None	None	12	12	12	1	1	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	None	None	None	None	None	<$>93666</>	None	None	<$>93665</>	3	Choice	reb_basic 3034 161	reb_basic 3242 312	reb_basic 3445 445	None	None	None	None	None
12	Quest_00012	<$>93673</>	None	None	None	None	None	None	None	<$>3976</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	PIONEER_PROMOTION_C	None	None	None	None	None	None	None	12	0	1	1	1	1	1	1	<$>93672</>	None	None	None	None	None	None	None	<$>93671</>	None	None	<$>93670</>	1	Choice	reb_basic 3242 312 reb_basic 3445 445 reb_basic 3034 161	None	None	None	None	None	None	None
13	Quest_00013	<$>111688</>	None	None	None	None	None	None	None	<$>1293</>	None	None	None	None	None	None	None	coim_basic	None	None	None	None	None	None	None	COIM_ITEM1	None	None	None	None	None	None	None	110	0	0	1	1	1	1	1	<$>27187</>	None	None	None	None	None	None	None	<$>111687</>	None	None	<$>111686</>	1	Choice	None	None	None	None	None	None	None	None
