ClassID	ClassName	ItemOption	ItemSocket	ItemType	Reinforce
2	ELB_Wizard	I 19001 10 19009 5 19003 10	I 13018 13026 13026	64522	6
3	ELB_Scout	I 18001 10 18009 5 18003 10	I 13018 13026 13026	64532	6
4	ELB_Warlock	I 19001 10 19009 5 19003 10	I 13018 13026 13026	64552	6
5	ELB_Fighter	I 18001 10 18009 5 18003 10	I 13018 13026 13026	64512	6
6	ELB_Muskeet	I 19001 10 19009 5 19003 10	I 13018 13026 13026	64542	6
7	ESB_Fighter	I 18001 10 18009 5 18003 10	I 13018 13026 13026	64205	6
8	Glove_All	I 102 15 201 10	None	19115	0
9	Glove_Leather	I 21003 10 102 15 201 10	None	19116	0
10	RoseWing	None	None	41211	0
11	Glass_FGT_M	None	None	18523	0
12	Glass_FGT_F	None	None	18524	0
13	Glass_WZD_M	None	None	18525	0
14	Glass_WZD_F	None	None	18526	0
15	Glass_SCT_M	None	None	18527	0
16	Glass_SCT_F	None	None	18528	0
17	Glass_MSK_M	None	None	18529	0
18	Glass_MSK_F	None	None	18530	0
19	Glass_WLK_M	None	None	18531	0
20	Glass_WLK_F	None	None	18532	0
21	Shoes_All	I 22001 10 22002 15	None	19514	0
22	Shoes_Leather	I 22001 10 22002 15 22004 10	None	19515	0
23	Belt_Metal	I 42001 800 42002 5 42003 1	None	45009	0
24	Belt_Ltr_STR	I 42001 800 42002 5 42003 2	None	45008	0
25	Belt_Ltr_DEX	I 42001 800 42002 5 42006 2	None	45008	0
26	Belt_Ltr_CON	I 42001 800 42002 5 42005 2	None	45008	0
27	Belt_All_INT	I 42001 800 42002 5 42007 2	None	45007	0
28	Belt_All_CON	I 42001 800 42002 5 42005 2	None	45007	0
29	ArtBelt_Metal	I 42009 1800 42010 8 42011 2	None	45012	0
30	ArtBelt_Ltr_STR	I 42009 1800 42010 8 42011 2	None	45011	0
31	ArtBelt_Ltr_DEX	I 42009 1800 42010 8 42014 2	None	45011	0
32	ArtBelt_Ltr_CON	I 42009 1800 42010 8 42013 2	None	45011	0
33	ArtBelt_All_INT	I 42009 1800 42010 8 42015 2	None	45010	0
34	ArtBelt_All_CON	I 42009 1800 42010 8 42013 2	None	45010	0
35	EAR_CON	I 44101 800 44005 1	None	46014	0
36	EAR_STR	I 44101 1800 44003 2	None	46014	0
37	EAR_DEX	I 44101 1800 44006 2	None	46014	0
38	EAR_INT	I 44101 1800 44007 2	None	46014	0
39	Ring_Darkness	None	None	16607	0
40	Ring_Enhance	None	None	16611	0
41	Ring_Flin	None	None	16595	0
42	Ring_Flin_R	None	None	16604	0
43	Ring_Magic	None	None	16608	0
44	Ring_Nar	None	None	16598	0
45	Ring_Lunatic	None	None	16610	0
46	Ring_Asoka	None	None	16615	0
47	Ring_Torsche	None	None	16616	0
49	Rosario	I 43001 5	None	3223	4
50	Rapier_32	I 14001 40 14002 25	I 13021 13021 13021	60209	6
51	Sabre_30	I 14001 40 14002 25	I 13021 13021 13021	60306	6
52	EliteFire	I 15001 40 15002 25	I 13021 13021 13021	62305	6
55	Neck_Melee_CON	I 41201 1800 41205 2	None	15294	0
56	Neck_Melee_STR	I 41201 1800 41203 2	None	15294	0
57	Neck_Melee_DEX	I 41201 1800 41206 2	None	15294	0
58	Neck_Shoot_CON	I 41201 1800 41205 2	None	15295	0
59	Neck_Shoot_INT	I 41201 1800 41207 2	None	15295	0
60	Art_EAR_CON	I 44101 1800 44105 2	None	46015	0
61	Art_EAR_STR	I 44101 1800 44103 2	None	46015	0
62	Art_EAR_DEX	I 44101 1800 44106 2	None	46015	0
63	Art_EAR_INT	I 44101 1800 44107 2	None	46015	0
64	Art_Shoes_All	I 46007 800 46008 8 46009 12	None	19520	0
65	Art_Shoes_Leather	I 46004 800 46005 8 46006 12	None	19519	0
67	Rosario_100	I 43001 5	None	3223	4
70	Fire_100	I 15001 40 15002 25	I 13021 13021 13021	62306	6
100	LB_Wizard	I 19001 10 19009 5 19003 10	I 13018 13026 13026	64521	6
101	LB_Scout	I 18001 10 18009 5 18003 10	I 13018 13026 13026	64531	6
102	LB_Warlock	I 19001 10 19009 5 19003 10	I 13018 13026 13026	64551	6
103	LB_Fighter	I 18001 10 18009 5 18003 10	I 13018 13026 13026	64511	6
104	LB_Muskeet	I 19001 10 19009 5 19003 10	I 13018 13026 13026	64541	6
105	SB_Fighter	I 18001 10 18009 5 18003 10	I 13018 13026 13026	64204	6
106	Ring_Enhance_2	I 47201 1000 47203 3 47204 2	None	116611	0
107	Ring_Flin_2	I 47101 1000 47103 3 47104 2	None	116595	0
108	Ring_Flin_R_2	I 47101 1000 47103 3 47104 2	None	116604	0
109	Ring_Magic_2	I 47201 1000 47203 3 47204 2	None	116608	0
110	Ring_Nar_2	I 47001 1000 47003 3 47004 2	None	116598	0
111	Ring_Lunatic_2	I 47201 1000 47203 3 47204 2	None	116610	0
112	Ring_Asoka_2	I 47001 1000 47003 3 47004 2	None	116615	0
113	Ring_Torsche_2	I 47001 1000 47003 3 47004 2	None	116616	0
114	Art_Glove_All	I 45011 1000 45013 8 45014 12	None	19121	0
115	Art_Glove_Leather	I 45006 1000 45008 8 45009 12 45010 8	None	19120	0
116	Staff_30	I 14001 40 14002 25	I 13021 13021 13021	62205	6
117	Staff_32	I 14001 40 14002 25	I 13021 13021 13021	62206	6
118	Sword_30	I 12001 40 12002 25	I 13021 13021 13021	60107	6
119	Sword_32	I 12001 40 12002 25	I 13021 13021 13021	60112	6
120	Rapier_30	I 14001 40 14002 25	I 13021 13021 13021	60205	6
121	Sabre_32	I 14001 40 14002 25	I 13021 13021 13021	60310	6
122	THSword_30	I 12001 40 12002 25	I 13021 13021 13021	60407	6
123	THSword_32	I 12001 40 12002 25	I 13021 13021 13021	60413	6
124	Polearm_30	I 14001 40 14002 25	I 13021 13021 13021	60507	6
125	Polearm_32	I 14001 40 14002 25	I 13021 13021 13021	60511	6
126	Dagger_30	I 12001 40 12002 25	I 13021 13021 13021	60606	6
127	Dagger_32	I 12001 40 12002 25	I 13021 13021 13021	60611	6
128	Pistol_30	I 13001 40 13002 25	I 13021 13021 13021	61006	6
129	Pistol_32	I 13001 40 13002 25	I 13021 13021 13021	61010	6
130	Rifle_30	I 13001 40 13002 25	I 13021 13021 13021	61107	6
131	Rifle_32	I 13001 40 13002 25	I 13021 13021 13021	63204	6
132	Shotgun_30	I 13001 40 13002 25	I 13021 13021 13021	61205	6
133	Shotgun_32	I 13001 40 13002 25	I 13021 13021 13021	61206	6
134	Cannon_30	I 13001 40 13002 25	I 13021 13021 13021	61304	6
135	Cannon_32	I 13001 40 13002 25	I 13021 13021 13021	61305	6
136	Shield_30	I 20001 5 20005 10	None	61906	6
137	Shield_32	I 20001 5 20005 10	None	61910	6
138	Knuckle_30	I 12001 40 12002 25	I 13021 13021 13021	60803	6
139	Knuckle_32	I 12001 40 12002 25	I 13021 13021 13021	60808	6
140	Leguard_30	I 12001 40 12002 25	I 13021 13021 13021	60904	6
141	Leguard_32	I 12001 40 12002 25	I 13021 13021 13021	60908	6
142	Lute_30	I 14001 40 14002 25	I 13021 13021 13021	62702	6
143	Lute_32	I 14001 40 14002 25	I 13021 13021 13021	62703	6
144	CrossBow_30	I 25001 40 25002 25	I 13021 13021 13021	62802	6
145	CrossBow_32	I 25001 40 25002 25	I 13021 13021 13021	62803	6
146	Rod_30	I 14001 40 14002 25	I 13021 13021 13021	62107	6
147	Rod_32	I 14001 40 14002 25	I 13021 13021 13021	62108	6
148	ROR_30	None	None	0	0
149	ROR_32	None	None	0	0
150	FireBrc_30	I 16001 40 16002 25	I 13021 13021 13021	62306	6
151	FireBrc_32	I 16001 40 16002 25	I 13021 13021 13021	62307	6
152	IceBrc_30	I 16001 40 16002 25	I 13021 13021 13021	62406	6
153	IceBrc_32	I 16001 40 16002 25	I 13021 13021 13021	62407	6
154	LghtBrc_30	I 16001 40 16002 25	I 13021 13021 13021	62506	6
155	LghtBrc_32	I 16001 40 16002 25	I 13021 13021 13021	62507	6
156	MainG_30	I 12001 40 12002 25	I 13021 13021 13021	60704	6
157	MainG_32	I 12001 40 12002 25	I 13021 13021 13021	60705	6
158	Blunt_30	I 12001 40 12002 25	I 13021 13021 13021	63003	6
159	Blunt_32	I 12001 40 12002 25	I 13021 13021 13021	63004	6
160	Javelin_30	I 12001 40 12002 25	I 13021 13021 13021	63103	6
161	Javelin_32	I 12001 40 12002 25	I 13021 13021 13021	63104	6
162	Bayonet_30	I 13001 40 13002 25	I 13021 13021 13021	63203	6
163	Bayonet_32	I 13001 40 13002 25	I 13021 13021 13021	63204	6
164	Tool_30	I 23002 1	I 13021	3211	6
165	Tool_32	I 23002 2	I 13021	3211	6
166	Controller_30	I 23002 1	I 13021	3215	6
167	Controller_32	I 23002 2	I 13021	3215	6
168	Pendant_30	I 23002 1	I 13021	3219	6
169	Pendant_32	I 23002 2	I 13021	3219	6
170	Rosario_30	I 43001 5 43005 5	None	3223	6
171	Rosario_32	I 43001 5 43005 10	None	3223	6
172	BoneBrc_30	I 14001 40 14002 25	I 13021 13021 13021	13267	6
173	BoneBrc_32	I 14001 40 14002 25	I 13021 13021 13021	13267	6
174	Huntgun_30	I 13001 40 13002 25	I 13021 13021 13021	61206	6
175	Huntgun_32	I 13001 40 13002 25	I 13021 13021 13021	61206	6
176	ArmShield_30	I 26001 5 26002 10 26003 8	None	11917	6
177	ArmShield_32	I 26001 5 26002 10 26003 8	None	11917	6
178	ElemBrc_30	I 14001 40 14002 25	I 13021 13021 13021	62601	6
179	ElemBrc_32	I 14001 40 14002 25	I 13021 13021 13021	62603	6
180	Crescent_30	I 12001 40 12002 25	I 13021 13021 13021	62901	6
181	Crescent_32	I 12001 40 12002 25	I 13021 13021 13021	62902	6
182	Tonfa_30	I 12001 40 12002 25	I 13021 13021 13021	62951	6
183	Tonfa_32	I 12001 40 12002 25	I 13021 13021 13021	62952	6
200	Ring_Darkness_2	I 47201 1000 47203 3 47204 2	None	116607	0
201	Ring_DuelBlaster_2	I 47101 1000 47103 3 47104 2	None	116618	0
202	Ring_HangingGuard_2	I 47001 1000 47003 3 47004 2	None	116593	0
203	Ring_EpeeGarde2_2	I 47001 1000 47003 3 47004 2	None	116506	0
204	Ring_MasterMartialArts_2	I 47001 1000 47003 3 47004 2	None	116606	0
205	Ring_Prelude_2	I 47201 1000 47203 3 47204 2	None	116614	0
206	Ring_ShadowSting_2	I 47101 1000 47103 3 47104 2	None	116630	0
207	Ring_DemolitionBurst2_2	I 47101 1000 47103 3 47104 2	None	116613	0
208	Ring_Gorgeous_2	I 47001 1000 47003 3 47004 2	None	116597	0
209	Ring_Innocentio_2	I 47201 1000 47203 3 47204 2	None	116624	0
210	Ring_Croisement_2	I 47101 1000 47103 3 47104 2	None	116631	0
211	Ring_Rapiere2_2	I 47101 1000 47103 3 47104 2	None	116600	0
212	Ring_EnhancedTactics2_2	I 47201 1000 47203 3 47204 2	None	116611	0
213	Ring_TronadaCruz_2	I 47001 1000 47003 3 47004 2	None	116626	0
214	Ring_Rapiere_2	I 47001 1000 47003 3 47004 2	None	116592	0
215	Ring_RapidaEspada_2	I 47001 1000 47003 3 47004 2	None	116590	0
216	ArmShield	I 26001 5 26002 10 26004 1	None	11917	6
217	Ring_Wanted_2	I 47101 1000 47103 3 47104 2	None	116639	0
218	Ring_UnlimitedShot_2	I 47101 1000 47103 3 47104 2	None	116633	0
219	Ring_Equites_2	I 47001 1000 47003 3 47004 2	None	116591	0
220	Ring_Telekinesis_2	I 47201 1000 47203 3 47204 2	None	116641	0
300	Amuse_Weapon_1	None	None	63218	0
301	Amuse_Costume_1	None	None	180062	0
302	Amuse_Weapon_2	None	None	13304	0
303	Amuse_Costume_2	None	None	42131	0
304	Amuse_Hair_2	None	None	17405	0
305	Amuse_Weapon_3	None	None	10013	0
306	Amuse_Costume_3	None	None	180012	0
307	Amuse_Hair_3	None	None	170029	0
308	Amuse_Weapon_5	None	None	3001	0
309	Amuse_Costume_5	None	None	42215	0
310	Amuse_Hair_5	None	None	17298	0
311	Amuse_Weapon_4	None	None	11001	0
312	Olivia_Weapon_6_1	I 110001 100 110002 40 110003 30 110004 5 110033 5	None	430003	7
313	Olivia_Weapon_6_2	I 110001 100 110002 40 110003 30 110004 5 110033 5	None	430001	7
314	Olivia_Armor_6	I 18010 3 18001 20	None	470001	7
315	Kess_Weapon_7_1	I 110001 100 110002 40 110003 30 110004 5 110033 5	None	430002	7
316	Kess_Weapon_7_2	I 110001 100 110002 40 110003 30 110004 5 110033 5	None	430004	7
317	Kess_Armor_7	I 19010 3 19001 20	None	470002	7
318	Neolith_Weapon_13	I 100015 50 100016 30  100017 15  100022 100 100024 100 100027 15	I 13013 13013 13013	430005	13
319	Neolith_Armor_13	I 100124 25 100128 20 100130 30 100131 15	I 13026 13026 13026	470003	13
320	Neolith_Ear	I 100150 3500 100151 150 100152 4	None	440001	0
321	Neolith_Neck	I 100158 3500 100159 300 100160 4	None	445001	0
322	Neolith_Glove	I 100166 2500 100167 100 100168 10 100169 20 100170 20	None	450001	0
323	Neolith_Belt	I 100171 3500 100172 15 100173 4	None	455001	0
324	Neolith_Boot	I 100179 3000 100180 10 100181 20 100182 20	None	475001	0
325	Veil_Weapon_7_1	I 111018 50 111019 30 111021 20 111026 50 111028 100 111033 5	None	430006	7
326	Veil_Weapon_7_2	I 111018 50 111019 30 111021 20 111026 50 111027 100 111033 5	None	430006	7
327	Veil_Armor_7	I 19010 3 19001 20	None	470002	7
328	Eduardo_Weapon_7_1	I 110001 100 110002 40 110003 30 110004 5 110033 5	None	430007	7
329	Eduardo_Weapon_7_2	I 110001 100 110002 40 110003 30 110004 5 110033 5	None	430008	7
330	Eduardo_Armor_7	I 19010 3 19001 20	None	470004	7
331	Amuse_Weapon_8	None	None	430009	0
332	CustomGrace_Weapon_8	I 110001 100 110002 40 110003 30 110011 100 110004 5 110033 5	None	430010	7
333	CustomGrace_Armor_8	I 19010 3 19001 20	None	470002	7
334	Nena_Weapon_7	I 100015 40 100016 30  100017 15  100023 90	I 13013 13013 13013	430011	7
335	Nena_Armor_7	I 18001 20 18010 3 	None	470004	7
336	Serious_Weapon_7_1	I 111018 50 111019 30 111038 20 111026 50 111027 100 111030 5 	I 13013 13013 13013	430012	7
337	Serious_Weapon_7_2	None	None	430013	7
338	Serious_Armor_7	I 18001 20 18010 3 	None	470004	7
339	Laura_Weapon	I 113020 50 113021 30 113033 5	None	430014	7
340	Patrick_Armor	I 18001 20 18003 20 18009 25 18010 3	I 13026 13026 13026	470004	7
341	Patrick_Weapon	I 113001 50 113002 30 113003 10 113013 5 113014 5	I 13013 13013 13013	430015	7
342	Leonele_Weapon_1	None	None	7001	0
343	Leonele_Weapon_2	None	None	7021	0
344	Leonele_Armor	I 120070 30	None	15003	0
345	Roreta_Armor	None	None	470004	7
346	Roreta_Weapon	None	None	430016	7
347	Gracielo_Weapon_7_1	None	None	430017	7
348	Gracielo_Weapon_7_2	None	None	430018	7
349	Van_Weapon	I 113040 50 113046 100 113049 5 113054 5	None	7327	7
350	Van_Armor	I 112012 15 112020 5 112021 10000 112022 3	None	64739	7
351	Van_Ring	None	None	19017	0
352	ArmFgt_Weapon_1	I 113001 50 113010 100 113013 5 113014 5	None	7316	7
353	ArmFgt_Weapon_2	I 113104 5 113109 15 113112 25 113115 5	None	7326	7
354	ArmFgt_Armor	I 112001 20 112009 5 112010 10000 112011 3	None	64740	7
355	ArmFgt_Ring	None	None	19015	0
356	Anies_Weapon	I 120095 5 120096 10 120099 1	None	3224	7
357	Anies_Armor	I 112012 15 112020 5 112021 10000 112022 3	None	64739	7
358	Anies_Ring	None	None	19016	0
359	Leona_Armor	I 18001 20 18003 20 18009 25 18010 3	I 13026 13026 13026	470004	7
360	Leona_Weapon_1	I 113001 50 113002 30 113003 10 113013 5 113014 5	I 13013 13013 13013	430019	7
361	Leona_Weapon_2	I 113001 50 113002 30 113003 10 113013 5 113014 5	I 13013 13013 13013	430020	7
362	Leona_Ring_1	None	None	150001	0
363	Leona_Ring_2	None	None	150002	0
364	Judith_Armor	I 18001 20 18003 20 18009 25 18010 3	I 13026 13026 13026	470004	7
365	Judith_Weapon_1	I 1001 40 1002 30 1019 5 1015 3	I 13021 13021 13021	430021	7
366	Judith_Ring_1	None	None	150003	0
367	Lynn_Weapon_1	I 1001 40 1002 30 1015 3 2015 100	I 13021 13021 13021	13302	10
368	Lynn_Ring_1	None	None	150004	0
369	Sherlin_Ring_1	None	None	150005	0
370	Sherlin_Armor	I 18001 15 18003 20 18009 25 18010 3	I 13026 13026 13026	470005	0
371	Sherlin_Weapon_1	I 113001 50 113002 30  113032 100	I 13013 13013 13013	430022	0
372	Lynn_Weapon_2	I 1001 40 1002 30 1015 3 2011 100	I 13021 13021 13021	13302	10
373	Diertrich_Weapon	I 113001 50 113002 30 113003 10 113013 5 113014 5	I 13013 13013 13013	430023	10
374	Diertrich_Ring_1	None	None	150006	0
375	Vendetta_Weapon	I 100015 40 100016 25  100017 15 100022 80 100025 80 100026 80	I 13013 13013 13013	430024	7
376	Vendetta_Armor	I 100098 10 100104 15 100105 15	I 13026 13026 13026	470006	7
377	Vendetta_Ring_1	None	None	150007	0
378	Vendetta_Ear	I 100150 3500 100151 150 100152 4	None	440001	0
379	Vendetta_Neck	I 100158 3500 100159 300 100160 4	None	445001	0
380	Vendetta_Glove	I 100166 2500 100167 100 100168 5 100169 20 100170 20	None	450001	0
381	Vendetta_Belt	I 100171 3500 100172 10 100173 4	None	455001	0
382	Vendetta_Boot	I 100179 3000 100180 10 100181 20	None	475001	0
383	Liung_Weapon1	I 100015 40 100016 25  100017 15 100022 80	I 13013 13013 13013	430025	0
384	Liung_Weapon2	I 100087 40 100088 25 100090 40 100092 80	I 13013 13013 13013	430026	0
385	Liung_Ring_1	None	None	150008	0
386	Liung_Armor_13	I 100124 25 100128 20 100130 30 100131 15	I 13026 13026 13026	470007	13
387	Freeday_Weapon1	I 100015 50 100016 25 	I 13013 13013 13013	430027	7
388	Freeday_Ring_1	None	None	150009	0
389	Freeday_Armor	I 100098 10 100104 15 100105 15	I 13026 13026 13026	470006	9
390	Freeday_Ear	I 100150 3500 100151 150 100156 4	None	440001	0
391	Freeday_Neck	I 100158 3500 100159 300 100164 4	None	445001	0
392	Freeday_Glove	I 100166 2500 100167 100 100168 5 100169 20 100170 20	None	450001	0
393	Freeday_Belt	I 100171 3500 100172 10 100177 4	None	455001	0
394	Freeday_Boot	I 100179 3000 100180 10 100181 20	None	475001	0
395	Spirit_Weapon1	I 100015 50 100016 25 100058 10 100059 100 	I 13013 13013 13013	430028	8
396	Spirit_Weapon2	I 100054 50 100055 25 100058 10 100059 100 	I 13013 13013 13013	430028	8
397	Spirit_Ring_1	None	None	150010	0
398	Vernier_Earring	I 130301 50000	None	500105	10
399	Armonia_LeatherFGT	I 130201 20 130203 10 	None	64735	10
400	ArmoniaIceBrc	I 113072 30 113073 20 	I 13013 13013 13013	7311	10
402	Kei_Weapon1	I 100015 40 100016 25  100017 15	I 13013 13013 13013	430029	7
403	Kei_Ring_1	I 47001 1000 47003 3 47004 2	None	150011	0
404	Kei_Ring_2	None	None	150012	0
405	Kei_Armor	I 112012 15 112020 5 112021 10000 112022 3	I 13026 13026 13026	470008	9
406	Kei_Ear	I 100150 3500 100151 150 100152 4	None	440002	0
407	Kei_Neck	I 100158 3500 100159 300 100160 4	None	445002	0
408	Kei_Glove	I 100166 2500 100167 100 100168 5 100169 20 100170 20	None	450002	0
409	Kei_Belt	I 100171 3500 100172 10 100173 4	None	455002	0
410	Kei_Boot	I 100179 3000 100180 10 100181 20	None	475002	0
411	Ring_Rapiere2_Custom	None	None	150013	0
412	Claude_Weapon_9	I 100015 50 100016 30  100017 15  100022 100 100024 100 100027 15	I 13013 13013 13013	430011	9
413	Claude_Ring_1	None	None	116626	9
414	Ring2_TronadaCruz_Custom	None	None	150014	0
415	Ring2_Grave_Custom	None	None	150015	0
416	Archbishop_Book_1	I 100015 50 100011 100 14005 80 40003 15 122548 5	None	430030	8
417	Archbishop_Robe	I 116001 15 116009 8 116010 15000 116011 3	None	470009	8
418	Archbishop_Belt	I 117022 4000 117023 15 117028 5 117029 5	None	455003	10
419	Archbishop_Boots	I 117030 3500 117031 10 117032 20 117033 20	None	475006	10
420	Archbishop_Gloves	I 117017 3000 117018 150 117019 10 117020 20	None	450003	10
421	Ring1_Trust_Custom	None	None	150016	10
422	Orden_Earring_10add_Custom	None	None	440003	10
423	CharlotNeck_10add_Custom	None	None	445003	10
500	CustomWizard_Armor	I 100104 20	None	15003	0
501	CustomWizard_Weapon1	None	None	7220	0
502	CustomWizard_Costume_1	None	None	42081	0
