ATK1	ATK10	ATK2	ATK3	ATK4	ATK5	ATK6	ATK7	ATK8	ATK9	ClassID	ClassName	Lv100Price	Lv110Price	Lv120Price	Lv12Price	Lv130Price	Lv140Price	Lv150Price	Lv16Price	Lv1Price	Lv20Price	Lv24Price	Lv28Price	Lv32Price	Lv36Price	Lv40Price	Lv44Price	Lv48Price	Lv52Price	Lv56Price	Lv60Price	Lv64Price	Lv68Price	Lv72Price	Lv76Price	Lv80Price	Lv84Price	Lv88Price	Lv8Price	Lv92Price	Lv96Price
3	10	3	3	3	4	5	6	7	8	1	Sword	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
3	8	3	3	3	4	4	5	6	7	2	Rapier	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	13	4	4	4	5	6	7	9	11	3	Sabre	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	16	5	5	5	6	8	10	12	14	4	THSword	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	11	5	5	5	6	6	6	7	9	5	Blunt	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	10	5	5	5	6	6	7	8	9	6	Javelin	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	14	5	5	5	6	8	9	10	12	7	Polearm	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	7	2	2	2	3	3	4	5	6	8	Dagger	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	7	2	2	2	3	3	4	5	6	9	MainG	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	7	2	2	2	3	3	4	5	6	10	Knuckle	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	6	2	2	2	3	3	3	4	5	11	Leguard	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	12	Pistol	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	15	5	5	5	6	7	9	11	13	13	Rifle	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	14	Shotgun	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
7	21	7	7	7	8	10	12	15	18	15	Cannon	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
3	13	3	3	3	3	4	7	9	11	16	Rod	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
3	13	3	3	3	3	4	7	9	11	17	Staff	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	18	FireBrc	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	19	IceBrc	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	20	LghtBrc	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	21	ElemBrc	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	22	BoneBrc	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	23	Lute	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	14	5	5	5	6	7	8	10	12	24	CrossBow	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	17	5	5	5	7	9	11	13	15	25	Crescent	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	8	2	2	2	3	4	5	6	7	26	Tonfa	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	10	4	4	4	5	6	7	8	9	27	Book	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	16	5	5	5	6	8	10	12	14	29	HeavyRifle	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	3	1	1	1	2	2	2	3	3	101	Shield	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
0	0	0	0	0	0	0	0	0	0	102	Tool	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
0	0	0	0	0	0	0	0	0	0	103	Controller	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
0	0	0	0	0	0	0	0	0	0	104	Pendant	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	3	1	1	1	2	2	2	3	3	105	ArmShield	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	1	1	1	1	1	1	1	1	1	106	Rosario	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	10	1	1	1	2	3	4	6	8	201	Leather	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	10	1	1	1	2	3	4	6	8	202	LeatherFGT	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	10	1	1	1	2	3	4	6	8	203	LeatherSCT	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	9	1	1	1	2	3	5	7	8	204	Metal	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	9	1	1	1	2	3	4	5	7	205	Coat	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	9	1	1	1	2	3	4	5	7	206	CoatWIZ	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	9	1	1	1	2	3	4	5	7	207	CoatMUS	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	9	1	1	1	2	3	4	5	7	208	Robe	134000	188000	264000	78	360000	500000	700000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
1	1	1	1	1	1	1	1	1	1	301	CosALL	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	302	CosAle	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	303	CosAdel	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	304	CosAng	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	305	CosAngie	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	306	CosAnia	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	307	CosAven	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	308	CosBackho	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	309	CosBoys	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	310	CosBru	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	311	CosCal	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	312	CosCathe2	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	313	CosCathe	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	314	CosClair	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
1	1	1	1	1	1	1	1	1	1	315	CosCoat	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
