ApplyTime	AttachEffectIndex	BodyColor	BuffRank	BuffType	Category	ChangeDefLayer	ClassID	ClassName	CookBuffPoint	Desc	ElapsedSeconds	Emitter	EmitterLoop	Emoticon	EscHitCount	Eventbuff	ExGroupIndex	GroupIndex	HitCount	HoldAttack	HoldItem	HoldMove	HoldSkill	IgnoreMagicalSkill	IgnoreNormalHit	IgnorePhysicalSkill	IgnoreTargetting	Invisible	Name	PartReveal	Particle	Partybuffpoint	Position	Range	Save	ShowDetailInfoToOther	TargetParticle	ToolTip	Unremovable	UpdateType	WeaponTail
0	None	None	0	None	debuff	0	1	Poison	0	Poison	0	None	NO	None	0	NO	None	1	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27603</>	FALSE	Buff_Poison	0	Top	0	FALSE	TRUE	None	<$>27604</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	2	Fear	0	Fear	0	None	NO	None	0	NO	None	1	0	YES	NO	NO	YES	NO	NO	NO	NO	NO	<$>27605</>	FALSE	Buff_Fear	0	Top	0	FALSE	TRUE	None	<$>95985</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	3	Stun	0	Stun	0	Buff_Stun	YES	None	0	NO	None	1	0	YES	YES	YES	YES	NO	NO	NO	NO	NO	<$>27607</>	FALSE	None	0	Top	0	FALSE	TRUE	None	<$>27608</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	4	Ritardi	0	Ritardi	0	None	NO	None	0	NO	None	1	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27609</>	FALSE	Buff_Ritardi	0	Top	0	FALSE	TRUE	None	<$>95986</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	5	MagicalPiercing	0	LowResist	0	None	NO	None	0	NO	None	1	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27611</>	FALSE	Buff_LowResist	0	Middle	0	FALSE	TRUE	None	<$>95987</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	6	Blind	0	Blind	0	None	NO	Buff_Blind	0	NO	None	1	0	NO	YES	NO	NO	NO	NO	NO	NO	NO	<$>27613</>	FALSE	None	0	None	0	FALSE	TRUE	None	<$>95988</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	7	Sandmann	0	Sleep	0	None	NO	Buff_Sleep	0	YES	None	1	0	YES	YES	YES	YES	NO	NO	NO	NO	NO	<$>27615</>	FALSE	None	0	None	0	FALSE	TRUE	None	<$>95989</>	YES	SCRIPT	None
0	None	None	0	None	debuff	-1	8	Provoke	0	Provoke	0	None	NO	None	0	NO	None	1	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27617</>	FALSE	None	0	None	0	FALSE	TRUE	None	<$>27618</>	YES	NORMAL	None
0	None	None	0	None	debuff	0	9	Apocalypse	0	Apocalypse	0	None	NO	None	0	NO	None	1	0	NO	NO	NO	YES	NO	NO	NO	NO	NO	<$>27619</>	FALSE	None	0	None	0	FALSE	TRUE	None	<$>27620</>	YES	NORMAL	None
0	None	FF888888	0	None	debuff	0	10	DispellMagic	0	SPBurn	0	None	NO	None	0	NO	G 701	1	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27621</>	FALSE	None	0	None	0	FALSE	TRUE	None	<$>105587</>	YES	NORMAL	None
