ArmorWLv	BoosterLv	BoosterOption	ClassID	ClassName	IsDefault	IsPeriod	ItemID	WeaponWLv
R 0-40	1	None	1	Redmercury_10_Event	0	TRUE	211001	R 0-41 55
R 0-40	1	None	2	Redmercury_10	0	TRUE	211002	R 0-41 55
R 0-40	1	None	3	Redmercury_20_Event	0	TRUE	211003	R 0-41 55
R 0-40	1	None	4	Redmercury_20	0	TRUE	211004	R 0-41 55
R 0-40	1	None	5	Redmercury_5_Event	0	TRUE	211005	R 0-41 55
R 0-40	1	None	6	Redmercury_5	0	TRUE	211006	R 0-41 55
R 0-40	1	None	7	Redmercury_7_Event	0	TRUE	211007	R 0-40 55
R 0-40	1	None	8	Redmercury_7	0	TRUE	211008	R 0-40 55
None	1	None	201	Redmercury_30_eventW	0	FALSE	210001	R 0-30
None	1	None	202	Redmercury_30_W	0	FALSE	210002	R 0-30
None	1	None	203	Redmercury_31_eventW	0	FALSE	210003	R 31
None	1	None	204	Redmercury_31_W	0	FALSE	210004	R 31
None	1	None	205	Redmercury_32_eventW	0	FALSE	210005	R 32
None	1	None	206	Redmercury_32_W	0	FALSE	210006	R 32
None	1	None	207	Redmercury_33_eventW	0	FALSE	210007	R 33
None	1	None	208	Redmercury_33_W	0	FALSE	210008	R 33
None	1	None	209	Redmercury_34_eventW	0	FALSE	210009	R 34
None	1	None	210	Redmercury_34_W	0	FALSE	210010	R 34
None	1	None	211	Redmercury_35_eventW	0	FALSE	210011	R 35
None	1	None	212	Redmercury_35_W	0	FALSE	210012	R 35
None	1	None	213	Redmercury_36_eventW	0	FALSE	210013	R 36
None	1	None	214	Redmercury_36_W	0	FALSE	210014	R 36
None	1	None	215	Redmercury_37_eventW	0	FALSE	210015	R 37
None	1	None	216	Redmercury_37_W	0	FALSE	210016	R 37
None	1	None	217	Redmercury_38_eventW	0	FALSE	210017	R 38
None	1	None	218	Redmercury_38_W	0	FALSE	210018	R 38
None	1	None	219	Redmercury_39_eventW	0	FALSE	210019	R 39
None	1	None	220	Redmercury_39_W	0	FALSE	210020	R 39
None	1	None	221	Redmercury_40_eventW	0	FALSE	210021	R 40
None	1	None	222	Redmercury_40_W	0	FALSE	210022	R 40
R 0-27	1	None	301	Redmercury_27_event_A	0	FALSE	210101	None
R 0-27	1	None	302	Redmercury_27_A	0	FALSE	210102	None
R 28	1	None	303	Redmercury_28_event_A	0	FALSE	210103	None
R 28	1	None	304	Redmercury_28_A	0	FALSE	210104	None
R 29	1	None	305	Redmercury_29_event_A	0	FALSE	210105	None
R 29	1	None	306	Redmercury_29_A	0	FALSE	210106	None
R 30	1	None	307	Redmercury_30_event_A	0	FALSE	210107	None
R 30	1	None	308	Redmercury_30_A	0	FALSE	210108	None
R 31	1	None	309	Redmercury_31_event_A	0	FALSE	210109	None
R 31	1	None	310	Redmercury_31_A	0	FALSE	210110	None
R 32	1	None	311	Redmercury_32_event_A	0	FALSE	210111	None
R 32	1	None	312	Redmercury_32_A	0	FALSE	210112	None
R 33	1	None	313	Redmercury_33_event_A	0	FALSE	210113	None
R 33	1	None	314	Redmercury_33_A	0	FALSE	210114	None
R 35	1	None	315	Redmercury_35_event_A	0	FALSE	210115	None
R 35	1	None	316	Redmercury_35_A	0	FALSE	210116	None
R 34	1	None	317	Redmercury_34_event_A	0	FALSE	210117	None
R 34	1	None	318	Redmercury_34_A	0	FALSE	210118	None
R 36	1	None	319	Redmercury_36_event_A	0	FALSE	210119	None
R 36	1	None	320	Redmercury_36_A	0	FALSE	210120	None
R 37	1	None	321	Redmercury_37_event_A	0	FALSE	210121	None
R 37	1	None	322	Redmercury_37_A	0	FALSE	210122	None
R 38	1	None	323	Redmercury_38_event_A	0	FALSE	210123	None
R 38	1	None	324	Redmercury_38_A	0	FALSE	210124	None
R 39	1	None	325	Redmercury_39_event_A	0	FALSE	210125	None
R 39	1	None	326	Redmercury_39_A	0	FALSE	210126	None
R 40	1	None	327	Redmercury_40_event_A	0	FALSE	210127	None
R 40	1	None	328	Redmercury_40_A	0	FALSE	210128	None
R 0-40	3	None	401	Enhanced_Redmercury_event	0	FALSE	89069	R 0-40 55
R 0-40	3	None	402	Enhanced_Redmercury	0	FALSE	89064	R 0-40 55
R 0-40	3	None	403	Master_Redmercury_event	0	FALSE	89076	R 0-40 55
R 0-40	3	None	404	Master_Redmercury	0	FALSE	89075	R 0-40 55
R 0-40	3	None	405	Mystic_Redmercury_event	0	FALSE	89087	R 0-40 55
R 0-40	3	None	406	Mystic_Redmercury	0	FALSE	89086	R 0-40 55
R 0-40	3	None	11	Enhanced_Royal	1	FALSE	157090	R 0-41 55
R 0-40	3	None	12	Enhanced_Royal_E	1	FALSE	157091	R 0-41 55
R 0-40	3	None	13	Enhanced_Special	1	FALSE	192009	R 0-41 55
R 0-40	3	None	14	Enhanced_Special_E	1	FALSE	192010	R 0-41 55
None	1	1011 2012 3005 12012 13013 14008 15008 16008 17008 20007 20019 25013 48015 90099	501	Karin_Redmercury_Beast_33	0	FALSE	89314	R 33
None	1	1012 2013 3006 12013 13014 14009 15009 16009 17009 20008 20020 25014 48016 90100	502	Karin_Redmercury_Demon_33	0	FALSE	89315	R 33
None	1	1014 2015 3008 12015 13016 14011 15011 16011 17011 20010 20022 25016 48018 90102	503	Karin_Redmercury_Golem_33	0	FALSE	89316	R 33
