CashItemGroup	ClassID	CoolDown	RicoExchange	SetPeriod	WorldMsg	ability	arg1	arg2	cost	hour	itemID	itemname	min	period	salecost
Package	10000	0	0	0	0	PACKAGE	0	0	40900	0	27396	<$>214521</>	0	0	40900
Package	10001	0	0	0	0	PACKAGE	0	0	40900	0	27397	<$>214522</>	0	0	34700
Package	10002	0	0	0	0	PACKAGE	0	0	40900	0	27398	<$>214523</>	0	0	34700
Package	10003	0	0	0	0	PACKAGE	0	0	65300	0	27399	<$>214524</>	0	0	52200
Package	10004	0	0	0	0	PACKAGE	0	0	65300	0	27400	<$>214525</>	0	0	52200
Package	10005	0	0	0	0	PACKAGE	0	0	65300	0	27401	<$>214526</>	0	0	52200
Package	11001	0	0	0	0	PACKAGE	0	0	12500	0	88001	<$>29988</>	0	0	0
Package	11002	0	0	0	0	PACKAGE	0	0	13200	0	88114	<$>29997</>	0	0	0
Package	11003	0	0	0	0	PACKAGE	0	0	13200	0	88130	<$>30035</>	0	0	0
Package	11004	0	0	0	0	PACKAGE	0	0	13200	0	88132	<$>30036</>	0	0	0
Package	11005	0	0	0	0	PACKAGE	0	0	13200	0	88134	<$>30037</>	0	0	0
Package	11006	0	0	0	0	PACKAGE	0	0	13200	0	88136	<$>30038</>	0	0	0
Package	11007	0	0	0	0	PACKAGE	0	0	14300	0	88140	<$>29997</>	0	0	0
Package	11008	0	0	0	0	PACKAGE	0	0	13200	0	88330	<$>30013</>	0	0	0
Package	11009	0	0	0	0	PACKAGE	0	0	18500	0	88101	<$>29988</>	0	0	0
Package	11010	0	0	0	0	PACKAGE	0	0	19800	0	88115	<$>30026</>	0	0	0
Package	11011	0	0	0	0	PACKAGE	0	0	22000	0	88116	<$>30020</>	0	0	0
Package	11012	0	0	0	0	PACKAGE	0	0	9900	0	88119	<$>30021</>	0	0	0
Package	11013	0	0	0	0	PACKAGE	0	0	9900	0	88122	<$>30022</>	0	0	0
Package	11014	0	0	0	0	PACKAGE	0	0	9900	0	88123	<$>30023</>	0	0	0
Package	11015	0	0	0	0	PACKAGE	0	0	25300	0	88126	<$>30024</>	0	0	0
Package	11016	0	0	0	0	PACKAGE	0	0	19800	0	88127	<$>30025</>	0	0	0
Package	11017	0	0	0	0	PACKAGE	0	0	22000	0	88141	<$>30026</>	0	0	0
Package	11018	0	0	0	0	PACKAGE	0	0	22000	0	88331	<$>30014</>	0	0	0
Package	11019	0	0	0	0	PACKAGE	0	0	9900	0	88120	<$>29986</>	0	0	0
Package	11020	0	0	0	0	PACKAGE	0	0	9900	0	88121	<$>29987</>	0	0	0
Package	11021	0	0	0	0	PACKAGE	0	0	9900	0	88124	<$>29989</>	0	0	0
Package	11022	0	0	0	0	PACKAGE	0	0	9900	0	88125	<$>29990</>	0	0	0
Package	11023	0	0	0	0	PACKAGE	0	0	2200	0	88223	<$>30027</>	0	0	0
Package	11024	0	0	0	0	PACKAGE	0	0	9900	0	88161	<$>30028</>	0	0	0
Package	11025	0	0	0	0	PACKAGE	0	0	14300	0	88162	<$>30029</>	0	0	0
Package	11026	0	0	0	0	PACKAGE	0	0	22000	0	88164	<$>30030</>	0	0	0
Package	11027	0	0	0	0	PACKAGE	0	0	14300	0	88175	<$>30031</>	0	0	0
Package	11028	0	0	0	0	PACKAGE	0	0	15400	0	88187	<$>30000</>	0	0	0
Package	11029	0	0	0	0	PACKAGE	0	0	19000	0	88188	<$>30001</>	0	0	0
Package	11030	0	0	0	0	PACKAGE	0	0	7700	0	88189	<$>30002</>	0	0	0
Package	11031	0	0	0	0	PACKAGE	0	0	12100	0	88190	<$>30003</>	0	0	0
Package	11032	0	0	0	0	PACKAGE	0	0	20900	0	88191	<$>30004</>	0	0	0
Package	11033	0	0	0	0	PACKAGE	0	0	23100	0	88192	<$>30005</>	0	0	0
Package	11034	0	0	0	0	PACKAGE	0	0	11000	0	88195	<$>30006</>	0	0	0
Package	11035	0	0	0	0	PACKAGE	0	0	19800	0	88196	<$>30007</>	0	0	0
Package	11036	0	0	0	0	PACKAGE	0	0	20900	0	88226	<$>30008</>	0	0	0
Package	11037	0	0	0	0	PACKAGE	0	0	22000	0	88244	<$>30009</>	0	0	0
Package	11038	0	0	0	0	PACKAGE	0	0	28600	0	88245	<$>30032</>	0	0	0
Package	11039	0	0	0	0	PACKAGE	0	0	11000	0	88246	<$>30010</>	0	0	0
Package	11040	0	0	0	0	PACKAGE	0	0	29700	0	88323	<$>30039</>	0	0	0
Package	11041	0	0	0	0	PACKAGE	0	0	14300	0	88324	<$>30011</>	0	0	0
Package	11042	0	0	0	0	PACKAGE	0	0	14300	0	88325	<$>30012</>	0	0	0
Package	11043	0	0	0	0	PACKAGE	0	0	28600	0	88261	<$>30033</>	0	0	0
Package	11044	0	0	0	0	PACKAGE	0	0	4400	0	88211	<$>30040</>	0	0	0
Package	11045	0	0	0	0	PACKAGE	0	0	7700	0	88212	<$>30041</>	0	0	0
Package	11046	0	0	0	0	PACKAGE	0	0	6600	0	88220	<$>30041</>	0	0	0
Package	11047	0	0	0	0	PACKAGE	0	0	7700	0	88370	<$>30016</>	0	0	0
Package	11048	0	0	0	0	PACKAGE	0	0	11000	0	88371	<$>30017</>	0	0	0
Package	11049	0	0	0	0	PACKAGE	0	0	13200	0	88383	<$>30018</>	0	0	0
Package	11050	0	0	0	0	PACKAGE	0	0	5500	0	88263	<$>30034</>	0	0	0
Package	11051	0	0	0	0	PACKAGE	0	0	3300	0	23518	<$>101020</>	0	0	0
Package	11052	0	0	0	0	PACKAGE	0	0	8800	0	23519	<$>101021</>	0	0	0
Package	11053	0	0	0	0	PACKAGE	0	0	49800	0	20989	<$>102199</>	0	0	0
Package	11054	0	0	0	0	PACKAGE	0	0	500	0	189238	<$>113312</>	0	0	0
Package	11055	0	0	0	0	PACKAGE	0	0	49800	0	20990	<$>103410</>	0	0	0
Package	11056	0	0	0	0	PACKAGE	0	0	10000	0	23528	<$>113313</>	0	0	0
Package	11057	0	0	0	0	PACKAGE	0	0	99999	0	189248	<$>104663</>	0	0	0
Package	11058	0	0	0	0	PACKAGE	0	0	99999	0	189249	<$>104664</>	0	0	0
Package	11059	0	0	0	0	PACKAGE	0	0	99999	0	189250	<$>104665</>	0	0	0
Package	11060	0	0	0	0	PACKAGE	0	0	99999	0	189251	<$>104666</>	0	0	0
Package	11061	0	0	0	0	PACKAGE	0	0	99999	0	189252	<$>104667</>	0	0	0
Package	11062	0	0	0	0	PACKAGE	0	0	99999	0	189253	<$>104668</>	0	0	0
Package	11063	0	0	0	0	PACKAGE	0	0	99999	0	189254	<$>104669</>	0	0	0
Package	11064	0	0	0	0	PACKAGE	0	0	99999	0	189255	<$>104670</>	0	0	0
Package	11065	0	0	0	0	PACKAGE	0	0	49800	0	20991	<$>105598</>	0	0	0
Etc	11066	0	0	0	0	PACKAGE	0	0	99999	0	21929	<$>100196</>	0	0	0
Etc	11067	0	0	0	0	PACKAGE	0	0	99999	0	21930	<$>100197</>	0	0	0
Etc	11068	0	0	0	0	PACKAGE	0	0	99999	0	21932	<$>113314</>	0	0	0
Package	11069	0	0	0	0	PACKAGE	0	0	49800	0	20993	<$>106837</>	0	0	0
Package	11070	0	0	0	0	PACKAGE	0	0	49800	0	20994	<$>107622</>	0	0	0
Package	11071	0	0	0	0	PACKAGE	0	0	49800	0	20995	<$>108339</>	0	0	0
Package	11072	0	0	0	0	PACKAGE	0	0	29800	0	20996	<$>111515</>	0	0	0
Package	11073	0	0	0	0	PACKAGE	0	0	29800	0	20997	<$>111516</>	0	0	0
Package	11074	0	0	0	0	PACKAGE	0	0	29800	0	20998	<$>111517</>	0	0	0
Package	11075	0	0	0	0	PACKAGE	0	0	29800	0	20999	<$>111518</>	0	0	0
Package	11076	0	0	0	0	PACKAGE	0	0	29800	0	21000	<$>111519</>	0	0	0
Package	11077	0	0	0	0	PACKAGE	0	0	29800	0	23549	<$>112780</>	0	0	0
Package	11078	0	0	0	0	PACKAGE	0	0	49800	0	23550	<$>112781</>	0	0	0
Package	11079	0	0	0	0	PACKAGE	0	0	29800	0	23551	<$>112782</>	0	0	0
Package	11080	0	0	0	0	PACKAGE	0	0	49800	0	23552	<$>112783</>	0	0	0
Package	11081	0	0	0	0	PACKAGE	0	0	99999	0	23539	<$>113315</>	0	0	0
Package	11082	0	0	0	0	PACKAGE	0	0	99999	0	23555	<$>113316</>	0	0	0
Package	11083	0	0	0	0	PACKAGE	0	0	99999	0	23556	<$>113317</>	0	0	0
