CalcScp	ClassID	Text
Calc_CM_ATK	1	<$>88206</>
Calc_CM_ASPD	2	<$>88207</>
Calc_CM_MHP	3	<$>141582</>
Calc_CM_DEF	4	<$>88209</>
Calc_CM_IP	5	<$>88210</>
Calc_CM_IMP	8	<$>88211</>
Calc_CM_AGILITY	10	<$>88215</>
Calc_CM_HPDRAIN	11	<$>88216</>
Calc_CM_CAST	12	<$>88217</>
Calc_CM_EVASION	13	<$>210356</>
Calc_CM_PCATK	14	<$>88219</>
Calc_CM_PCDEF	15	<$>88220</>
Calc_CM_MONATK	16	<$>88221</>
Calc_CM_MONDEF	17	<$>88222</>
Calc_CM_Accuracy	19	<$>88224</>
Calc_CM_CrtAtk	20	<$>210357</>
Calc_CM_Ambush	21	<$>88226</>
Calc_CM_Hard	22	<$>88227</>
Calc_CM_Trace	23	<$>88228</>
Calc_CM_RageAtk	24	<$>88229</>
Calc_CM_MHPN	31	<$>210358</>
Calc_CM_CRT	32	<$>210359</>
Calc_CM_MHPATK	33	<$>210360</>
Calc_CM_MSPATK	34	<$>210361</>
Calc_CM_MSP	35	<$>210362</>
Calc_CM_SOFTATKDAM	36	<$>210363</>
Calc_CM_MAGICCON	37	<$>210364</>
Calc_CM_SKLDAMUP	38	<$>210365</>
Calc_CM_MEDIUMMATKDAM	39	<$>210366</>
Calc_CM_MAGICDES	40	<$>210367</>
Calc_CM_METALATKDAM	41	<$>210368</>
Calc_CM_NOLDAMUP	42	<$>210369</>
Calc_CM_ENDURENCE	43	<$>210370</>
Calc_CM_SHOOTRUD	44	<$>210371</>
Calc_CM_MAGICRUD	45	<$>210372</>
Calc_CM_MELEERUD	46	<$>210373</>
Calc_CM_RANGEDAM	47	<$>210374</>
Calc_CM_SPREDUCE	48	<$>210375</>
Calc_CM_MELEEDAM	49	<$>210376</>
Calc_CM_SHOOTDAM	50	<$>210377</>
Calc_CM_MAGICDAM	51	<$>210378</>
Calc_CM_STRUP	52	<$>210379</>
Calc_CM_DEXUP	53	<$>210380</>
Calc_CM_INTUP	54	<$>210381</>
Calc_CM_CRTDAM	55	<$>210382</>
Calc_CM_HEALDAM	56	<$>210383</>
