ApplyScp	ClassID	ClassName	Desc	Value
SCR_REINFORCE_ACCESSORY_IncMHP	1	IncreaseMHP1	<$>109936</>	math.floor(rank*50)+math.floor(rank/9)*500
SCR_REINFORCE_ACCESSORY_IncMHP	2	IncreaseMHP2	<$>109936</>	math.floor(rank*100)+math.floor(rank/10)*1000
SCR_REINFORCE_ACCESSORY_IncMHP	3	IncreaseMHP3	<$>109936</>	math.floor(rank*150)+math.floor(rank/10)*1500
SCR_REINFORCE_ACCESSORY_IncMSP	4	IncreaseMSP1	<$>109937</>	math.floor(rank*20)+math.floor(rank/9)*200
SCR_REINFORCE_ACCESSORY_IncMSP	5	IncreaseMSP2	<$>109937</>	math.floor(rank*30)+math.floor(rank/10)*300
SCR_REINFORCE_ACCESSORY_IncMSP	6	IncreaseMSP3	<$>109937</>	math.floor(rank*50)+math.floor(rank/10)*500
SCR_REINFORCE_ACCESSORY_IncIP	7	IncreaseIP1	<$>109938</>	math.floor(rank/3)+math.floor(rank/9)
SCR_REINFORCE_ACCESSORY_IncIP	8	IncreaseIP2	<$>109938</>	math.floor(rank/2)+math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncIMP	9	IncreaseIMP1	<$>109939</>	math.floor(rank/3)+math.floor(rank/9)
SCR_REINFORCE_ACCESSORY_IncIMP	10	IncreaseIMP2	<$>109939</>	math.floor(rank/2)+math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncEvationSkill	11	IncreaseEVATIONSKILL1	<$>205565</>	math.floor(rank/3)+math.floor(rank/9)
SCR_REINFORCE_ACCESSORY_IncEvationSkill	12	IncreaseEVATIONSKILL2	<$>205565</>	math.floor(rank/2)+math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncMHP2	13	IncreaseMHP4	<$>109936</>	math.floor(rank*50)+math.floor(rank/9)*500
SCR_REINFORCE_ACCESSORY_IncMHP2	14	IncreaseMHP5	<$>109936</>	math.floor(rank*100)+math.floor(rank/10)*1000
SCR_REINFORCE_ACCESSORY_IncMSP2	15	IncreaseMSP4	<$>109937</>	math.floor(rank*20)+math.floor(rank/9)*200
SCR_REINFORCE_ACCESSORY_IncMSP2	16	IncreaseMSP5	<$>109937</>	math.floor(rank*30)+math.floor(rank/10)*300
SCR_REINFORCE_ACCESSORY_IncMHP2	17	IncreaseMHP6	<$>109936</>	math.floor(rank*500)+math.floor(rank/10)*5000
SCR_REINFORCE_ACCESSORY_IncMSP2	18	IncreaseMSP6	<$>109937</>	math.floor(rank*50)+math.floor(rank/10)*500
SCR_REINFORCE_ACCESSORY_IncIP	19	IncreaseIP3	<$>109938</>	math.floor(rank)
SCR_REINFORCE_ACCESSORY_IncIMP	20	IncreaseIMP3	<$>109939</>	math.floor(rank/2)
SCR_REINFORCE_ACCESSORY_IncARDR	21	IncreaseAR	<$>213589</>	math.floor(rank/10)*1
SCR_REINFORCE_ACCESSORY_IncSTATS	22	IncreaseSTATS	<$>213590</>	math.floor(rank*1)
SCR_REINFORCE_ACCESSORY_IncSTR	23	IncreaseSTR	<$>227118</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncDEX	24	IncreaseDEX	<$>227119</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncINT	25	IncreaseINT	<$>227120</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncCHA	26	IncreaseCHA	<$>227121</>	math.floor(rank/5)
SCR_REINFORCE_ACCESSORY_IncMHP2	27	IncreaseMHP7	<$>109936</>	math.floor(rank*50)+math.floor(rank/10)*500
SCR_REINFORCE_ACCESSORY_IncSTATS	28	IncreaseSTATS2	<$>213590</>	math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncMHP2	29	IncreaseMHP8	<$>109936</>	math.floor(rank*100)+math.floor(rank/10)*1000
SCR_REINFORCE_ACCESSORY_IncRALL	30	IncreaseALLRED	<$>227122</>	math.floor(rank/10)*2
SCR_REINFORCE_ACCESSORY_IncSTATS	31	IncreaseSTATS3	<$>213590</>	math.floor(rank/10)*5
SCR_REINFORCE_ACCESSORY_IncIP	32	IncreaseIP4	<$>109938</>	math.floor(rank/2)+math.floor(rank/2)*3
SCR_REINFORCE_ACCESSORY_IncIMP	33	IncreaseIMP4	<$>109939</>	math.floor(rank/2)+math.floor(rank)
SCR_REINFORCE_ACCESSORY_IncMHP2	34	IncreaseMHP9	<$>109936</>	math.floor(rank*350)+math.floor(rank/10)*3500
SCR_REINFORCE_ACCESSORY_IncMSP2	35	IncreaseMSP7	<$>109937</>	math.floor(rank*25)+math.floor(rank/10)*250
SCR_REINFORCE_ACCESSORY_IncEvationSkill	36	IncreaseEVATIONSKILL3	<$>205565</>	math.floor(rank/2)+math.floor(rank/10)*5
SCR_REINFORCE_ACCESSORY_IncIP	37	IncreaseIP5	<$>109938</>	math.floor(rank/2)+math.floor(rank/2)*2
SCR_REINFORCE_ACCESSORY_IncMHP2	38	IncreaseMHP10	<$>109936</>	math.floor(rank*250)+math.floor(rank/10)*2500
