ClassID	Image	RewardItem1	RewardItemCount1	RewardPoint1	RewardPointValue1	Tooltip	Type
1	Pioneer_Matching_Point.bmp	None	0	Pioneer_A_Point	10	<$>52620</>	Point
2	Pioneer_Matching_Point.bmp	None	0	Pioneer_B_Point	10	<$>52621</>	Point
3	Pioneer_Matching_Point.bmp	None	0	Pioneer_C_Point	10	<$>52622</>	Point
4	Pioneer_Matching_LvCard.bmp	EXPCard_90_g	3	None	0	<$>33052</>	EXPCard
5	Pioneer_Matching_LvCard.bmp	EXPCard_Veteran_a	3	None	0	<$>33030</>	EXPCard
6	Pioneer_Matching_LvCard.bmp	EXPCard_Expert_a	3	None	0	<$>33058</>	EXPCard
7	Pioneer_Matching_LvCard.bmp	HonorCard_L	1	None	0	<$>33754</>	HonorCard
8	Pioneer_Matching_LvCard.bmp	HonorCard_H	1	None	0	<$>33757</>	HonorCard
9	Pioneer_Matching_LvCard.bmp	HonorCard_G	1	None	0	<$>33760</>	HonorCard
10	Pioneer_Matching_LvCard.bmp	TrainingCard_S	1	None	0	<$>33737</>	TrainingCard
11	Pioneer_Matching_LvCard.bmp	TrainingCard_H	1	None	0	<$>33741</>	TrainingCard
12	Pioneer_Matching_LvCard.bmp	TrainingCard_G	1	None	0	<$>33744</>	TrainingCard
13	Pioneer_Matching_Like.bmp	None	0	Pioneer_A_Like	10	<$>52623</>	Like
14	Pioneer_Matching_Like.bmp	None	0	Pioneer_A_Like	30	<$>52624</>	Like
15	Pioneer_Matching_Like.bmp	None	0	Pioneer_A_Like	50	<$>52625</>	Like
16	Pioneer_Matching_Like.bmp	None	0	Pioneer_B_Like	10	<$>52626</>	Like
17	Pioneer_Matching_Like.bmp	None	0	Pioneer_B_Like	30	<$>52627</>	Like
18	Pioneer_Matching_Like.bmp	None	0	Pioneer_B_Like	50	<$>52628</>	Like
19	Pioneer_Matching_Like.bmp	None	0	Pioneer_C_Like	10	<$>52629</>	Like
20	Pioneer_Matching_Like.bmp	None	0	Pioneer_C_Like	30	<$>52630</>	Like
21	Pioneer_Matching_Like.bmp	None	0	Pioneer_C_Like	50	<$>52631</>	Like
