ClassID	ClassName	Name	ReqEtc	ReqLv	ReqQuest	SMAP	SNPC	Type
1	Q1_1	<$>57837</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>82</>	1
2	Q1_2	<$>13685</>	<$>13438</>	1	<$>57838</>	<$>3976</>	<$>82</>	1
3	Q1_3	<$>29458</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>47096</>	1
4	Q1_4	<$>57839</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>10800</>	1
5	Q1_5	<$>51608</>	<$>13438</>	1	<$>13438</>	<$>57167</>	<$>83</>	1
6	Q1_6	<$>13976</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>3365</>	1
7	Q1_7	<$>13997</>	<$>13438</>	1	<$>13438</>	<$>56769</>	<$>85</>	1
8	Q1_8	<$>14145</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>3367</>	1
9	Q1_9	<$>57840</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>84</>	1
10	Q1_10	<$>57841</>	<$>13438</>	1	<$>57840</>	<$>1293</>	<$>57842</>	1
11	Q1_11	<$>13763</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>3366</>	1
12	Q1_12	<$>53791</>	<$>13438</>	1	<$>57843</>	<$>3976</>	<$>3366</>	1
13	Q1_13	<$>53664</>	<$>13438</>	1	<$>13438</>	<$>3976</>	<$>11192</>	1
14	Q1_14	<$>13199</>	<$>13438</>	1	<$>13438</>	<$>1293</>	<$>11213</>	1
15	Q1_15	<$>13384</>	<$>13438</>	1	<$>13438</>	<$>1293</>	<$>11144</>	1
16	Q1_16	<$>47642</>	<$>13438</>	1	<$>13438</>	<$>3977</>	<$>47048</>	1
17	Q2_1	<$>14190</>	<$>13438</>	12	<$>13999</>	<$>3976</>	<$>84</>	2
18	Q2_2	<$>14191</>	<$>13438</>	12	<$>14190</>	<$>3976</>	<$>84</>	2
19	Q2_3	<$>13078</>	<$>13438</>	12	<$>13438</>	<$>1293</>	<$>2420</>	2
20	Q2_4	<$>13079</>	<$>13438</>	12	<$>13078</>	<$>1293</>	<$>2420</>	2
21	Q2_5	<$>57844</>	<$>13438</>	12	<$>13438</>	<$>1293</>	<$>11196</>	2
22	Q2_6	<$>12272</>	<$>13438</>	16	<$>13977</>	<$>3976</>	<$>3365</>	2
23	Q2_7	<$>56043</>	<$>13438</>	16	<$>12272</>	<$>3976</>	<$>3365</>	2
24	Q2_8	<$>13385</>	<$>13438</>	16	<$>13384</>	<$>1293</>	<$>11144</>	2
25	Q2_9	<$>57845</>	<$>13438</>	20	<$>14146</>	<$>3976</>	<$>3367</>	2
26	Q2_10	<$>13736</>	<$>13438</>	20	<$>13438</>	<$>3976</>	<$>81</>	2
27	Q2_11	<$>13386</>	<$>13438</>	20	<$>13385</>	<$>1293</>	<$>11144</>	2
28	Q2_12	<$>13003</>	<$>13438</>	20	<$>13438</>	<$>1293</>	<$>11090</>	2
