ClassID	Count1	Count10	Count2	Count3	Count4	Count5	Count6	Count7	Count8	Count9	itemID	itemID1	itemID10	itemID2	itemID3	itemID4	itemID5	itemID6	itemID7	itemID8	itemID9	itemName
11001	1	0	1	1	20	10	0	0	0	0	88114	88005	0	88009	88013	20542	20084	0	0	0	0	<$>29984</>
11002	1	0	1	1	0	0	0	0	0	0	88117	21344	0	21344	21344	0	0	0	0	0	0	<$>29985</>
11003	1	0	20	20	0	0	0	0	0	0	88120	41011	0	20542	20084	0	0	0	0	0	0	<$>29986</>
11004	1	0	20	1	1	1	0	0	0	0	88121	41001	0	20542	88210	88210	88210	0	0	0	0	<$>29987</>
11005	1	0	1	1	0	0	0	0	0	0	88001	88005	0	88009	88013	0	0	0	0	0	0	<$>29988</>
11006	1	0	50	50	50	20	0	0	0	0	88124	41008	0	20022	20023	20024	20084	0	0	0	0	<$>29989</>
11007	1	0	50	50	20	40	0	0	0	0	88125	41002	0	20074	20075	20084	20062	0	0	0	0	<$>29990</>
11008	1	0	1	1	1	1	0	0	0	0	88220	88210	0	88210	88210	88210	88210	0	0	0	0	<$>29991</>
11009	1	0	1	1	0	0	0	0	0	0	88211	88210	0	88210	88210	0	0	0	0	0	0	<$>29992</>
11010	1	0	0	0	0	0	0	0	0	0	88128	42020	0	0	0	0	0	0	0	0	0	<$>28866</>
11011	1	0	0	0	0	0	0	0	0	0	88129	42048	0	0	0	0	0	0	0	0	0	<$>28873</>
11012	1	1	1	1	1	10	20	20	1	1	88130	42048	88210	88005	88009	88013	20084	20542	88018	88210	88210	<$>29993</>
11013	1	0	0	0	0	0	0	0	0	0	88131	42049	0	0	0	0	0	0	0	0	0	<$>28874</>
11014	1	1	1	1	1	10	20	20	1	1	88132	42049	88210	88005	88009	88013	20084	20542	88018	88210	88210	<$>29994</>
11015	1	0	0	0	0	0	0	0	0	0	88133	42047	0	0	0	0	0	0	0	0	0	<$>28872</>
11016	1	1	1	1	1	10	20	20	1	1	88134	42047	88210	88005	88009	88013	20084	20542	88018	88210	88210	<$>29995</>
11017	1	0	0	0	0	0	0	0	0	0	88135	42050	0	0	0	0	0	0	0	0	0	<$>28875</>
11018	1	1	1	1	1	10	20	20	1	1	88136	42050	88210	88005	88009	88013	20084	20542	88018	88210	88210	<$>29996</>
11019	1	0	0	0	0	0	0	0	0	0	88137	42057	0	0	0	0	0	0	0	0	0	<$>28876</>
11020	1	0	0	0	0	0	0	0	0	0	88138	42060	0	0	0	0	0	0	0	0	0	<$>28879</>
11021	1	0	0	0	0	0	0	0	0	0	88139	42061	0	0	0	0	0	0	0	0	0	<$>28880</>
11022	1	10	1	1	10	10	10	1	1	1	88140	88005	20519	88009	88013	20545	20084	20716	88210	88210	88210	<$>29997</>
11023	1	0	0	0	0	0	0	0	0	0	88142	22044	0	0	0	0	0	0	0	0	0	<$>29998</>
11024	1	0	0	0	0	0	0	0	0	0	88143	42058	0	0	0	0	0	0	0	0	0	<$>28877</>
11025	1	0	0	0	0	0	0	0	0	0	88144	42062	0	0	0	0	0	0	0	0	0	<$>28881</>
