ClassID	ClassName	Create	Mode	Note	PVP	SavePosition	SaveVisible	SubMode	UseESC	UseIndex	Visible	Visible1	Visible2	Visible3	XmlName
1	jukebox	NO	All	None	YES	YES	NO	All	YES	NO	NO	NO	NO	NO	JukeBox
2	cameraeffect	YES	All	None	YES	YES	NO	All	YES	NO	NO	NO	NO	NO	CameraEffect
3	connectioninfo	YES	All	None	YES	NO	NO	All	YES	NO	NO	NO	NO	NO	connectioninfo
4	replaycontrol	YES	Replay	None	YES	NO	NO	Replay	YES	NO	YES	NO	NO	NO	ReplayControl
5	replayquitmenu	YES	Replay	None	YES	NO	NO	Replay	YES	NO	NO	NO	NO	NO	ReplayQuitMenu
6	barrackleftarrow	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	YES	NO	NO	NO	BarrackLeftArrow
7	barrackquitmenu	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	BarrackQuitMenu
8	barrackcameffect	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	barrackcameffect
9	barrackrightarrow	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	YES	NO	NO	NO	BarrackRightArrow
10	commandername	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	YES	NO	NO	NO	CommanderName
11	accountinfo	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	AccountInfo
12	description	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	YES	NO	NO	NO	Desc
13	mccmsg	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	MccMsg
14	selectteam	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	YES	NO	NO	NO	SelectTeam
15	makechar	YES	Barrack	None	YES	NO	NO	CreateCharacter	YES	NO	YES	NO	NO	NO	CreateChar
16	makecommander	YES	Barrack	None	YES	NO	NO	CreateCommander	YES	NO	YES	NO	NO	NO	CreateCommander
17	quit	YES	Normal	None	YES	YES	NO	All	YES	NO	NO	NO	NO	NO	Quit
18	battlecommand	YES	Normal	None	YES	NO	NO	Game	NO	NO	YES	NO	NO	NO	BattleCommand
19	bgminfo	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	BGMInfo
20	channelchat	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	ChannelChat
21	channelselector	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	ChannelSelector
22	charbaseinfo	YES	Normal	None	YES	NO	NO	Game	YES	YES	NO	NO	NO	NO	CharBaseInfo
23	charbaseinfosmall	YES	Normal	None	YES	NO	NO	Game	YES	YES	NO	NO	NO	NO	CharBaseInfoSmall
24	chat	YES	Normal	None	YES	NO	NO	Game	YES	NO	YES	NO	NO	NO	Chat
25	chatmacro	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	ChatMacro
26	blankframe	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	blankframe
27	commanderinfo	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	CommanderInfo
28	contextchar	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ContextChar
29	createitem	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	CreateItem
30	friendlist	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	FriendList
31	gameoption	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	GameOption
32	inputcommander	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	InputCommander
33	inputpartyname	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	InputPartyName
34	inventory	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	Inventory
35	squadmenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	SquadMenu
36	channelchatmenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	ChannelChatMenu
37	partymenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	PartyMenu
38	groupmenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	GroupMenu
39	replaymenu	YES	Normal	parent:mainmenu	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ReplayMenu
40	communitymenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	CommunityMenu
42	usershopmenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	usershopmenu
43	iconbarmenu	YES	Normal	parent:mainmenu	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	iconbarmenu
44	petmenu	YES	Normal	parent:mainmenu	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	petmenu
45	commandmenu	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	commandmenu
46	mainmenu	YES	Normal	has children!	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MainMenu
47	mainmenubar	YES	Normal	None	YES	NO	NO	Game	YES	NO	YES	NO	NO	NO	MainMenuBar
48	mapname	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MapName
49	mcwithlv	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MCWithLv
50	mcwithnolv	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MCWithNoLv
51	mi1a10	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MI1a10
52	mi2a15	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MI2a15
53	mi4bluehome	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MI4BlueHome
54	miboss	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MIBoss
55	minimap	NO	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	Minimap
56	groupchat	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	GroupChat
57	missioninputpass	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MissionInputPass
58	missionlobby	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MissionLobby
59	mwr1a10	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR1a10
60	mwr1a30	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR1a30
61	mwr2a1	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR2a1
62	mwr2a3	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR2a3
63	mwr2a5	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR2a5
64	mwr2a15	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR2a15
65	mr10	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MR10
66	mr15	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MR15
67	mr30	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MR30
68	partyinfo	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	PartyInfo
69	partymemberlist	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	PartyMemberList
70	partyprofile	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	PartyProfile
71	permission	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	PermissionInfo
72	poselist	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	PoseList
73	profile	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	Profile
74	questalarm	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	QuestAlarm
76	saydialog	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	SayDialog
77	shop	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	Shop
