AttendanceItemName	ClassID	Day	RewardCount	RewardItem
FerruccioPioneerLog	1	1	1	189008
FerruccioPioneerLog	2	2	20	75330
FerruccioPioneerLog	3	3	20	88018
FerruccioPioneerLog	4	4	1	189006
FerruccioPioneerLog	5	5	1	41870
FerruccioPioneerLog	6	6	1	21532
FerruccioPioneerLog	7	7	50	21375
FerruccioPioneerLog	8	8	20	88018
FerruccioPioneerLog	9	9	1	40686
FerruccioPioneerLog	10	10	1	23652
FerruccioPioneerLog	11	11	50	20728
FerruccioPioneerLog	12	12	5	75330
FerruccioPioneerLog	13	13	1	41870
FerruccioPioneerLog	14	14	8	88321
FerruccioPioneerLog	15	15	1	40815
FerruccioPioneerLog	16	16	1	189008
FerruccioPioneerLog	17	17	10	89069
FerruccioPioneerLog	18	18	1	88354
FerruccioPioneerLog	19	19	50	21375
FerruccioPioneerLog	20	20	1	40909
FerruccioPioneerLog	21	21	20	88018
FerruccioPioneerLog	22	22	5	75330
FerruccioPioneerLog	23	23	10	89069
FerruccioPioneerLog	24	24	1	189343
FerruccioPioneerLog	25	25	1	41869
FerruccioPioneerLog	26	26	8	88321
FerruccioPioneerLog	27	27	50	20728
FerruccioPioneerLog	28	28	3	20670
FerruccioPioneerLog	29	29	10	89069
FerruccioPioneerLog	30	30	1	23554
JackPioneerLog	101	1	1	21101
JackPioneerLog	102	2	1	21102
JackPioneerLog	103	3	1	21103
JackPioneerLog	104	4	1	21104
JackPioneerLog	105	5	1	21105
JackPioneerLog	106	6	1	21106
JackPioneerLog	107	7	1	21107
JackPioneerLog	108	8	1	21108
JackPioneerLog	109	9	1	21109
JackPioneerLog	110	10	1	21110
JackPioneerLog	111	11	1	21111
JackPioneerLog	112	12	1	21112
JackPioneerLog	113	13	1	21135
JackPioneerLog	114	14	1	21136
JackPioneerLog	115	15	1	21137
JackPioneerLog	116	16	1	21138
JackPioneerLog	117	17	1	21139
JackPioneerLog	118	18	1	21140
JackPioneerLog	119	19	1	21141
JackPioneerLog	120	20	1	21195
JackPioneerLog	121	21	1	21196
JackPioneerLog	122	22	1	21197
JackPioneerLog	123	23	1	21198
JackPioneerLog	124	24	1	21199
JackPioneerLog	125	25	1	21200
JackPioneerLog	126	26	1	21203
JackPioneerLog	127	27	1	21204
JackPioneerLog	128	28	1	21205
JackPioneerLog	129	29	1	21206
JackPioneerLog	130	30	1	21207
TestPioneerLog	1001	1	1	40995
TestPioneerLog	1002	2	1000	21927
TestPioneerLog	1003	3	3	40908
TestPioneerLog	1004	4	1	40920
TestPioneerLog	1005	5	150	89069
TestPioneerLog	1006	6	2	40686
TestPioneerLog	1007	7	1000	21927
TestPioneerLog	1008	8	20	88321
TestPioneerLog	1009	9	1	40909
TestPioneerLog	1010	10	1500	21931
TestPioneerLog	1011	11	1	40920
TestPioneerLog	1012	12	1000	21927
TestPioneerLog	1013	13	3	40908
TestPioneerLog	1014	14	150	89069
TestPioneerLog	1015	15	1	40921
TestPioneerLog	1016	16	2	40686
TestPioneerLog	1017	17	1000	21927
TestPioneerLog	1018	18	20	88321
TestPioneerLog	1019	19	1	40909
TestPioneerLog	1020	20	1500	21931
TestPioneerLog	1021	21	1	40920
TestPioneerLog	1022	22	1000	21927
TestPioneerLog	1023	23	3	40908
TestPioneerLog	1024	24	1	40860
TestPioneerLog	1025	25	1	40921
TestPioneerLog	1026	26	2	40686
TestPioneerLog	1027	27	1000	21927
TestPioneerLog	1028	28	20	88321
TestPioneerLog	1029	29	1	40909
TestPioneerLog	1030	30	1500	21931
TestPioneerLog	1031	31	1	40995
TestPioneerLog	1032	32	1000	21927
TestPioneerLog	1033	33	3	40908
TestPioneerLog	1034	34	150	89069
TestPioneerLog	1035	35	1	40921
TestPioneerLog	1036	36	2	40686
TestPioneerLog	1037	37	1000	21927
TestPioneerLog	1038	38	20	88321
TestPioneerLog	1039	39	1	40909
TestPioneerLog	1040	40	1500	21931
TestPioneerLog	1041	41	1	40920
TestPioneerLog	1042	42	1000	21927
TestPioneerLog	1043	43	3	40908
TestPioneerLog	1044	44	1	40920
TestPioneerLog	1045	45	20	88321
TestPioneerLog	1046	46	2	40686
TestPioneerLog	1047	47	1000	21927
TestPioneerLog	1048	48	1	40860
TestPioneerLog	1049	49	1	40909
TestPioneerLog	1050	50	1500	21931
TestPioneerLog2	1101	1	1	189294
TestPioneerLog2	1102	2	200	21375
TestPioneerLog2	1103	3	60	20728
TestPioneerLog2	1104	4	2	189505
TestPioneerLog2	1105	5	100	20046
TestPioneerLog2	1106	6	20	20587
TestPioneerLog2	1107	7	50	23149
TestPioneerLog2	1108	8	1	189008
TestPioneerLog2	1109	9	20	23164
TestPioneerLog2	1110	10	60	20728
TestPioneerLog2	1111	11	3	21471
TestPioneerLog2	1112	12	50	23149
TestPioneerLog2	1113	13	100	20046
TestPioneerLog2	1114	14	20	20587
TestPioneerLog2	1115	15	3	20670
TestPioneerLog2	1116	16	50	23149
TestPioneerLog2	1117	17	20	157034
TestPioneerLog2	1118	18	60	20728
TestPioneerLog2	1119	19	20	23164
TestPioneerLog2	1120	20	1	23652
TestPioneerLog2	1121	21	1	21532
TestPioneerLog2	1122	22	100	20046
TestPioneerLog2	1123	23	200	21375
TestPioneerLog2	1124	24	50	23149
TestPioneerLog2	1125	25	20	23164
TestPioneerLog2	1126	26	3	21471
TestPioneerLog2	1127	27	20	20587
TestPioneerLog2	1128	28	60	20728
TestPioneerLog2	1129	29	20	157034
TestPioneerLog2	1130	30	3	20670
TestPioneerLog2	1131	31	50	23149
TestPioneerLog2	1132	32	1	21532
TestPioneerLog2	1133	33	2	189505
TestPioneerLog2	1134	34	100	20046
TestPioneerLog2	1135	35	20	23164
TestPioneerLog2	1136	36	3	21471
TestPioneerLog2	1137	37	20	20587
TestPioneerLog2	1138	38	200	21375
TestPioneerLog2	1139	39	100	20046
TestPioneerLog2	1140	40	1	23652
TestPioneerLog2	1141	41	50	23149
TestPioneerLog2	1142	42	1	21532
TestPioneerLog2	1143	43	20	23164
TestPioneerLog2	1144	44	60	20728
TestPioneerLog2	1145	45	3	21471
TestPioneerLog2	1146	46	20	20587
TestPioneerLog2	1147	47	20	157034
TestPioneerLog2	1148	48	200	21375
TestPioneerLog2	1149	49	50	23149
TestPioneerLog2	1150	50	2	189505
XmasPioneerLog	1201	1	30	21375
XmasPioneerLog	1202	2	3	157034
XmasPioneerLog	1203	3	1	189290
XmasPioneerLog	1204	4	1	189505
XmasPioneerLog	1205	5	5	21099
XmasPioneerLog	1206	6	1	21471
XmasPioneerLog	1207	7	1	20670
XmasPioneerLog	1208	8	30	21375
XmasPioneerLog	1209	9	1	189505
XmasPioneerLog	1210	10	5	21099
XmasPioneerLog	1211	11	1	24103
XmasPioneerLog	1212	12	3	157034
XmasPioneerLog	1213	13	1	21471
XmasPioneerLog	1214	14	1	189505
