Char1	Char2	Char3	ClassID	ClassName
1	0	0	1	Amuse_Set_1
2	0	0	2	Amuse_Set_2
3	0	0	3	Amuse_Set_3
4	0	0	4	Amuse_Set_4
5	0	0	5	Amuse_Set_5
6	0	0	6	Amuse_Set_6
7	0	0	7	Amuse_Set_7
8	0	0	8	Amuse_Set_8
9	0	0	9	Amuse_Set_9
10	0	0	10	Amuse_Set_10
11	0	0	11	Amuse_Set_11
12	0	0	12	Amuse_Set_12
13	0	0	13	Amuse_Set_13
14	0	0	14	Amuse_Set_14
15	0	0	15	Amuse_Set_15
16	0	0	16	Amuse_Set_16
17	0	0	17	Amuse_Set_17
18	0	0	18	Amuse_Set_18
19	0	0	19	Amuse_Set_19
20	0	0	20	Amuse_Set_20
21	22	23	21	Amuse_Set_21
24	0	0	22	Amuse_Set_22
25	0	0	23	Amuse_Set_23
26	0	0	24	Amuse_Set_24
27	0	0	27	Amuse_Set_27
28	0	0	28	Amuse_Set_28
29	0	0	29	Amuse_Set_29
30	0	0	30	Amuse_Set_30
31	0	0	31	Amuse_Set_31
32	0	0	32	Amuse_Set_32
33	0	0	33	Amuse_Set_33
34	0	0	34	Amuse_Set_34
35	0	0	35	Amuse_Set_35
36	0	0	36	Amuse_Set_36
37	0	0	37	Amuse_Set_37
38	0	0	38	Amuse_Set_38
39	0	0	39	Amuse_Set_39
40	0	0	40	Amuse_Set_40
41	0	0	41	Amuse_Set_41
42	0	0	42	Amuse_Set_42
43	0	0	43	Amuse_Set_43
