ClassID	ClassName	GiveItem1	GiveItem2	GiveItem3	GiveItemValue1	GiveItemValue2	GiveItemValue3	MissionScript	MissionScriptImage	SGiveVisValue	STakeVisValue	SetProperty1	SetProperty2	SetProperty3	SetProperty4	SetProperty5	SetValue1	SetValue2	SetValue3	SetValue4	SetValue5	StartImage1	StartImage2	StartImage3	StartScript1	StartScript2	StartScript3	TakeItem1	TakeItem2	TakeItem3	TakeItemValue1	TakeItemValue2	TakeItemValue3
1	Nquest_00001_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
2	Nquest_00002_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
3	Nquest_00003_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
4	Nquest_00004_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
6	Nquest_00006_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
7	Nquest_00007_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
8	Nquest_00008_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
9	Nquest_00009_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
10	Nquest_00010_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
11	Nquest_00011_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
14	Nquest_00014_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
15	Nquest_00015_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
16	Nquest_00016_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
17	Nquest_00017_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
18	Nquest_00018_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
19	Nquest_00019_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
20	Nquest_00020_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
21	Nquest_00021_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
22	Nquest_00022_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
23	Nquest_00023_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
24	Nquest_00024_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
25	Nquest_00025_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
26	Nquest_00026_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
27	Nquest_00027_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
28	Nquest_00028_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
29	Nquest_00029_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
30	Nquest_00030_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
31	Nquest_00031_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
32	Nquest_00032_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
33	Nquest_00033_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
