BanID	ClassID	ClassName	Grade	ManagerZone	ManagerZoneID	ManagerZoneName	Name	Occpy	RetWarpIDN	RetWarpIDS	ReturnWarpID	SpotX	SpotY	SpotZ
10044	1371	btl_auch02	None	None	0	<$>28784</>	None	TRUE	0	0	0	0	0	0
250	8008	btl_bah04	None	None	0	<$>28786</>	None	TRUE	0	0	0	0	0	0
10016	3865	btl_coim02	None	None	0	<$>28788</>	None	TRUE	0	0	0	0	0	0
10044	4063	btl_ktv03	None	None	0	<$>28792</>	None	TRUE	0	0	0	0	0	0
10016	509	btl_ptv01	None	None	0	<$>28793</>	None	TRUE	0	0	0	0	0	0
10003	508	btl_reb04	None	None	0	<$>28797</>	None	TRUE	0	0	0	0	0	0
10003	1165	btl_reb05	None	None	0	<$>28798</>	None	TRUE	0	0	0	0	0	0
10016	504	btl_ttr02	None	None	0	<$>28802</>	None	TRUE	0	0	0	0	0	0
230	1461	btl_ust01	None	None	0	<$>28804</>	None	TRUE	0	0	0	0	0	0
10003	506	btl_reb02	None	None	0	<$>28795</>	None	TRUE	0	0	0	0	0	0
270	303	wcc_ttr02	None	None	0	<$>112401</>	None	TRUE	0	0	0	0	0	0
270	304	wcc_coim01	None	None	0	<$>112402</>	None	TRUE	0	0	0	0	0	0
270	305	wcc_reb02	None	None	0	<$>112403</>	None	TRUE	0	0	0	0	0	0
270	306	wcc_reb03	None	None	0	<$>112404</>	None	TRUE	0	0	0	0	0	0
270	307	wcc_reb04	None	None	0	<$>112405</>	None	TRUE	0	0	0	0	0	0
270	308	wcc_ptv01	None	None	0	<$>112406</>	None	TRUE	0	0	0	0	0	0
270	309	wcc_reb05	None	None	0	<$>112407</>	None	TRUE	0	0	0	0	0	0
270	310	wcc_auch03	None	None	0	<$>112408</>	None	TRUE	0	0	0	0	0	0
270	311	wcc_auch02	None	None	0	<$>112409</>	None	TRUE	0	0	0	0	0	0
0	1	None	Middle	btl_auch02	1371	<$>28784</>	None	FALSE	60013	60014	61011	0	0	0
0	2	None	High	btl_bah04	8008	<$>28786</>	None	FALSE	60033	60034	61031	0	0	0
0	3	None	None	btl_coim02	3865	<$>28788</>	None	FALSE	0	0	61051	0	0	0
0	4	None	High	btl_ktv03	4063	<$>28792</>	None	FALSE	60093	60094	61091	0	0	0
0	5	None	None	btl_ptv01	509	<$>28793</>	None	FALSE	0	0	61101	0	0	0
0	6	None	None	btl_reb04	508	<$>28797</>	None	FALSE	0	0	61141	0	0	0
0	7	None	High	btl_reb05	1165	<$>28798</>	None	FALSE	60153	60154	61151	0	0	0
0	8	None	High	btl_ttr02	504	<$>28802</>	None	FALSE	60193	60194	61191	0	0	0
0	9	None	None	btl_ust01	1461	<$>28804</>	None	FALSE	0	0	61211	0	0	0
0	10	None	Middle	btl_reb02	506	<$>28795</>	None	FALSE	60123	60124	61121	0	0	0
0	60082	None	None	None	0	None	Center	FALSE	0	0	0	-19	4844	-64
0	60083	None	None	None	0	None	West	FALSE	0	0	0	-4152	-2732	266
0	60084	None	None	None	0	None	East	FALSE	0	0	0	4128	-2733	266
0	60092	None	None	None	0	None	Center	FALSE	0	0	0	0	15	276
0	60093	None	None	None	0	None	West	FALSE	0	0	0	-9907	-4655	183
0	60094	None	None	None	0	None	East	FALSE	0	0	0	9920	-4668	183
