BasicSuccess	ClassID	FailedMax	FailedMin	FailedReward	LevelBonus	MixLevel	RewardItem1	RewardItem2	RewardItem3	RewardMax1	RewardMax2	RewardMax3	RewardMin1	RewardMin2	RewardMin3	RewardProbability1	RewardProbability2	RewardProbability3	TakeCount1	TakeCount2	TakeCount3	TakeItem1	TakeItem2	TakeItem3	Text
50	1	4	1	Honey2	12	0	ClearRum	GreatClearRum	None	7	7	0	1	1	0	80	20	0	5	5	0	GoldenApple	Honey2	None	<$>29707</>
50	2	4	1	Honey2	12	0	ClearRum	GreatClearRum	None	7	7	0	1	1	0	80	20	0	5	5	0	Cabosse	Honey2	None	<$>29708</>
50	3	4	1	Feedstuff	12	0	FishMeat	GreatFishMeat	None	5	5	0	1	1	0	90	10	0	3	3	0	Nandas	FrozenMarlin_Etc	None	<$>29709</>
35	4	2	1	Rafflesia_Red	12	0	EmergencyResurrectivePotion	ExcrementsLump	None	1	3	0	1	1	0	80	20	0	3	3	1	GreatCocka_Egg	Rafflesia_Red	ExcrementsLump	<$>29710</>
45	5	1	1	Leaf_Ref	11	1	Leaf_Ref	None	None	3	0	0	2	0	0	100	0	0	5	5	5	Rafflesia_Yellow	Rafflesia_Red	Rafflesia_Green	<$>29711</>
45	6	4	1	Honey2	16	1	ClearRum	GreatClearRum	None	10	10	0	2	2	0	40	60	0	5	5	0	GreatGoldenApple	Honey2	None	<$>29712</>
45	7	4	1	Honey2	16	1	ClearRum	GreatClearRum	None	10	10	0	2	2	0	40	60	0	5	5	0	GreatCabosse	Honey2	None	<$>29713</>
45	8	4	1	Octo	12	1	FishMeat	GreatFishMeat	None	5	5	0	1	1	0	70	30	0	5	1	1	Octo	Nandas	FrozenMarlin_Etc	<$>29714</>
45	9	2	1	SpiderMeet	8	1	GreatSpiderMeet	None	None	5	0	0	1	0	0	100	0	0	5	1	0	SpiderMeet	Leaf_Ref	None	<$>29715</>
45	10	2	1	Brawn	8	1	GreatBrawn	None	None	5	0	0	1	0	0	100	0	0	5	1	0	Brawn	Leaf_Ref	None	<$>29716</>
45	11	4	1	Nandas	9	1	Tasty_Meat	Feedstuff	None	2	5	0	1	1	0	50	50	0	5	5	5	SpiderMeet	Brawn	Nandas	<$>29717</>
40	12	2	1	Wolfmeat	9	2	GreatWolfmeat	None	None	5	0	0	1	0	0	100	0	0	5	1	0	Wolfmeat	Leaf_Ref	None	<$>29718</>
40	13	2	1	ComodoMeet	9	2	GreatComodoMeet	None	None	5	0	0	1	0	0	100	0	0	5	1	0	ComodoMeet	Leaf_Ref	None	<$>29719</>
40	14	4	1	GreatOcto	9	2	FishMeat	GreatFishMeat	None	5	5	0	1	1	0	10	90	0	5	1	1	GreatOcto	Nandas	FrozenMarlin_Etc	<$>29720</>
45	15	4	1	FrozenMarlin_Etc	8	2	Tasty_Meat	Feedstuff	None	2	5	0	1	1	0	50	50	0	5	5	5	ComodoMeet	Wolfmeat	FrozenMarlin_Etc	<$>29721</>
45	16	2	1	Cocka_Egg	8	2	GreatCocka_Egg	None	None	5	0	0	1	0	0	100	0	0	5	1	0	Cocka_Egg	Leaf_Ref	None	<$>29722</>
43	17	2	1	Cabbage_Seed	8	3	Great_Cabbage_Seed	Cabbage_Seed	None	2	5	0	1	1	0	80	20	0	3	1	1	Cabbage_Seed	Cabbage	EarthPiece	<$>29723</>
43	18	2	1	Apple_Seed	8	3	Great_Apple_Seed	Apple_Seed	None	2	5	0	1	1	0	80	20	0	3	1	1	Apple_Seed	GoldenApple	EarthPiece	<$>29724</>
43	19	2	1	Cabosse_Seed	8	3	Great_Cabosse_Seed	Cabosse_Seed	None	2	5	0	1	1	0	80	20	0	3	1	1	Cabosse_Seed	Cabosse	EarthPiece	<$>29725</>
43	20	2	1	Berobero_Seed	8	3	Great_Berobero_Seed	Berobero_Seed	None	2	5	0	1	1	0	80	20	0	3	1	1	Berobero_Seed	Beet	EarthPiece	<$>29726</>
43	21	2	1	Flour_Seed	8	3	Great_Flour_Seed	Flour_Seed	None	2	5	0	1	1	0	80	20	0	3	1	1	Flour_Seed	WheatFlour	EarthPiece	<$>29727</>
43	22	2	1	GoldenEgg_Seed	8	3	Great_GoldenEgg_Seed	GoldenEgg_Seed	None	2	5	0	1	1	0	80	20	0	3	1	1	GoldenEgg_Seed	Corn	EarthPiece	<$>29728</>
40	23	1	1	ExcrementsLump	8	3	Manure	FishingBait	None	3	7	0	1	1	0	50	50	0	5	3	1	Nandas	FrozenMarlin_Etc	Leaf_Ref	<$>29729</>
32	24	2	1	Leaf_Ref	9	4	WaterproofGlove	None	None	1	0	0	1	0	0	100	0	0	1	3	1	Honey2	Leaf_Ref	EarthPiece	<$>29730</>
32	25	2	1	Leaf_Ref	9	4	GoldenGlove	None	None	1	0	0	1	0	0	100	0	0	3	3	1	HorseNail	Leaf_Ref	EarthPiece	<$>29731</>
32	26	10	1	Capypotato	9	4	SoulResurrectivePotion	None	None	1	0	0	1	0	0	100	0	0	3	5	30	Leaf_Ref	ShinyCrystal	Capypotato	<$>29732</>
30	27	2	1	ExcrementsLump	9	5	TastyFishFood	FishingBait	None	5	7	0	1	1	0	50	50	0	3	5	1	Nandas	FrozenMarlin_Etc	Rafflesia_Red	<$>29733</>
30	28	4	1	HorseNail	9	5	Strong_fishing_rod	None	None	1	0	0	1	0	0	100	0	0	5	1	1	HorseNail	WindElementalStone	ShinyCrystal	<$>29734</>
30	29	2	1	Leaf_Ref	8	6	FarmToken	FarmToken	FarmToken	10	5	3	1	1	1	5	15	80	3	3	3	EarthPiece	WindElementalStone	Leaf_Ref	<$>105597</>
30	30	3	1	Leaf_Ref	8	6	FarmerBox	PCCafePoint_box01	PCCafePoint_box02	1	1	1	1	1	1	98	1	1	1	1	1	WaterproofGlove	GoldenGlove	Strong_fishing_rod	<$>29736</>
