CharName	CharUserID	ClassID	IsConsumeRecipe	MakeType	MaterialID	MaterialOpt	NPCUserID	Recipe	RecipeLv	RecipeName	Stuff1	Stuff1Name	Stuff1Num	Stuff2	Stuff2Name	Stuff2Num	Stuff3	Stuff3Name	Stuff3Num	Stuff4	Stuff4Name	Stuff4Num	Stuff5	Stuff5Name	Stuff5Num	Stuff6	Stuff6Name	Stuff6Num	Stuff7	Stuff7Name	Stuff7Num	Target	TargetName	TargetNum
Adelina	19	12601	TRUE	1	0	0	COIM_WEP	86089	100	Recipe_SwordofQueen	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60111	SwordofQueen	1
Adelina	19	12602	TRUE	1	0	0	COIM_WEP	86090	100	Recipe_SwordofKnight	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60209	SwordofKnight	1
Adelina	19	12603	TRUE	1	0	0	COIM_WEP	86091	100	Recipe_GoldenDamascus	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60310	GoldenDamascus	1
Claude	8	12604	TRUE	1	0	0	REB_WEP	86092	100	Recipe_SwordofKing	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60412	SwordofKing	1
Claude	8	12605	TRUE	1	0	0	REB_WEP	86093	100	Recipe_SerpentSpear	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21886	SnailShell	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60511	SerpentSpear	1
Adelina	19	12606	TRUE	1	0	0	COIM_WEP	86094	100	Recipe_WhiteDagger	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60610	WhiteDagger	1
Adelina	19	12607	TRUE	1	0	0	COIM_WEP	86095	100	Recipe_BlackDagger	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60611	BlackDagger	1
Adelina	19	12608	TRUE	1	0	0	COIM_WEP	86096	100	Recipe_SerpentMaingauche	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21886	SnailShell	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60705	SerpentMaingauche	1
Claude	8	12609	TRUE	1	0	0	REB_WEP	86097	100	Recipe_GoldenFist	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60808	GoldenFist	1
Claude	8	12610	TRUE	1	0	0	REB_WEP	86098	100	Recipe_GoldenFeet	75522	Melee_Crystal_32	1	21361	ExpeditionMemo	100	21885	OldChess	10	21925	CouponLv_25	30	0	None	0	0	None	0	0	None	0	60908	GoldenFeet	1
