ClassID	ClassName	GiveItem	ItemName	RemoveProp
48000	NoArtifact	None	<$>13438</>	None
48001	OldGolemTalisman	None	<$>88291</>	None
48002	OldDemonTalisman	None	<$>88294</>	None
48003	OldLightningTurtle	None	<$>88296</>	None
48004	OldBlackRose	None	<$>88298</>	None
48005	OldBloodyRose	None	<$>88300</>	None
48006	OldPsychicSnake	None	<$>88302</>	None
48007	OldShiningRose	None	<$>88304</>	None
48008	OldSellenesMemory	None	<$>88306</>	None
48009	OldSellenesTear	None	<$>88308</>	None
48010	OldSellenesHeart	None	<$>88310</>	None
48011	OldRepairmansNut	None	<$>88312</>	None
48012	OldRepairmansBolt	None	<$>88314</>	None
48013	OldIceToad	None	<$>88316</>	None
48014	OldArucardPiercing	None	<$>88318</>	None
48015	OldUndeadTalisman	None	<$>88320</>	None
48016	OldEagleEye	None	<$>88322</>	None
48017	OldSnipersRing	None	<$>88324</>	None
48018	OldExcutionersEarring	None	<$>88326</>	None
48019	OldExcutionersRing	None	<$>88328</>	None
48020	OldCreatureTalisman	None	<$>88330</>	None
48021	OldCloverLocket	None	<$>88332</>	None
48022	OldFireLizard	None	<$>88334</>	None
48023	OldPioneerNecklace	None	<$>88336</>	None
48024	OldPioneersPiercing	None	<$>88338</>	None
48025	OldPresto	None	<$>88340</>	None
48026	GolemTalisman	None	<$>88342</>	None
48027	DemonTalisman	None	<$>88344</>	None
48028	LightningTurtle	None	<$>38940</>	None
48029	BlackRose	None	<$>88347</>	None
48030	BloodyRose	None	<$>38945</>	None
48031	PsychicSnake	None	<$>38941</>	None
48032	ShiningRose	None	<$>88351</>	None
48033	SellenesMemory	None	<$>38936</>	None
48034	SellenesTear	None	<$>43480</>	None
48035	SellenesHeart	None	<$>88355</>	None
48036	RepairmansNut	None	<$>38942</>	None
48037	RepairmansBolt	None	<$>88358</>	None
48038	IceToad	None	<$>38939</>	None
48039	ArucardPiercing	None	<$>88361</>	None
48040	UndeadTalisman	None	<$>88363</>	None
48041	EagleEye	None	<$>88365</>	None
48042	SnipersRing	None	<$>43482</>	None
48043	ExcutionersEarring	None	<$>88368</>	None
48044	ExcutionersRing	None	<$>88370</>	None
48045	CreatureTalisman	None	<$>88372</>	None
48046	CloverLocket	None	<$>88374</>	None
48047	FireLizard	None	<$>38938</>	None
48048	PioneerNecklace	None	<$>38937</>	None
48049	PioneersPiercing	None	<$>88378</>	None
48050	Presto	None	<$>88380</>	None
48051	E_GolemTalisman	None	<$>88382</>	AF_E_GolemTalisman
48052	E_DemonTalisman	None	<$>88384</>	AF_E_DemonTalisman
48053	E_LightningTurtle	None	<$>88386</>	None
48054	E_BlackRose	None	<$>88388</>	AF_E_BlackRose
48055	E_BloodyRose	None	<$>88390</>	AF_E_BloodyRose
48056	E_PsychicSnake	None	<$>88392</>	None
48057	E_ShiningRose	None	<$>88394</>	None
48058	E_SellenesMemory	None	<$>88396</>	AF_E_SMemory
48059	E_SellenesTear	None	<$>88398</>	None
48060	E_SellenesHeart	None	<$>88400</>	AF_E_SHeart
48061	E_RepairmansNut	None	<$>88402</>	AF_E_RmansNut
48062	E_RepairmansBolt	None	<$>88404</>	AF_E_RmansBolt
48063	E_IceToad	None	<$>88406</>	None
48064	E_ArucardPiercing	None	<$>88408</>	None
48065	E_UndeadTalisman	None	<$>88410</>	AF_E_UndeadTalisman
48066	E_EagleEye	None	<$>88412</>	None
48067	E_SnipersRing	None	<$>88414</>	None
48068	E_ExcutionersEarring	None	<$>88416</>	AF_E_ExcutionersEarring
48069	E_ExcutionersRing	None	<$>88418</>	None
48070	E_CreatureTalisman	None	<$>88420</>	AF_E_CreatureTalisman
48071	E_CloverLocket	None	<$>88422</>	None
48072	E_FireLizard	None	<$>88424</>	None
48073	E_PioneerNecklace	None	<$>88426</>	None
48074	E_PioneersPiercing	None	<$>88428</>	None
48075	E_Presto	None	<$>88430</>	None
48076	MarchettiPen	None	<$>88432</>	AF_MarchettiPen
48077	Barrelbarrel	None	<$>88434</>	AF_Barrelbarrel
48078	HeyranPendent	None	<$>91107</>	AF_HeyranPendent
48079	BerneliNecktie	None	<$>91109</>	AF_BerneliNecktie
48080	GarciaMedal	None	<$>91111</>	AF_GarciaMedal
48081	ClairHat	None	<$>91113</>	AF_ClairHat
48082	SalamanderStone	None	<$>91714</>	AF_SalamanderStone
48083	HeavyFurCoat	None	<$>91716</>	AF_HeavyFurCoat
48084	RubberGloves	None	<$>91718</>	AF_RubberGloves
48085	MindCirclet	None	<$>91720</>	AF_MindCirclet
48086	ImpregnableG1	None	<$>91653</>	AF_ImpregnableG1
48087	ImpregnableG2	None	<$>91654</>	AF_ImpregnableG2
48088	ImpregnableG3	None	<$>91655</>	AF_ImpregnableG3
48089	FamilyCape	None	<$>93614</>	AF_FamilyCape
48090	ZackMark	None	<$>93616</>	AF_ZackMark
48091	ButlerTogs	None	<$>93618</>	AF_ButlerTogs
48092	VanguardShield	None	<$>93620</>	AF_VanguardShield
48093	DeceptiveBall	None	<$>93622</>	AF_DeceptiveBall
48094	FirstAidEquipment	None	<$>93624</>	AF_FirstAidEq
48095	EmptyCartridgeRing	None	<$>93626</>	AF_EmptyCartridge
48096	ElementalNecklace	None	<$>93628</>	AF_ElementalNec
48097	Pinkscarf	None	<$>94396</>	AF_Pinkscarf
48098	SoulRipperHood	None	<$>94398</>	AF_SoulRipperHood
48099	GrimRipperChain	None	<$>94400</>	AF_GrimRipperChain
48100	ProstMask	None	<$>94402</>	AF_ProstMask
48101	Pioneerspiace(1Day)	None	<$>93246</>	None
48102	Pioneerspiace(5Days)	None	<$>93247</>	None
48103	Pioneerspiace(10Days)	None	<$>93248</>	None
48104	Pioneerspiace(15Days)	None	<$>93249</>	None
48105	Pioneerspiace(30Days)	None	<$>93250</>	None
48106	WisemanofBody(1Day)	None	<$>93251</>	None
48107	WisemanofBody(5Days)	None	<$>93252</>	None
48108	WisemanofBody(10Days)	None	<$>93253</>	None
48109	WisemanofBody(15Days)	None	<$>93254</>	None
48110	WisemanofBody(30Days)	None	<$>93255</>	None
48111	PictureDiary	None	<$>95350</>	AF_PictureDiary
48112	HairRibbon	None	<$>95352</>	AF_HairRibbon
48113	MomsHairpin	None	<$>95354</>	AF_MomsHairpin
48114	TresureGolemPiece	None	<$>95356</>	AF_TGolemPiece
48115	ShePicture	None	<$>53801</>	AF_ShePicture
48116	RedCarriage	None	<$>95359</>	AF_RedCarriage
48117	CrystalFire	None	<$>95361</>	AF_CrystalFire
48118	ROBOR90	None	ROBO R 90	AF_ROBOR90
48119	Libertar	None	<$>97790</>	AF_Libertar
48120	Frio	None	<$>97792</>	AF_Frio
48121	BBrooch	None	<$>97794</>	AF_BBrooch
48122	Epaulet	None	<$>97796</>	AF_Epaulet
48123	Postcards	None	<$>98910</>	AF_Postcards
48124	Pick	None	<$>99706</>	AF_Pick
48125	Sketchbook	None	<$>37916</>	AF_Sketchbook
48126	WoodenSword	None	<$>99709</>	AF_WoodenSword
48127	MoonWalk	None	<$>99711</>	AF_MoonWalk
48128	MaryBroom	None	<$>103674</>	AF_MaryBroom
48129	IdgeNotebook	None	<$>103676</>	AF_IdgeNotebook
48130	BloodyBandage	None	<$>103678</>	AF_BloodyBandage
48131	TreasureMap	None	<$>103680</>	AF_TreasureMap
48132	MaideSymbol	None	<$>106822</>	None
48133	LorchWatch	None	<$>106824</>	AF_LorchWatch
48134	RingNecklace	None	<$>106826</>	AF_RingNecklace
48135	CalyceDagger	None	<$>39490</>	AF_CalyceDagger
48136	ProofOfValor	None	<$>106829</>	AF_ProofOfValor
48137	ProofOfGuardian	None	<$>106831</>	AF_ProofOfGuardian
48138	Mitten	None	<$>106833</>	AF_Mitten
48139	OldPhotos	None	<$>106835</>	AF_OldPhotos
48140	Limit_BLK	None	<$>109422</>	None
48141	Limit_MeleeATK	None	<$>109424</>	None
48142	Limit_STR	None	<$>109426</>	AF_Limit_STR
48143	Limit_MSPD	None	<$>109428</>	None
48144	Limit_ASPD	None	<$>109430</>	None
48145	Limit_AGI	None	<$>109432</>	AF_Limit_AGI
48146	Limit_MHP	None	<$>109434</>	None
48147	Limit_RHP	None	<$>109436</>	None
48148	Limit_CON	None	<$>109438</>	AF_Limit_CON
48149	Limit_ShootATK	None	<$>109440</>	None
48150	Limit_CRT	None	<$>109442</>	None
48151	Limit_DEX	None	<$>109444</>	AF_Limit_DEX
48152	Limit_MagicATK	None	<$>109446</>	None
48153	Limit_R_Magic	None	<$>109448</>	None
48154	Limit_INT	None	<$>109450</>	AF_Limit_INT
48155	Limit_BLK_Old	None	<$>109452</>	None
48156	Limit_MeleeATK_Old	None	<$>109454</>	None
48157	Limit_MSPD_Old	None	<$>109456</>	None
48158	Limit_ASPD_Old	None	<$>109458</>	None
48159	Limit_MHP_Old	None	<$>109460</>	None
48160	Limit_RHP_Old	None	<$>109462</>	None
48161	Limit_ShootATK_Old	None	<$>109464</>	None
48162	Limit_CRT_Old	None	<$>109466</>	None
48163	Limit_MagicATK_Old	None	<$>109468</>	None
48164	Limit_R_Magic_Old	None	<$>109470</>	None
