ClassID	Difference	Expectancy
1	677	0.99
2	589	0.98
3	538	0.97
4	501	0.96
5	470	0.95
6	444	0.94
7	422	0.93
8	401	0.92
9	393	0.91
10	366	0.9
11	351	0.89
12	335	0.88
13	322	0.87
14	309	0.86
15	296	0.85
16	284	0.84
17	273	0.83
18	262	0.82
19	251	0.81
20	240	0.8
21	230	0.79
22	220	0.78
23	211	0.77
24	202	0.76
25	193	0.75
26	184	0.74
27	175	0.73
28	166	0.72
29	158	0.71
30	149	0.7
31	141	0.69
32	133	0.68
33	125	0.67
34	117	0.66
35	110	0.65
36	102	0.64
37	95	0.63
38	87	0.62
39	80	0.61
40	72	0.6
41	65	0.59
42	57	0.58
43	50	0.57
44	43	0.56
45	36	0.55
46	29	0.54
47	21	0.53
48	14	0.52
49	7	0.51
50	0	0.5
51	-7	0.49
52	-14	0.48
53	-21	0.47
54	-29	0.46
55	-36	0.45
56	-43	0.44
57	-50	0.43
58	-57	0.42
59	-65	0.41
60	-72	0.4
61	-80	0.39
62	-87	0.38
63	-95	0.37
64	-102	0.36
65	-110	0.35
66	-117	0.34
67	-125	0.33
68	-133	0.32
69	-141	0.31
70	-149	0.3
71	-158	0.29
72	-166	0.28
73	-175	0.27
74	-184	0.26
75	-193	0.25
76	-202	0.24
77	-211	0.23
78	-220	0.22
79	-230	0.21
80	-240	0.2
81	-251	0.19
82	-262	0.18
83	-273	0.17
84	-284	0.16
85	-296	0.15
86	-309	0.14
87	-322	0.13
88	-335	0.12
89	-351	0.11
90	-366	0.1
91	-383	0.09
92	-401	0.08
93	-422	0.07
94	-444	0.06
95	-470	0.05
96	-501	0.04
97	-538	0.03
98	-589	0.02
99	-677	0.01
