ClassID	ClassName	Count	ItemID	ItemName	Rate	StackRate
1	Combat_manual_50_7days	1	88608	<$>30266</>	5	5
2	Symbol_Sagittarius	1	75340	<$>36778</>	8	13
3	Symbol_Capricornus	1	75341	<$>36779</>	8	21
4	Symbol_Gemini	1	75334	<$>36772</>	8	29
5	Symbol_Cancer	1	75335	<$>36773</>	8	37
6	Metal_Crystal_28	2	75555	<$>36916</>	15	52
7	BlueJewel4	2	21814	<$>35902</>	15	67
8	CouponLv_25	3	21925	<$>36080</>	15	82
9	Leather_Crystal_28	2	75556	<$>36917</>	15	97
10	Melee_Crystal_28	2	75504	<$>36885</>	15	112
11	Shoot_Crystal_28	2	75505	<$>36886</>	15	127
12	ProgresMitridart	10	20887	<$>33562</>	20	147
13	Recipe_Coupon_Arsene_Red	1	86310	<$>40908</>	20	167
14	ProgresPainkiller	10	20889	<$>33566</>	20	187
15	BarrackSlot	1	21007	<$>30515</>	20	207
16	ProgresNutrition	10	20886	<$>33560</>	20	227
17	RedJewel4	3	21809	<$>35892</>	20	247
18	Recipe_Coupon_Arsene_Blue	1	86311	<$>40910</>	20	267
19	AndreBox_A	5	20519	<$>30407</>	20	287
20	AccessoryBox	5	20555	<$>30426</>	20	307
21	GreenJewel4	5	21819	<$>35912</>	20	327
22	SoulCrystal	5	20084	<$>30393</>	30	357
23	New_RingBox_A	2	23498	<$>98296</>	5	362
24	New_RingBox_B	2	23499	<$>98297</>	5	367
25	New_RingBox_C	2	23500	<$>98298</>	5	372
26	New_RingBox_D	2	23501	<$>98299</>	5	377
27	New_RingBox_E	2	23502	<$>98300</>	5	382
28	EXPCard_Veteran_a	1	20351	<$>33030</>	30	412
29	CouponLv_24	5	21924	<$>36078</>	30	442
30	ProgAnalepticRedemy	10	20888	<$>33564</>	30	472
31	EXPCard_90_g	6	20358	<$>53477</>	30	532
32	sthhma	20	88018	<$>30525</>	30	562
33	sthhma2	10	88018	<$>30525</>	30	592
34	TriumphFiller_1	5	20716	<$>30419</>	30	622
35	WhiteHouse	5	20080	<$>32646</>	25	647
36	CouponLv_21	15	21921	<$>36072</>	25	672
37	CouponLv_23	8	21923	<$>36076</>	20	692
38	GlassesBox_B	5	20742	<$>30429</>	20	712
39	PureOtite	3	21899	<$>36036</>	20	732
40	Field_manual_d_1day	1	88319	<$>30304</>	20	752
41	Recipe_Coupon_Arsene_Green	1	86312	<$>40911</>	20	772
42	SSteroid1	3	20545	<$>30411</>	15	787
43	Steroid1	5	20542	<$>30408</>	15	802
44	DefensiveFiller_1	5	20715	<$>30418</>	15	817
45	OffensiveFiller_1	5	20714	<$>30417</>	15	832
46	OtitePerfume	1	88024	<$>30289</>	15	847
47	LumpOfPlatinum	5	21803	<$>35880</>	15	862
48	Coat_Crystal_28	2	75557	<$>36918</>	15	877
49	SocketProtect	1	88099	<$>30527</>	15	892
50	Magic_Crystal_28	2	75506	<$>36887</>	15	907
51	Robe_Crystal_28	2	75558	<$>36919</>	15	922
52	Black_Oxide	2	21026	<$>34954</>	15	937
53	Symbol_Libra	1	75338	<$>36776</>	8	945
54	Symbol_Taurus	1	75333	<$>36771</>	8	953
55	Symbol_Leo	1	75336	<$>36774</>	8	961
56	Symbol_Aquarius	1	75342	<$>36780</>	8	969
57	Symbol_Aries	1	75332	<$>36770</>	8	977
58	Symbol_Pisces	1	75331	<$>36768</>	8	985
59	Symbol_Scorpio	1	75339	<$>36777</>	7	992
60	Symbol_Virgo	1	75337	<$>36775</>	8	1000
