ClassID	Freq	ItemCount	ItemName	Rank
1	1	10	FireCracker	1
2	1	1	ProgresNutrition	1
3	1	1	ProgresMitridart	1
4	1	1	ProgAnalepticRedemy	1
5	1	1	ProgresPainkiller	1
6	1	2	ProgresNutrition	2
7	1	2	ProgresMitridart	2
8	1	2	ProgAnalepticRedemy	2
9	1	2	ProgresPainkiller	2
10	1	1	EXPCard_10	2
11	1	1	EXPCard_Veteran_c	3
12	1	100	IntensifiedHF	3
13	1	100	IntensifiedSF	3
14	1	300	AncientStarOrb	3
15	1	1	CouponLv_23	3
16	1	1	EXPCard_Expert_b	4
17	1	1	HonorCard_S	4
18	1	1	WhiteHouse	4
19	1	1	CouponLv_25	4
20	1	1	EXPCard_Veteran_a	5
21	1	1	HonorCard_M	5
22	1	2	LumpOfPlatinum	5
23	1	2	MoonStone	5
24	1	1	CouponLv_26	5
25	1	1	EXPCard_Expert_a	6
26	1	1	HonorCard_L	6
27	1	1	EleCrystal	6
28	1	1	GrowthStone	6
29	1	1	Constellation_Box	6
