ClassID	ClassName	Desc	FailMsg	IsFindSquad	MaxCount	PreProperty1	PreProperty2	Script	SuccessMsg	Tab	Title	Value1	Value2
10001	Quest_00001	<$>29459</>	<$>12861</>	NO	1	XQ_Linden	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29458</>	11	0
10002	Quest_00002	<$>29459</>	<$>12861</>	NO	1	XQ_Linden	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29460</>	21	0
10003	Quest_00003	<$>29459</>	<$>12861</>	NO	1	XQ_Linden	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29461</>	31	0
10004	Quest_00004	<$>29459</>	<$>12861</>	NO	1	XQ_Linden	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29462</>	41	0
10005	Quest_00005	<$>29459</>	<$>12861</>	NO	1	XQ_Linden	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>124420</>	51	0
10006	Quest_00006	<$>29459</>	<$>12861</>	NO	1	XQ_Linden	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29464</>	61	0
10007	Quest_18004	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>13002</>	11	0
10008	Quest_18005	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>124421</>	21	0
10009	Quest_18006	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>124422</>	31	0
10010	Quest_18007	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29467</>	41	0
10011	Quest_18008	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29468</>	51	0
10012	Quest_18009	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29469</>	61	0
10013	Quest_18010	<$>29459</>	<$>12861</>	NO	1	AQ_Nunez	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>12680</>	71	0
10014	Quest_53001	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>13414</>	11	0
10015	Quest_53002	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>13415</>	22	0
10016	Quest_53003	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	IsEndQuest, Quest_53002	Check_ScenarioQuest	<$>24613</>	scenario	<$>13416</>	31	1
10017	Quest_54001	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	GetInvItemCount, PioneerSymbolLv5	Check_ScenarioQuest	<$>24613</>	scenario	<$>29470</>	41	3
10018	Quest_54002	<$>29459</>	<$>12861</>	NO	1	AQ_Simon	AQ_Simon	Check_ScenarioQuest_OR	<$>24613</>	scenario	<$>29471</>	21	22
10019	Quest_53004	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>13417</>	51	0
10020	Quest_53005	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	IsEndQuest, Quest_53004	Check_ScenarioQuest	<$>24613</>	scenario	<$>13418</>	52	1
10021	Quest_53006	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	GetInvItemCount, IllCrystal	Check_ScenarioQuest	<$>24613</>	scenario	<$>13419</>	61	1
10022	Quest_53007	<$>29459</>	<$>12861</>	NO	1	AQ_AuchAide	XQ_Linden	Check_ScenarioQuest	<$>24613</>	scenario	<$>13420</>	71	72
10023	Quest_13501	<$>29459</>	<$>12861</>	NO	1	AQ_Grandma	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>29472</>	12	0
10024	Quest_21501	<$>29459</>	<$>12861</>	NO	1	XQ_Igornyi	None	Check_ScenarioQuest	<$>24613</>	scenario	<$>12669</>	11	0
