ClassID	ClassName	ClickScp	DBSave	Icon	Msg	SaveProp
1	NoNotification	None	None	notification13.bmp	None	None
2	NewPost	SCP_NEWPOST_CLICK	None	notification8.bmp	None	None
3	CommMasteryPoint	SCP_MASTERY_CLICK	None	notification9.bmp	None	NotificationCMP
4	PushPartyWar	SCP_PARTYWAR_CLICK	None	notification10.bmp	None	None
5	PushPartyTruce	SCP_PARTYTRUCE_CLICK	None	notification11.bmp	None	None
6	MissionListUI	SCP_MISSIONLISTUI_CLICK	None	notification6.bmp	None	Notification1
7	MissionRanking	SCP_MISSIONRANKING_CLICK	None	notification2.bmp	None	None
8	WebItem	SCP_WEBITEM_CLICK	None	notification3.bmp	None	None
9	CabinetItem	SCP_CABINETITEM_CLICK	None	notification3.bmp	None	None
10	TradeProhibition	SCP_TRADEPROHIBITION_CLICK	None	notification3.bmp	None	None
11	Accomplishment	SCP_ACCOMPLISHMENT_CLICK	None	notification3.bmp	None	None
13	SteamInventory	SCP_STEAM_CABINETITEM_CLICK	None	notification3.bmp	<$>214806</>	None
14	Expedition	SCP_EXPEDITION_CLICK	None	notification3.bmp	None	None
