ClassID	ClassName	text
1	None	<$>145437</>
2	Sword	<$>34664</>
3	Rapier	<$>29638</>
4	Sabre	<$>29639</>
5	THSword	<$>29640</>
6	Polearm	<$>29641</>
7	Dagger	<$>29642</>
8	Pistol	<$>29643</>
9	Rifle	<$>29644</>
10	Shotgun	<$>29645</>
11	Cannon	<$>44609</>
12	Shield	<$>29647</>
13	Knuckle	<$>29648</>
14	Leguard	<$>29649</>
15	Lute	<$>29650</>
16	CrossBow	<$>29651</>
17	Rod	<$>29652</>
18	Staff	<$>29653</>
20	FireBrc	<$>29655</>
21	IceBrc	<$>29656</>
22	LghtBrc	<$>29657</>
23	MainG	<$>29658</>
24	Blunt	<$>29659</>
25	Javelin	<$>29660</>
27	Tool	<$>29662</>
28	Controller	<$>29663</>
29	Pendant	<$>45397</>
30	Rosario	<$>29665</>
31	Leather	<$>31454</>
32	Coat	<$>29667</>
33	Robe	<$>29668</>
34	Metal	<$>29669</>
38	BoneBrc	<$>82236</>
40	ArmShield	<$>29674</>
41	ElemBrc	<$>44014</>
48	Crescent	<$>29678</>
49	Tonfa	<$>29679</>
50	Book	<$>29680</>
51	Cube	<$>88285</>
53	HeavyRifle	<$>102961</>
55	ElementalSphere	<$>33706</>
56	Fullmetalshell	<$>33713</>
57	LargeCaliberBullet	<$>33724</>
58	PsychicSphere	<$>33710</>
59	SteelBolt	<$>33231</>
60	Steelbullet	<$>33228</>
61	Glove	<$>38144</>
62	LGlove	<$>38149</>
63	MGlove	<$>38154</>
64	Boots	<$>32365</>
65	LBoots	<$>32372</>
66	MBoots	<$>32376</>
67	Belt	<$>186748</>
68	LBelt	<$>187853</>
69	MBelt	<$>187854</>
