ClassID	ClassName	Need	ShinyNeed	SocketShinyNeed
10001	SchivarlierArmor_Elite	15	0	0
10002	CastillaFate_Metal	18	0	0
10003	CrecementoLeather	0	1	1
10004	CrecementoMetal	0	1	1
10005	CrecementoCoat	0	1	1
10006	CrecementoRobe	0	1	1
20001	Tarot_TheSun	0	200	200
20002	BraceletOfThreeKings	0	150	150
20003	ReinEvent_Sword	1	0	0
20004	Tarot_TheFool	0	200	200
20005	Tarot_TheMagician	0	200	200
20006	Tarot_TheHighPriestess	0	200	200
20007	Tarot_TheEmpress	0	200	200
20008	Tarot_TheEmperor	0	200	200
20009	Tarot_TheHierophant	0	200	200
20010	Tarot_TheLovers	0	200	200
20011	Tarot_TheChariot	0	200	200
20012	Tarot_Strenght	0	200	200
20013	Tarot_TheHermit	0	200	200
20014	Tarot_WheelOfFortune	0	200	200
20015	Tarot_TheJustice	0	200	200
20016	Tarot_TheHangedMan	0	200	200
20017	Tarot_Death	0	200	200
20018	Tarot_Temperance	0	200	200
20019	Tarot_TheDevil	0	200	200
20020	Tarot_TheTower	0	200	200
20021	Tarot_TheStar	0	200	200
20022	Tarot_TheMoon	0	200	200
20023	Tarot_Judgement	0	200	200
20024	Tarot_TheSun_Elite	0	200	200
20025	BristiaDagger	15	0	0
20026	BristiaPistol	15	0	0
20027	BristiaTHSword	15	0	0
20028	BristiaCrescent	15	0	0
20029	BristiaRapier	15	0	0
20030	BristiaKnuckle	15	0	0
20031	BristiaLeguard	15	0	0
20032	BristiaTonfa	15	0	0
20033	BristiaFireBrc	15	0	0
20034	BristiaLghtBrc	15	0	0
20035	BristiaIceBrc	15	0	0
20036	BristiaSword	15	0	0
20037	BristiaLute	15	0	0
20038	BristiaElemBrc	15	0	0
20039	BristiaPolearm	15	0	0
20040	BristiaJavelin	15	0	0
20041	BristiaRod	15	0	0
20042	BristiaStaff	15	0	0
20043	BristiaMainG	15	0	0
20044	BristiaCrossBow	15	0	0
20045	BristiaBlunt	15	0	0
20046	BristiaBayonet	15	0	0
20047	BristiaCannon	15	0	0
20048	BristiaShotgun	15	0	0
20049	BristiaSabre	15	0	0
20050	CrecementoSword	0	1	1
20051	CrecementoBlunt	0	1	1
20052	CrecementoRapier	0	1	1
20053	CrecementoJavelin	0	1	1
20054	CrecementoSabre	0	1	1
20055	CrecementoTHSword	0	1	1
20056	CrecementoPolearm	0	1	1
20057	CrecementoDagger	0	1	1
20058	CrecementoCrescent	0	1	1
20059	CrecementoTonpa	0	1	1
20060	CrecementoPistol	0	1	1
20061	CrecementoRifle	0	1	1
20062	CrecementoShotgun	0	1	1
20063	CrecementoCannon	0	1	1
20064	CrecementoShield	0	1	1
20065	CrecementoKnuckle	0	1	1
20066	CrecementoLeguard	0	1	1
20067	CrecementoLute	0	1	1
20068	CrecementoCrossBow	0	1	1
20069	CrecementoRod	0	1	1
20070	CrecementoStaff	0	1	1
20071	CrecementoFireBrc	0	1	1
20072	CrecementoIceBrc	0	1	1
20073	CrecementoLghtBrc	0	1	1
20074	CrecementoElemBrc	0	1	1
20075	CrecementoBook	0	1	1
20076	CrecementoCube	0	1	1
20077	CrecementoDictionary	0	1	1
20078	CrecementoMainG	0	1	1
20079	CrecementoHammer	0	1	1
20080	CrecementoController	0	1	1
20081	CrecementoPendant	0	1	1
20082	CrecementoRosario	0	1	1
20083	CrecementoBroomStick	0	1	1
20084	BakirRifle3	0	1	1
20085	YeganehTHS2	0	1	1
20086	DreadBuster_Period	0	1	1
20087	PoisonShooter_Period	0	1	1
20088	Stungun_Period	0	1	1
20089	Brandistock_Period	0	1	1
20090	CrecementoArmshield	0	1	1
20091	CrecementoHeavyRifle	0	1	1
