ClassID	ItemID	OptionGroup
1	65002	WepCosOH
2	65003	WepCosOH
3	65004	WepCosOH
4	65005	WepCosOH
5	65006	WepCosTH
6	65007	WepCosTH
7	65008	WepCosOH
8	65009	WepCosTH
9	65010	WepCosOH
10	65011	WepCosOH
11	65012	WepCosOH
12	65013	WepCosOH
13	65014	WepCosOH
14	65015	WepCosOH
15	65016	WepCosTH
16	65017	WepCosTH
17	65018	WepCosOH
18	65019	WepCosTH
19	65020	WepCosOH
20	65021	WepCosOH
21	65022	WepCosTH
22	65023	WepCosOH
23	65024	WepCosTH
24	65025	WepCosOH
25	65026	WepCosOH
26	65027	WepCosOH
27	65028	WepCosTH
28	65029	WepCosTH
29	65030	WepCosOH
30	65031	WepCosTH
31	65032	WepCosOH
32	65033	WepCosOH
34	65035	WepCosOH
35	65036	WepCosOH
36	65037	WepCosOH
37	65038	WepCosOH
38	65039	WepCosTH
39	65040	WepCosTH
40	65041	WepCosOH
41	65042	WepCosTH
42	65043	WepCosOH
43	65044	WepCosOH
44	65045	WepCosTH
45	65046	WepCosTH
46	65047	WepCosTH
48	65049	WepCosTH
49	65050	WepCosOH
50	65051	WepCosOH
51	65052	WepCosOH
52	65053	WepCosOH
53	65054	WepCosOH
54	65055	WepCosOH
55	65056	WepCosOH
56	65057	WepCosOH
57	65058	WepCosTH
58	65059	WepCosTH
59	65060	WepCosOH
60	65061	WepCosOH
61	65062	WepCosOH
62	65063	WepCosTH
63	65064	WepCosTH
64	65065	WepCosOH
65	65066	WepCosOH
66	65067	WepCosOH
67	65068	WepCosTH
68	65069	WepCosTH
69	65070	WepCosTH
70	65071	WepCosTH
71	65072	WepCosOH
72	65073	WepCosOH
73	65074	WepCosOH
74	65075	WepCosOH
75	65076	WepCosTH
76	65077	WepCosTH
77	65078	WepCosOH
78	65079	WepCosTH
79	65080	WepCosOH
80	65081	WepCosOH
85	65086	WepCosOH
86	65087	WepCosTH
87	65088	WepCosOH
88	65089	WepCosOH
89	65090	WepCosOH
90	65091	WepCosETC
91	65092	WepCosOH
92	65093	WepCosOH
93	65094	WepCosOH
94	65095	WepCosTH
95	65096	WepCosOH
96	65097	WepCosOH
97	65098	WepCosOH
98	65099	WepCosTH
99	65100	WepCosTH
100	65101	WepCosETC
101	65102	WepCosETC
102	65103	WepCosETC
103	65104	WepCosTH
104	65105	WepCosTH
105	65106	WepCosTH
106	65107	WepCosOH
107	65108	WepCosTH
108	65109	WepCosOH
109	65110	WepCosOH
110	65111	WepCosOH
112	65113	WepCosOH
113	65114	WepCosTH
114	65115	WepCosOH
115	65116	WepCosTH
116	65117	WepCosTH
117	65118	WepCosTH
118	65119	WepCosOH
119	65120	WepCosOH
120	65121	WepCosTH
122	65123	WepCosOH
123	65124	WepCosTH
124	65125	WepCosTH
126	65127	WepCosTH
127	65128	WepCosOH
128	65129	WepCosOH
129	65130	WepCosTH
130	65131	WepCosTH
131	65132	WepCosOH
132	65133	WepCosOH
133	65134	WepCosOH
134	65135	WepCosOH
135	65136	WepCosOH
136	65137	WepCosTH
137	65138	WepCosOH
138	65139	WepCosTH
139	65140	WepCosOH
140	65141	WepCosTH
141	65142	WepCosOH
142	65143	WepCosOH
143	65144	WepCosOH
144	65145	WepCosTH
145	65146	WepCosTH
146	65147	WepCosOH
147	65148	WepCosTH
148	65149	WepCosOH
149	65150	WepCosTH
150	65151	WepCosTH
151	65152	WepCosTH
152	65153	WepCosTH
153	65154	WepCosOH
154	65155	WepCosOH
155	65156	WepCosTH
156	65157	WepCosOH
157	65158	WepCosTH
158	65159	WepCosOH
159	65160	WepCosOH
160	65161	WepCosOH
161	65162	WepCosOH
162	65163	WepCosOH
163	65164	WepCosOH
164	65165	WepCosETC
165	65166	WepCosOH
166	65167	WepCosOH
167	65168	WepCosOH
168	65169	WepCosOH
169	65170	WepCosOH
170	65171	WepCosOH
171	65172	WepCosTH
172	65173	WepCosTH
173	65174	WepCosTH
174	65175	WepCosOH
175	65176	WepCosOH
176	65177	WepCosOH
177	65178	WepCosOH
178	65179	WepCosOH
179	65180	WepCosOH
180	65181	WepCosOH
181	65182	WepCosOH
182	65183	WepCosOH
183	65184	WepCosOH
184	65185	WepCosOH
185	65186	WepCosOH
186	65187	WepCosOH
188	65189	WepCosOH
189	65190	WepCosOH
190	65191	WepCosOH
191	65192	WepCosOH
192	65193	WepCosTH
193	65194	WepCosTH
194	65195	WepCosTH
195	65196	WepCosTH
196	65197	WepCosOH
197	65198	WepCosOH
198	65199	WepCosOH
199	65200	WepCosOH
200	65201	WepCosOH
201	65202	WepCosOH
202	65203	WepCosOH
203	65204	WepCosOH
204	65205	WepCosOH
205	65206	WepCosOH
206	65207	WepCosOH
207	65208	WepCosOH
208	65209	WepCosOH
209	65210	WepCosOH
210	65211	WepCosOH
211	65212	WepCosOH
212	65213	WepCosOH
213	65214	WepCosOH
214	65215	WepCosTH
215	65216	WepCosTH
216	65217	WepCosTH
217	65218	WepCosTH
218	65219	WepCosTH
219	65220	WepCosTH
220	65221	WepCosTH
221	65222	WepCosTH
222	65223	WepCosTH
223	65224	WepCosOH
224	65225	WepCosOH
225	65226	WepCosOH
226	65227	WepCosOH
227	65228	WepCosOH
228	65229	WepCosTH
229	65230	WepCosTH
230	65231	WepCosTH
231	65232	WepCosOH
232	65233	WepCosOH
233	65234	WepCosTH
234	65235	WepCosOH
235	65236	WepCosOH
236	65237	WepCosTH
237	65238	WepCosOH
238	65239	WepCosTH
239	65240	WepCosTH
240	65241	WepCosOH
241	65242	WepCosTH
242	65243	WepCosOH
243	65244	WepCosOH
244	65245	WepCosTH
245	65246	WepCosTH
246	65247	WepCosOH
248	65249	WepCosTH
249	65250	WepCosOH
250	65251	WepCosOH
251	65252	WepCosOH
252	65253	WepCosOH
253	65254	WepCosOH
254	65255	WepCosOH
255	65256	WepCosOH
256	65257	WepCosTH
257	65258	WepCosETC
258	65259	WepCosTH
259	65260	WepCosTH
260	65261	WepCosOH
261	65262	WepCosTH
262	65263	WepCosTH
263	65264	WepCosOH
264	65265	WepCosTH
265	65266	WepCosTH
266	65267	WepCosTH
267	65268	WepCosTH
268	65269	WepCosOH
