ClassID	ClassName	ColonyMapType	Name
1	reb_basic	COLONYWAR_1	<$>3976</>
11	coim_basic	COLONYWAR_2	<$>1293</>
21	auch_basic	COLONYWAR_3	<$>3977</>
31	ust_basic	COLONYWAR_4	<$>47384</>
41	bah_basic	COLONYWAR_5	<$>8795</>
51	erc_basic	COLONYWAR_6	<$>47784</>
52	alt_basic	COLONYWAR_6	<$>220229</>
61	viron_basic	COLONYWAR_7	<$>47860</>
71	bst_basic	COLONYWAR_8	<$>81060</>
81	arm_basic	COLONYWAR_9	<$>106355</>
82	bedel_basic	COLONYWAR_9	<$>171710</>
83	ile_basic	COLONYWAR_9	<$>203287</>
91	cas_basic	COLONYWAR_10	<$>47857</>
