ClassID	ClassName	Name	Property1	Scp	Tab	Value1
1	slayer1	<$>28654</>	Cwar_Slayer	SCR_CAN_GET_ACHIEVE	Battle	100
2	slayer2	<$>28655</>	Cwar_Slayer	SCR_CAN_GET_ACHIEVE	Battle	250
3	slayer3	<$>28656</>	Cwar_Slayer	SCR_CAN_GET_ACHIEVE	Battle	500
4	slayer4	<$>28657</>	Cwar_Slayer	SCR_CAN_GET_ACHIEVE	Battle	1000
5	slayer5	<$>28658</>	Cwar_Slayer	SCR_CAN_GET_ACHIEVE	Battle	2000
6	slayer6	<$>28659</>	Cwar_Slayer	SCR_CAN_GET_ACHIEVE	Battle	10000
7	wraith1	<$>28660</>	Cwar_SlayerInOneMax	SCR_CAN_GET_ACHIEVE	Battle	5
8	wraith2	<$>28661</>	Cwar_SlayerInOneMax	SCR_CAN_GET_ACHIEVE	Battle	10
9	wraith3	<$>28662</>	Cwar_SlayerInOneMax	SCR_CAN_GET_ACHIEVE	Battle	25
10	wraith4	<$>28663</>	Cwar_SlayerInOneMax	SCR_CAN_GET_ACHIEVE	Battle	50
11	wraith5	<$>28664</>	Cwar_SlayerInOneMax	SCR_CAN_GET_ACHIEVE	Battle	100
12	wraith6	<$>28665</>	Cwar_SlayerInOneMax	SCR_CAN_GET_ACHIEVE	Battle	1000
13	winner1	<$>28666</>	Cwar_WinContinueMax	SCR_CAN_GET_ACHIEVE	Battle	2
14	winner2	<$>28667</>	Cwar_WinContinueMax	SCR_CAN_GET_ACHIEVE	Battle	3
15	winner3	<$>28668</>	Cwar_WinContinueMax	SCR_CAN_GET_ACHIEVE	Battle	5
16	winner4	<$>28669</>	Cwar_WinContinueMax	SCR_CAN_GET_ACHIEVE	Battle	7
17	winner5	<$>28670</>	Cwar_WinContinueMax	SCR_CAN_GET_ACHIEVE	Battle	10
18	winner6	<$>28671</>	Cwar_WinContinueMax	SCR_CAN_GET_ACHIEVE	Battle	30
19	assassin1	<$>28672</>	Cwar_KillBoss	SCR_CAN_GET_ACHIEVE	Battle	1
20	assassin2	<$>28673</>	Cwar_KillBoss	SCR_CAN_GET_ACHIEVE	Battle	3
21	assassin3	<$>28674</>	Cwar_KillBoss	SCR_CAN_GET_ACHIEVE	Battle	5
22	assassin4	<$>28675</>	Cwar_KillBoss	SCR_CAN_GET_ACHIEVE	Battle	7
23	assassin5	<$>28676</>	Cwar_KillBoss	SCR_CAN_GET_ACHIEVE	Battle	10
24	assassin6	<$>28677</>	Cwar_KillBoss	SCR_CAN_GET_ACHIEVE	Battle	20
25	helper1	<$>28678</>	Cwar_Helper	SCR_CAN_GET_ACHIEVE	Assist	200
26	helper2	<$>28679</>	Cwar_Helper	SCR_CAN_GET_ACHIEVE	Assist	500
27	helper3	<$>28680</>	Cwar_Helper	SCR_CAN_GET_ACHIEVE	Assist	1000
28	helper4	<$>28681</>	Cwar_Helper	SCR_CAN_GET_ACHIEVE	Assist	2500
