AI	ARUN	ASPD	ASTD	ATK	ATKDN	ATKS	AniType	AtkLayer	AtkType	BLK	BaseOffset	BlkHand	ClassID	ClassName	ClassType	DebuffDef	DefLayer	DefType	Desc	Dummy_A_LH	Dummy_A_RH	EngName	EnterScp	Far	FileName	Heal25	Heal50	Heal75	HeightOffset1	HeightOffset2	HoldMove	IncASPD	IncBLK	IncCRT	IncHR	IncIMP	IncIP	IncPR	IncRSP	Initial	LHits	LeaveScp	MagicDef	Manual	MaxR	MeleeDef	MinR	MixMainMotion	Name	Near	RHits	RSPD	RSPType	ReqLv	ReqPromotionLv	ReqStn2ID	ReqStn2Lv	ReqStn3ID	ReqStn3Lv	ReqStnID	ReqStnLv	ShootDef	Skill1Req	Skill2Req	Skill3Req	Skill4Req	Skill5Req	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5	SkillName1	SkillName2	SkillName3	SkillName4	SkillName5	SklPts	SpendItemCount	SpendItemID	SplDam	SplLimit	SplRange	SplType	StnATK	StnBLK	StnEXP	StnHR	StnIMP	StnIP	StnIgnoreDEFPer	StnLv	StnMSPD	StnPR	StnRFIRE	StnRICE	StnRLGHT	StnRSTAT	Strong	TRANSFORM	ToolTip	TransformID	UseWeaponAnim	WSPD	Weak	XPType
ATTACKER	PC_ARUN_BKNAI	1667	PC_ASTD_BKNAI	PC_ATK_BKNAI	PC_ATKDN_BKNAI	1	Uni	1	Single	None	0	None	10002	BareknuckleAisha	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN8	0	None	100	YES	100	100	0	YES	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN9	1667	PC_ASTD_BKN9	PC_ATK_BKN9	PC_ATKDN_BKN9	1	Uni	1	Single	None	0	None	10003	BareknuckleSakura	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN8	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN8	1667	PC_ASTD_BKN8	PC_ATK_BKN8	PC_ATKDN_BKN8	1	Uni	1	Single	None	0	None	10004	BareknuckleRo	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN8	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN7	1667	PC_ASTD_BKN7	PC_ATK_BKN7	PC_ATKDN_BKN7	1	Uni	1	Single	None	0	None	10005	BareknuckleJ	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN7	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN1	1667	PC_ASTD_BKN1	PC_ATK_BKN1	PC_ATKDN_BKN1	1	Uni	1	Single	None	0	None	10006	BareknuckleL	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN6	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN6	1667	PC_ASTD_BKN6	PC_ATK_BKN6	PC_ATKDN_BKN6	1	Uni	1	Single	None	0	None	10007	BareknuckleSe	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN6	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKNM	1667	PC_ASTD_BKNM	PC_ATK_BKNM	PC_ATKDN_BKNM	1	Uni	1	Single	None	0	None	10008	BareknuckleM	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNM	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN5	1667	PC_ASTD_BKN5	PC_ATK_BKN5	PC_ATKDN_BKN5	1	Uni	1	Single	None	0	None	10009	BareknuckleCL	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN5	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN	1667	PC_ASTD_BKN	PC_ATK_BKN	PC_ATKDN_BKN	1	Uni	1	Single	PC_BLK_BKN	0	None	10010	Bareknuckle	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN2	1667	PC_ASTD_BKN2	PC_ATK_BKN2	PC_ATKDN_BKN2	1	Uni	1	Single	None	0	None	10011	BareknuckleR	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN2	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN	1500	PC_ASTD_BKN	PC_ATK_BKN	PC_ATKDN_BKN	1	Uni	1	Single	PC_BLK_BKN	0	None	10012	BareknuckleG	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0.4	0	0	0	0	0	0	0	_BKN	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	1	0	0	0	0	10011	0	0	0	0	<$>53451</>	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN3	1667	PC_ASTD_BKN3	PC_ATK_BKN3	PC_ATKDN_BKN3	1	Each	1	Single	PC_BLK_BKN3	0	None	10013	BareknuckleINF	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN3	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKN4	1667	PC_ASTD_BKN4	PC_ATK_BKN4	PC_ATKDN_BKN4	1	Uni	1	Single	None	0	None	10014	BareknuckleD	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKN4	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKNC	1667	PC_ASTD_BKNC	PC_ATK_BKNC	PC_ATKDN_BKNC	1	Uni	1	Single	None	0	None	10015	BareknuckleC	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNC	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKNN	1667	PC_ASTD_BKNN	PC_ATK_BKNN	PC_ATKDN_BKNN	1	Uni	1	Single	None	0	None	10016	BareknuckleN	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNN	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKNA	1667	PC_ASTD_BKNA	PC_ATK_BKNA	PC_ATKDN_BKNA	1	Uni	1	Single	None	0	None	10017	BareknuckleA	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNA	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKNH	1233	PC_ASTD_BKNH	PC_ATK_BKNH	PC_ATKDN_BKNH	1	Uni	1	Single	None	0	None	10018	BareknuckleH	MELEE	100	1	None	<$>140119</>	None	None	Butterfly Dagger	None	YES	stn_escrimasct	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNH	0	None	100	YES	100	100	0	NO	<$>89869</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_CBTV	1866	PC_ASTD_CBTV	PC_ATK_CBTV	PC_ATKDN_CBTV	2	Uni	1	Single	None	0	None	10019	BareknuckleB	MELEE	100	1	None	<$>63638</>	None	None	Combative	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_CBTV	0	None	100	YES	100	100	0	NO	<$>148323</>	YES	4	631	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	69	YES	10031
ATTACKER	PC_ARUN_MAG	2150	PC_ASTD_MAG	PC_ATK_MAG	PC_ATKDN_MAG	2	Uni	1	Single	PC_BLK_MAG	0	RH	10020	MartialArtsG	MELEE	100	1	Block	<$>140120</>	None	None	Chapter of Earth	None	YES	stn_martialartsg	NO	NO	NO	0	200	NO	0.6	0.4	0.4	0	0	0	0	0	_MAG	0	None	100	YES	75	100	0	NO	<$>63333</>	YES	3	469	regenerate	40	0	0	0	0	0	0	0	100	0	5	0	15	20	0	10022	0	10024	10025	none	<$>58729</>	none	<$>58732</>	<$>58737</>	0	0	0	0	0	0	None	1	10	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10051
ATTACKER	PC_ARUN_BKNSA	1667	PC_ASTD_BKNSA	PC_ATK_BKNSA	PC_ATKDN_BKNSA	1	Uni	1	Single	None	0	None	10021	BareknuckleSA	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNA	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
ATTACKER	PC_ARUN_BKNSC	1667	PC_ASTD_BKNSC	PC_ATK_BKNSC	PC_ATKDN_BKNSC	1	Uni	1	Single	None	0	None	10022	BareknuckleSC	MELEE	100	1	None	<$>63638</>	None	None	Bareknuckle	None	YES	stn_bareknuckle	NO	NO	NO	0	200	NO	0	0	0	0	0	0	0	0	_BKNA	0	None	100	YES	100	100	0	NO	<$>29636</>	YES	2	469	regenerate	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	none	none	none	none	none	0	0	0	0	0	0	None	1	0	0	100	0	0	0	1	1	0	0	0	0	0	YES	None	<$>63332</>	0	NO	115	YES	10031
