ClassID	Def	DefRate
1	0	27
2	10	27
3	20	27
4	30	27
5	40	27
6	50	27
7	60	27
8	70	27
9	80	27
10	90	27
11	100	27
12	110	29
13	120	31
14	130	33
15	140	35
16	150	37
17	160	39
18	170	41
19	180	43
20	190	45
21	200	47
22	210	49
23	220	51
24	230	53
25	240	54
26	250	56
27	260	56
28	270	56
29	280	56
30	290	56
31	300	56
32	310	57
33	320	57
34	330	57
35	340	57
36	350	57
37	360	57
38	370	57
39	380	57
40	390	57
41	400	57
42	410	58
43	420	58
44	430	58
45	440	58
46	450	58
47	460	58
48	470	58
49	480	58
50	490	58
51	500	58
52	510	58
53	520	58
54	530	58
55	540	58
56	550	58
57	560	58
58	570	58
59	580	58
60	590	58
