Caption1	Caption10	Caption11	Caption12	Caption13	Caption14	Caption15	Caption16	Caption17	Caption18	Caption19	Caption2	Caption20	Caption21	Caption22	Caption23	Caption24	Caption25	Caption26	Caption27	Caption28	Caption3	Caption4	Caption5	Caption6	Caption7	Caption8	Caption9	ClassID	ClassName	Name1	Name10	Name11	Name12	Name13	Name14	Name15	Name16	Name17	Name18	Name19	Name2	Name20	Name21	Name22	Name23	Name24	Name25	Name26	Name27	Name28	Name3	Name4	Name5	Name6	Name7	Name8	Name9	UiFrame
<$>47594</>	<$>47603</>	<$>47604</>	<$>47605</>	<$>47606</>	<$>47607</>	<$>47608</>	<$>47609</>	<$>47610</>	<$>47611</>	<$>47612</>	<$>47596</>	<$>47613</>	<$>12439</>	<$>47614</>	<$>12437</>	<$>47615</>	None	None	None	None	<$>47597</>	<$>13022</>	<$>47599</>	<$>47600</>	<$>13024</>	<$>47601</>	<$>47602</>	1	missioncreate	mission_combat	mission_master	mission_firstday	mission_wolf_human	mission_stone	mission_scavenger	mission_be_wind	mission_tornado_reen	mission_naturalman	mission_storm_bull	mission_find_keep	mission_battle_hundred	mission_tracer1	mission_wounded	mission_tracer2	mission_evil_gun	mission_mors_sola	None	None	None	None	mission_five_follower	mission_gracielo	mission_terrible_fight	mission_madness	mission_bad_apology	mission_lascasas	mission_epolite_tomb	mcwithlv
<$>48427</>	<$>47622</>	<$>47623</>	<$>14414</>	<$>47624</>	<$>47625</>	<$>13166</>	<$>13003</>	<$>47626</>	<$>47627</>	<$>47628</>	<$>47617</>	<$>47630</>	<$>47632</>	<$>48428</>	<$>48429</>	<$>48430</>	<$>48431</>	<$>48432</>	<$>48433</>	None	<$>47618</>	<$>47619</>	<$>14520</>	<$>29489</>	<$>47620</>	<$>29492</>	<$>47621</>	2	mctest	mission_saint	mission_grandma	mission_awaytofarm	mission_seeding	mission_fertilize	mission_crisisfarm	mission_cherlyn	mission_escudo	mission_happiness	mission_death	mission_outlived	mission_attackedbase	mission_robber	mission_necro	mission_buff	mission_dun_sed03_01	mission_dun_sed03_02	mission_dun_sed03_03	mission_dun_sed02_04	mission_hothouse_bridge	None	mission_tyrannosaurus	mission_rescue	mission_confrontation	mission_skeletonwaltz	mission_brontosaurus	mission_montoro	mission_romina	mcwithnolv
<$>48434</>	None	None	None	None	None	None	None	None	None	None	<$>48435</>	None	None	None	None	None	None	None	None	None	<$>48436</>	<$>48437</>	<$>48438</>	<$>47396</>	None	None	None	3	mcboss	mission_alq_boss_a	None	None	None	None	None	None	None	None	None	None	mission_ttr_boss_a	None	None	None	None	None	None	None	None	None	mission_ptv_boss_a	mission_jaq_boss_b	mission_tor_boss_b	mission_rafflesia1	None	None	None	mcwithlv
<$>47565</>	<$>13687</>	<$>14313</>	<$>47590</>	<$>47591</>	<$>47593</>	<$>47592</>	<$>13005</>	<$>47584</>	<$>97251</>	<$>13764</>	<$>48087</>	<$>47579</>	<$>47350</>	<$>14112</>	<$>47587</>	<$>47588</>	<$>48434</>	<$>48435</>	<$>47768</>	<$>8407</>	<$>47559</>	<$>47567</>	<$>47570</>	<$>47573</>	<$>13055</>	<$>47574</>	<$>13164</>	4	mcquest	mission_lostship	mission_latem	mission_tor_dr1	mission_tor_dr2	mission_tor_dr3	mission_dun_tor02	mission_dun_tor01	mission_lovidic	mission_ramiro_trap	mission_taylor	mission_fld_reb	mission_quarry	mission_fld_alq	mission_fld_coim	mission_cow01	mission_ttr_treasure_a	mission_alq_treasure_a	mission_alq_boss_a	mission_ttr_boss_a	mission_clair2	mission_hothouse	mission_ramiro	mission_rebwepshop	mission_yageneh	mission_mboma	mission_jose	mission_npc	mission_grace	mcwithlv
<$>48439</>	None	None	None	None	None	None	None	None	None	None	<$>48440</>	None	None	None	None	None	None	None	None	None	<$>48441</>	None	None	None	None	None	None	5	mcmatch	mission_versus	None	None	None	None	None	None	None	None	None	None	mission_triple	None	None	None	None	None	None	None	None	None	mission_liberty	None	None	None	None	None	None	mcwithnolv
<$>48434</>	None	None	None	None	None	None	None	None	None	None	<$>13206</>	None	None	None	None	None	None	None	None	None	<$>13207</>	<$>13208</>	<$>47732</>	<$>48277</>	<$>13730</>	<$>13731</>	<$>12281</>	6	mcalqbossa	mission_alq_boss_a	None	None	None	None	None	None	None	None	None	None	mission_hoodlum	None	None	None	None	None	None	None	None	None	mission_attackofgra	mission_meetfritz	mission_picnic	mission_resurrection_Ararat	mission_angie_skill	mission_angie_rock	mission_angie_thief	mcwithnolv
<$>48442</>	None	None	None	None	None	None	None	None	None	None	<$>12546</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	mclostship	mission_lostship	None	None	None	None	None	None	None	None	None	None	mission_rio_music	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mcwithnolv
<$>48443</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	8	mcptvbossa	mission_ptv_boss_a	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mcwithnolv
<$>48444</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	9	mcquarry	mission_quarry	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mcwithnolv
<$>48445</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	10	mcramiro	mission_ramiro	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mcwithnolv
