ClassID	ClassName	Desc	DescFont	GroupName	LuminID	Script	ServiceMin	Value	Value1
100	Socket_None	<$>31193</>	input	None	0	None	0	0	0
11001	Lumin_Garnet_Weapon	<$>31077</>	emerald_green_14_ol	Weapon	75101	Socket_IncFireATK	0	7	0
11002	Lumin_Garnet_Armor	<$>31084</>	emerald_green_14_ol	Armor	75101	Socket_IncRFIRE	0	3	0
11003	Lumin_Garnet_Shield	<$>31084</>	emerald_green_14_ol	Shield	75101	Socket_IncRFIRE	0	0	0
11004	Lumin_Garnet_Tool	<$>31110</>	emerald_green_14_ol	Tool	75101	Socket_IncMSP	0	4	0
11005	Lumin_Spodumene_Weapon	<$>31186</>	emerald_green_14_ol	Weapon	75102	Socket_IncIP	0	2	0
11006	Lumin_Spodumene_Armor	<$>31172</>	emerald_green_14_ol	Armor	75102	Socket_IncIMP	0	2	0
11007	Lumin_Spodumene_Shield	<$>31172</>	emerald_green_14_ol	Shield	75102	Socket_IncIMP	0	0	0
11008	Lumin_Spodumene_Tool	<$>31110</>	emerald_green_14_ol	Tool	75102	Socket_IncMSP	0	4	0
11009	Lumin_Zircon_Weapon	<$>31078</>	emerald_green_14_ol	Weapon	75103	Socket_IncIceATK	0	7	0
11010	Lumin_Zircon_Armor	<$>31085</>	emerald_green_14_ol	Armor	75103	Socket_IncRICE	0	4	0
11011	Lumin_Zircon_Shield	<$>31085</>	emerald_green_14_ol	Shield	75103	Socket_IncRICE	0	0	0
11012	Lumin_Zircon_Tool	<$>31110</>	emerald_green_14_ol	Tool	75103	Socket_IncMSP	0	4	0
11013	Lumin_Pearl_Weapon	<$>31194</>	emerald_green_14_ol	Weapon	75104	Socket_IncHPDrain	0	2	0
11014	Lumin_Pearl_Armor	<$>31195</>	emerald_green_14_ol	Armor	75104	Socket_IncRHP	0	20	0
11015	Lumin_Pearl_Shield	<$>31195</>	emerald_green_14_ol	Shield	75104	Socket_IncRHP	0	0	0
11016	Lumin_Pearl_Tool	<$>31110</>	emerald_green_14_ol	Tool	75104	Socket_IncMSP	0	4	0
11017	Lumin_Apatite_Weapon	<$>31073</>	emerald_green_14_ol	Weapon	75105	Socket_IncASPD	0	3	0
11018	Lumin_Apatite_Armor	<$>31088</>	emerald_green_14_ol	Armor	75105	Socket_IncMSPD	0	3	0
11019	Lumin_Apatite_Shield	<$>31122</>	emerald_green_14_ol	Shield	75105	Socket_IncBLK	0	0	0
11020	Lumin_Apatite_Tool	<$>31110</>	emerald_green_14_ol	Tool	75105	Socket_IncMSP	0	4	0
11021	Lumin_Obsidian_Weapon	<$>31072</>	emerald_green_14_ol	Weapon	75106	Socket_IncATK	0	3	0
11022	Lumin_Obsidian_Armor	<$>31082</>	emerald_green_14_ol	Armor	75106	Socket_IncDEF	0	3	0
11023	Lumin_Obsidian_Shield	<$>31082</>	emerald_green_14_ol	Shield	75106	Socket_IncDEF	0	0	0
11024	Lumin_Obsidian_Tool	<$>31110</>	emerald_green_14_ol	Tool	75106	Socket_IncMSP	0	4	0
11025	Lumin_Bloodstone_Weapon	<$>31075</>	emerald_green_14_ol	Weapon	75107	Socket_IncCRT	0	3	0
11026	Lumin_Bloodstone_Armor	<$>31120</>	emerald_green_14_ol	Armor	75107	Socket_IncMHP	0	3	0
11027	Lumin_Bloodstone_Shield	<$>31082</>	emerald_green_14_ol	Shield	75107	Socket_IncDEF	0	0	0
11028	Lumin_Bloodstone_Tool	<$>31110</>	emerald_green_14_ol	Tool	75107	Socket_IncMSP	0	4	0
11029	Lumin_Peridot_Weapon	<$>31134</>	emerald_green_14_ol	Weapon	75108	Socket_IncPsyATK	0	7	0
11030	Lumin_Peridot_Armor	<$>31159</>	emerald_green_14_ol	Armor	75108	Socket_IncRPSY	0	4	0
11031	Lumin_Peridot_Shield	<$>31159</>	emerald_green_14_ol	Shield	75108	Socket_IncRPSY	0	0	0
11032	Lumin_Peridot_Tool	<$>31110</>	emerald_green_14_ol	Tool	75108	Socket_IncMSP	0	4	0
11033	Lumin_Tanzanite_Weapon	<$>31110</>	emerald_green_14_ol	Weapon	75109	Socket_IncMSP	0	3	0
11034	Lumin_Tanzanite_Armor	<$>31083</>	emerald_green_14_ol	Armor	75109	Socket_IncPR	0	2	0
11035	Lumin_Tanzanite_Shield	<$>31122</>	emerald_green_14_ol	Shield	75109	Socket_IncBLK	0	0	0
11036	Lumin_Tanzanite_Tool	<$>31110</>	emerald_green_14_ol	Tool	75109	Socket_IncMSP	0	4	0
11037	Lumin_Opal_Weapon	<$>31196</>	emerald_green_14_ol	Weapon	75110	Socket_IncAllATK	0	3	0
11038	Lumin_Opal_Armor	<$>31197</>	emerald_green_14_ol	Armor	75110	Socket_IncAllR	0	1	0
11039	Lumin_Opal_Shield	<$>31197</>	emerald_green_14_ol	Shield	75110	Socket_IncAllR	0	0	0
11040	Lumin_Opal_Tool	<$>31110</>	emerald_green_14_ol	Tool	75110	Socket_IncMSP	0	4	0
11041	Lumin_Topaz_Weapon	<$>31079</>	emerald_green_14_ol	Weapon	75111	Socket_IncLghtATK	0	7	0
11042	Lumin_Topaz_Armor	<$>31086</>	emerald_green_14_ol	Armor	75111	Socket_IncRLGHT	0	4	0
11043	Lumin_Topaz_Shield	<$>31086</>	emerald_green_14_ol	Shield	75111	Socket_IncRLGHT	0	0	0
11044	Lumin_Topaz_Tool	<$>31110</>	emerald_green_14_ol	Tool	75111	Socket_IncMSP	0	4	0
11045	Lumin_Turquoise_Weapon	<$>31104</>	emerald_green_14_ol	Weapon	75112	Socket_IncHR	0	3	0
11046	Lumin_Turquoise_Armor	<$>99701</>	emerald_green_14_ol	Armor	75112	Socket_IncRSTAT	0	4	0
11047	Lumin_Turquoise_Shield	<$>99701</>	emerald_green_14_ol	Shield	75112	Socket_IncRSTAT	0	0	0
11048	Lumin_Turquoise_Tool	<$>31110</>	emerald_green_14_ol	Tool	75112	Socket_IncMSP	0	4	0
12001	Lumin_Garnet2_Weapon	<$>31077</>	emerald_green_14_ol	Weapon	75201	Socket_IncFireATK	0	14	0
12002	Lumin_Garnet2_Armor	<$>31084</>	emerald_green_14_ol	Armor	75201	Socket_IncRFIRE	0	8	0
12003	Lumin_Garnet2_Shield	<$>31084</>	emerald_green_14_ol	Shield	75201	Socket_IncRFIRE	0	0	0
12004	Lumin_Garnet2_Tool	<$>31110</>	emerald_green_14_ol	Tool	75201	Socket_IncMSP	0	8	0
12005	Lumin_Spodumene2_Weapon	<$>31186</>	emerald_green_14_ol	Weapon	75202	Socket_IncIP	0	4	0
12006	Lumin_Spodumene2_Armor	<$>31172</>	emerald_green_14_ol	Armor	75202	Socket_IncIMP	0	4	0
12007	Lumin_Spodumene2_Shield	<$>31172</>	emerald_green_14_ol	Shield	75202	Socket_IncIMP	0	0	0
12008	Lumin_Spodumene2_Tool	<$>31110</>	emerald_green_14_ol	Tool	75202	Socket_IncMSP	0	8	0
12009	Lumin_Zircon2_Weapon	<$>31078</>	emerald_green_14_ol	Weapon	75203	Socket_IncIceATK	0	14	0
12010	Lumin_Zircon2_Armor	<$>31085</>	emerald_green_14_ol	Armor	75203	Socket_IncRICE	0	8	0
12011	Lumin_Zircon2_Shield	<$>31085</>	emerald_green_14_ol	Shield	75203	Socket_IncRICE	0	0	0
12012	Lumin_Zircon2_Tool	<$>31110</>	emerald_green_14_ol	Tool	75203	Socket_IncMSP	0	8	0
12013	Lumin_Pearl2_Weapon	<$>31194</>	emerald_green_14_ol	Weapon	75204	Socket_IncHPDrain	0	3	0
12014	Lumin_Pearl2_Armor	<$>31195</>	emerald_green_14_ol	Armor	75204	Socket_IncRHP	0	30	0
