AutoInspect	BossAR	BossClassID	BossDR	BossLv	ClassID	ClassName	GenType	Item_Request	Location	MapClassName	MapName	Name	RewardItem	Time01	Time02	TimeDesc	ZoneLog
YES	74	90013	74	130	1	MON_RAID_DIABLO	Random	None	btl_prison01 2574,2530,0	btl_prison01	<$>47419</>	<$>10003</>	64711,64714,64716,64703,64512,64542,64552,64205,189311,189312,64701,64704,64706	129600	259200	<$>188570</>	YES
YES	74	90020	74	130	2	MON_RAID_SHARFFEN	Random	None	btl_ptv02 11248,12107,-2534	btl_ptv02	<$>28794</>	<$>48352</>	64711,64714,64716,64703,64512,64542,64552,64205,189269,189270,64701,64704,64706	129600	259200	<$>188571</>	YES
YES	74	90086	74	130	3	MON_RECALL_GF	Random	None	btl_reb06	btl_reb06	<$>47375</>	<$>10005</>	64711,64714,64716,64703,64512,64542,64552,64205,189265,189266,64701,64704,64706	86400	172800	<$>188572</>	YES
YES	77	90062	70	130	4	MON_RAFFBOSS1	Random	None	btl_ust01 -11142,-3730,-3307	btl_rafflesia	<$>28804</>	<$>188573</>	64711,64714,64716,64703,64512,64542,64552,64205,189267,189268,64701,64704,64706	86400	172800	<$>188574</>	YES
YES	78	90151	78	135	5	MON_RAID_BOSS_KTV	Random	None	btl_ktv05 29303,23904,10094	dun_ktv_boss	<$>47488</>	<$>10008</>	64711,64714,64716,64703,64512,64542,64552,64205,64701,64704,64706,61908,60906,61008,60806,60608,60410,60207,60308,61109,60509,60109,189336	129600	259200	<$>66962</>	YES
YES	69	30221	69	135	6	MON_GIG_BOSS	Random	None	dun_gig_boss -45,-38,513	dun_gig_boss	<$>47531</>	<$>48363</>	64711,64714,64716,64703,64512,64542,64552,64205,64701,64704,64706,61907,60905,61007,60805,60607,60409,60206,60307,61108,60508,60108,189334	129600	259200	<$>188575</>	YES
YES	79	30311	72	135	7	MON_FLD_ARGUSBRAIN	Random	None	dun_sed01 -3592,1588,572	dun_sed01	<$>47536</>	<$>50030</>	64711,64714,64716,64703,64512,64542,64552,64205,64701,64704,64706,60107,60205,60306,60407,60408,60507,60606,60704,60904,60803,61006,61107,	61205,61304,61906,62106,62107,62205,62306,62406,62506,62601,64107,64110,64204,64308,64309,64416,64417,64418,64421,64511,64541,64551,86103,	86110,86111,86112,86113,86114,86115,86116,86117,86332,86333,86611,21925,189333	129600	259200	<$>188576</>	YES
YES	78	90275	78	135	8	MON_EINSCHWER_RAID_NEW	Random	None	btl_alq02 -15921,-2331,-2806	dun_sil_boss	<$>47499</>	<$>10007</>	64711,64714,64716,64703,64512,64542,64552,64205,64701,64704,64706,61909,60907,60110,61009,60807,60609,60411,60208,60309,61110,60510,189335	129600	259200	<$>200802</>	YES
YES	74	32027	74	130	9	MON_RAID_URAEUS	Random	None	dun_bah02 2606,-2117,86	dun_bah02	<$>47524</>	<$>29453</>	64711,64714,64716,64703,64512,64542,64552,64205,189263,189264,64701,64704,64706	129600	259200	<$>188577</>	YES
YES	72	90191	74	130	10	MON_SKEL_SC	Random	None	btl_coim02 -32069,-21606,-104	btl_coim02	<$>28788</>	<$>50521</>	64711,64714,64716,64703,64512,64542,64552,64205,189271,189272,64701,64704,64706	86400	172800	None	YES
YES	85	90084	82	150	11	MON_RECALL_GR	Etc	None	dun_jaq_c04	dun_jaq_c04	<$>47406</>	<$>231649</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87177	0	0	<$>237455</>	YES
YES	85	17000	82	150	12	MON_BTL_BAH06_BOSS	Etc	None	btl_bah06 2,3230,2777	btl_bah06	<$>110841</>	<$>231629</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87179	0	0	<$>237456</>	YES
YES	85	14593	81	150	13	MON_RUINCRUGER_BOSS	Etc	None	btl_bah05	btl_bah05	<$>106356</>	<$>231627</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87183	0	0	<$>237457</>	YES
YES	53	14980	53	100	14	MON_RAID_BREEZE	Etc	None	btl_bst02	btl_bst02	<$>94595</>	<$>49642</>	86615,86616,86617,86618,86619,86620,86621,86622,86623,86624,86625,86626,86627,86628,86629,86630,86631,86632,86633,86634,86635,86636,86637,86638,86639,86374,86376,86378,86379,86303,86305,86307,86361,86346,86332,86611,86333,45010,45011,45012,19518,19519,19520,19119,19120,19121,46015,46032,15337,45037,64601,64602,64603,64604,64605,64606,64512,64542,64552,21803,40592	0	0	<$>188578</>	YES
YES	85	16910	81	150	15	MON_AUTOBARON_T_RAID	Etc	None	dun_ile02 -35,10577,-24	dun_ile02	<$>179648</>	<$>237458</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87187	0	0	<$>237459</>	YES
YES	85	16710	82	150	16	MON_BTL_BEDEL01_BOSS	Etc	None	btl_bedel01 -2621,-9793,-160	btl_bedel01	<$>171711</>	<$>237460</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87056	0	0	<$>237461</>	YES
YES	84	21490	81	150	17	MON_VIRON2_EVIL_BOSS	Etc	None	dun_evil_raid 15,-2934,0	dun_evil_raid	<$>155018</>	<$>237462</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87177	0	0	<$>237463</>	YES
YES	52	90131	52	100	18	MON_EVENT_SM	Etc	None	dun_jaq05	dun_jaq05	<$>47402</>	<$>50518</>	64110,64107,64308,64309,64310,64111,64112,64416,64417,64418,64421	0	0	<$>66953</>	YES
YES	85	30550	82	148	19	MON_RAID_LANDOFDEATH_SHEOL	Etc	None	btl_ptv01 -8069,-12795,5419	mission_los_01	<$>28793</>	<$>231647</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87182	0	0	<$>237464</>	YES
YES	59	30451	59	114	20	MON_SUB_BOSS	Random	None	dun_sub 9998,-11991,4	dun_sub	<$>47851</>	<$>50048</>	21923,60305,60405,60406,60505,60506,60605,60703,61905,60903,60802,61004,61005,61105,61106,61203,61204,61303,12007,62105,62203,62305,62405,62505,64107,64110,64204,64308,64309,64416,64417,64418,64421,64511,64541,64551,86060,86064,86068,86103,86110,86111,86112,86113,86114,86115,86116,86117,86293,86295,86297,21212,86332,86333,86611	14400	18000	None	YES
YES	85	19625	82	150	21	MON_ILE_CASILE01_A_1	Random	None	dun_casile01_raid 63 -6384 -1707	dun_casile01_raid	<$>203289</>	<$>203350</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
