ClassID	Color1	Color2	Color3	Color4	Color5	GainXp1	GainXp2	GainXp3	GainXp4	GainXp5	Lv	Lv1	Lv10	Lv11	Lv12	Lv13	Lv14	Lv15	Lv16	Lv17	Lv18	Lv19	Lv2	Lv20	Lv21	Lv22	Lv23	Lv24	Lv25	Lv3	Lv4	Lv5	Lv6	Lv7	Lv8	Lv9	MaxLv1	MaxLv2	MaxLv3	MaxLv4	MaxLv5	MinLv1	MinLv2	MinLv3	MinLv4	MinLv5	MonXp	NextXp	TotalXp
1	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	15	419	0
2	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	16	496	419
3	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	17	618	915
4	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	23	807	1533
5	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	29	1087	2340
6	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	35	1489	3427
7	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	41	2041	4916
8	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	47	2777	6957
9	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	-6	4	20	199	-199	-10	-5	5	21	53	3734	9734
10	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	59	4950	13468
