ClassID	ClassName	CreateH	CreateX	CreateY	CreateZone	Direction	InitZoom	Latitude	Longitude	Name	Range	TargetDir	TargetH	TargetX	TargetY	TargetZone	ZoneMapOffsetX	ZoneMapOffsetY	ZoneMapType	ZoomMax	ZoomMin
10001	REB_BASIC-FLD_REB01	239	13035	8963	reb_basic	270	575	33	270	<$>125693</>	200	278	-2362	-11433	18430	btl_reb01	-25	0	OUTSIDE	2200	200
10002	REB_BASIC-FLD_REB	-157	-4575	-18012	reb_basic	350	200	43	538	<$>47338</>	400	13	2567	0	9968	fld_reb	0	0	OUTSIDE	2200	200
10003	FLD_REB-REB_BASIC	2836	0	10638	fld_reb	180	1000	13	354	<$>3976</>	400	0	-234	-4783	-17169	reb_basic	0	0	INSIDE	2200	200
10004	FLD_REB-BTL_REB01	1181	-1923	-7984	fld_reb	0	575	33	270	<$>125693</>	200	278	-1800	-5804	-15076	btl_reb01	-25	0	OUTSIDE	2200	200
10005	BTL_REB01-REB_BASIC	-2362	-13246	19176	btl_reb01	83	1000	34	7	<$>63828</>	300	60	50	12288	8975	reb_basic	0	0	OUTSIDE	2200	200
10006	BTL_REB01-BTL_REB04	-1608	12943	12961	btl_reb01	180	1000	38	426	<$>125694</>	300	112	4538	48052	-6989	btl_reb04	0	-30	OUTSIDE	2200	200
10007	BTL_REB04-BTL_REB01	4824	49257	-7320	btl_reb04	295	1000	47	-187	<$>125693</>	200	0	-1595	12955	12342	btl_reb01	-55	0	OUTSIDE	2200	200
10008	BTL_REB04-FLD_ALQ	6984	-46765	-1643	btl_reb04	60	1000	23	360	<$>125695</>	200	0	1324	2759	-22042	fld_alq	60	0	OUTSIDE	2200	200
10009	FLD_ALQ-BTL_REB04	1445	2809	-22796	fld_alq	353	1000	25	-142	<$>125694</>	250	347	6910	-45899	-1128	btl_reb04	50	-15	OUTSIDE	2200	200
10010	FLD_ALQ-BTL_ALQ01	1937	10979	-5232	fld_alq	214	1000	35	-51	<$>125696</>	200	261	-553	-17097	-13206	btl_alq01	0	-30	OUTSIDE	2200	200
10011	BTL_ALQ01-FLD_ALQ	-556	-17464	-13539	btl_alq01	54	1000	43	154	<$>125695</>	220	0	1957	10716	-5847	fld_alq	0	0	OUTSIDE	2200	200
10012	BTL_ALQ01-BTL_TTR02	1576	-12102	20137	btl_alq01	175	1000	52	11	<$>125697</>	300	184	2114	-33381	-11986	btl_ttr02	0	0	OUTSIDE	2200	200
10013	BTL_TTR02-BTL_ALQ01	2452	-32886	-12635	btl_ttr02	0	1000	27	-163	<$>125696</>	500	278	1566	-12190	19055	btl_alq01	30	0	OUTSIDE	2200	200
10014	BTL_TTR02-FLD_COIM	-1040	32369	23276	btl_ttr02	236	778	28	720	<$>47350</>	650	197	-1940	-26649	-9253	fld_coim	-30	-30	OUTSIDE	2200	200
10015	FLD_COIM-BTL_TTR02	-1946	-26618	-9931	fld_coim	335	1000	26	123	<$>125697</>	200	56	-1127	31403	22418	btl_ttr02	75	-15	OUTSIDE	2200	200
10016	FLD_COIM-COIM_BASIC	1373	-17305	13563	fld_coim	175	1000	19	281	<$>1293</>	600	0	322	-8609	3916	coim_basic	0	0	INSIDE	2200	200
