ClassID	ClassType	Text
10101	Update	<$>29818</>
10102	Update	<$>29819</>
10103	Update	<$>29820</>
10104	Update	<$>29821</>
10105	Update	<$>29822</>
10201	Tip	<$>29823</>
10202	Tip	<$>29824</>
10203	Tip	<$>29825</>
10204	Tip	<$>29826</>
10205	Tip	<$>29827</>
10206	Tip	<$>29828</>
10207	Tip	<$>29829</>
10208	Tip	<$>29830</>
10209	Tip	<$>29831</>
10210	Tip	<$>29832</>
10211	Tip	<$>29833</>
10212	Tip	<$>29834</>
10213	Tip	<$>29835</>
10214	Tip	<$>29836</>
10215	Tip	<$>29837</>
10216	Tip	<$>29838</>
10217	Tip	<$>29839</>
10218	Tip	<$>29840</>
10219	Tip	<$>29841</>
10220	Tip	<$>29842</>
10221	Tip	<$>29843</>
10222	Tip	<$>29844</>
10223	Tip	<$>29845</>
10224	Tip	<$>29846</>
10225	Tip	<$>29847</>
10226	Tip	<$>29848</>
10227	Tip	<$>29849</>
10228	Tip	<$>29850</>
10229	Tip	<$>29851</>
10230	Tip	<$>29852</>
10231	Tip	<$>147902</>
10232	Tip	<$>29854</>
10233	Tip	<$>29855</>
10234	Tip	<$>29856</>
10235	Tip	<$>29857</>
10236	Tip	<$>29858</>
10237	Tip	<$>134524</>
10301	Chat	<$>29861</>
10302	Chat	<$>29862</>
10303	Chat	<$>29863</>
10304	Chat	<$>29864</>
10305	Chat	<$>29865</>
10306	Chat	<$>29866</>
10307	Chat	<$>29867</>
10401	Barrackr	<$>29868</>
10402	Barrackr	<$>29869</>
10403	Barrackr	<$>29870</>
10404	Barrackr	<$>99699</>
10405	Barrackr	<$>29872</>
10406	Barrackr	<$>29873</>
10407	Barrackr	<$>29874</>
10501	Commander	<$>29875</>
10502	Commander	<$>29876</>
10503	Commander	<$>29877</>
10504	Commander	<$>29878</>
10505	Commander	<$>29879</>
10506	Commander	<$>29880</>
10507	Commander	<$>29881</>
10508	Commander	<$>29882</>
10509	Commander	<$>29883</>
10510	Commander	<$>29884</>
10511	Commander	<$>82790</>
10512	Commander	<$>29886</>
10601	AI	<$>29887</>
10602	AI	<$>29888</>
10603	AI	<$>29889</>
10604	AI	<$>29890</>
10701	Key	<$>29891</>
10702	Key	<$>29892</>
10703	Key	<$>29893</>
10704	Key	<$>29894</>
10705	Key	<$>29895</>
10706	Key	<$>29896</>
10707	Key	<$>29897</>
10708	Key	<$>29898</>
10709	Key	<$>29899</>
10710	Key	<$>29900</>
10711	Key	<$>29901</>
10712	Key	<$>29902</>
10713	Key	<$>29903</>
10714	Key	<$>29904</>
10715	Key	<$>29905</>
10716	Key	<$>29906</>
10717	Key	<$>29907</>
10718	Key	<$>29908</>
10719	Key	<$>29909</>
10720	Key	<$>29910</>
10721	Key	<$>29911</>
10722	Key	<$>29912</>
10723	Key	<$>29913</>
10724	Key	<$>29914</>
10725	Key	<$>29915</>
10726	Key	<$>29916</>
10801	Skill	<$>29917</>
10802	Skill	<$>99700</>
10803	Skill	<$>29919</>
10804	Skill	<$>29920</>
10805	Skill	<$>29921</>
10806	Skill	<$>29922</>
10807	Skill	<$>29923</>
10808	Skill	<$>29924</>
10809	Skill	<$>96063</>
10810	Skill	<$>29926</>
10811	Skill	<$>29927</>
10812	Skill	<$>29928</>
10813	Skill	<$>29929</>
10901	Squad	<$>29930</>
10902	Squad	<$>29931</>
10903	Squad	<$>29932</>
10904	Squad	<$>29933</>
10905	Squad	<$>29934</>
10906	Squad	<$>29935</>
10907	Squad	<$>29936</>
10908	Squad	<$>29937</>
10909	Squad	<$>29938</>
10910	Group	<$>29939</>
10911	Group	<$>29940</>
10912	Group	<$>29941</>
10913	Group	<$>29942</>
11001	Party	<$>29943</>
11002	Party	<$>29944</>
11003	Party	<$>29945</>
11004	Party	<$>29946</>
11005	Party	<$>29947</>
11006	Party	<$>29948</>
11007	Party	<$>29949</>
11008	Party	<$>29950</>
11009	Party	<$>29951</>
11010	Party	<$>29952</>
11101	Item	<$>96064</>
11102	Item	<$>29954</>
11103	Item	<$>96065</>
11104	Item	<$>29956</>
11105	Item	<$>29957</>
11106	Item	<$>29958</>
11107	Item	<$>29959</>
11108	Item	<$>29960</>
11201	Reinforce	<$>29961</>
11202	Reinforce	<$>29962</>
11203	Reinforce	<$>29963</>
11204	Reinforce	<$>29964</>
11205	Reinforce	<$>29965</>
11301	Colony	<$>29966</>
11302	Colony	<$>29967</>
11303	Colony	<$>29968</>
11304	Colony	<$>29969</>
11305	Colony	<$>29970</>
11306	Colony	<$>98836</>
11307	Colony	<$>98837</>
11308	Colony	<$>98838</>
11309	Colony	<$>29974</>
11311	Colony	<$>96066</>
11401	Quest	<$>147903</>
11601	auch_basic	<$>98839</>
11602	auch_basic	<$>138797</>
11603	auch_basic	<$>29979</>
11604	auch_basic	<$>138797</>
11605	auch_basic	<$>29979</>
