ClassID	MHP	MaxLV	MinLV	MonAI	MonsterID	MonsterName	Script
1	100	120	100	MON_PIONEER_RAID	20983	<$>49787</>	<$>76690</>
2	100	120	100	MON_PIONEER_RAID	20984	<$>76691</>	<$>76690</>
3	100	120	100	MON_PIONEER_RAID	20985	<$>47204</>	<$>76690</>
4	100	120	100	MON_PIONEER_RAID	20986	<$>49740</>	<$>76690</>
5	100	120	100	MON_PIONEER_RAID	20987	<$>49788</>	<$>76690</>
6	100	120	100	MON_PIONEER_RAID	20988	<$>49774</>	<$>76690</>
7	100	120	100	MON_PIONEER_RAID	20989	<$>10002</>	<$>76690</>
8	100	120	100	MON_PIONEER_RAID	20990	<$>10003</>	<$>76690</>
9	100	120	100	MON_PIONEER_RAID	20991	<$>76692</>	<$>76690</>
10	100	120	100	MON_PIONEER_RAID	20992	<$>48352</>	<$>76690</>
11	100	120	100	MON_PIONEER_RAID	20993	<$>49789</>	<$>76690</>
12	100	120	100	MON_PIONEER_RAID	20994	<$>49790</>	<$>76690</>
13	100	120	100	MON_PIONEER_RAID	20995	<$>49791</>	<$>76690</>
14	100	120	100	MON_PIONEER_RAID	20996	<$>50713</>	<$>76690</>
15	100	120	100	MON_PIONEER_RAID	20997	<$>10007</>	<$>76690</>
