ClassID	ClassName	ConsumeItem	EventConsumeItem	Name
1	Sword	157039	157122	<$>34664</>
2	Sabre	157040	157122	<$>29639</>
3	THSword	157041	157122	<$>29640</>
4	Rapier	157042	157122	<$>29638</>
5	Polearm	157043	157122	<$>29641</>
6	Javelin	157044	157122	<$>29660</>
7	Dagger	157045	157122	<$>29642</>
8	MainG	157046	157122	<$>29658</>
9	Blunt	157047	157122	<$>29659</>
10	Knuckle	157048	157122	<$>29648</>
11	Leguard	157049	157122	<$>29649</>
12	Tonfa	157050	157122	<$>29679</>
13	Crescent	157051	157122	<$>29678</>
14	Rifle	157052	157122	<$>29644</>
15	Pistol	157054	157122	<$>29643</>
16	Shotgun	157055	157122	<$>29645</>
17	CrossBow	157056	157122	<$>29651</>
18	Cannon	157057	157122	<$>29646</>
19	Rod	157058	157122	<$>29652</>
20	Staff	157059	157122	<$>29653</>
21	Lute	157061	157122	<$>29650</>
22	FireBrc	157062	157122	<$>29655</>
23	IceBrc	157063	157122	<$>29656</>
24	LghtBrc	157064	157122	<$>29657</>
25	ElemBrc	157065	157122	<$>44014</>
26	Tool	157071	157122	<$>29662</>
27	Pendant	157066	157122	<$>45397</>
28	Rosario	157067	157122	<$>29665</>
29	Shield	157068	157122	<$>29647</>
30	Controller	157069	157122	<$>29663</>
31	Book	157070	157122	<$>29680</>
32	Cube	157072	157122	<$>88285</>
