ClassID	LimitLevel	RewardCount	RewardItem	SelectItemName
10	20	0	0	EvilWeapon_Stone
11	0	1	13400	None
12	0	1	13401	None
13	0	1	13402	None
14	0	1	13403	None
15	0	1	13404	None
16	0	1	13405	None
17	0	1	13406	None
18	0	1	13407	None
19	0	1	13408	None
20	0	1	13409	None
21	0	1	13410	None
22	0	1	13411	None
23	0	1	13412	None
24	0	1	13413	None
25	0	1	13414	None
26	0	1	13415	None
27	0	1	13416	None
28	0	1	13417	None
29	0	1	13418	None
30	0	1	13419	None
31	0	1	13420	None
32	0	1	13421	None
33	0	1	13422	None
34	0	1	13423	None
35	0	1	13424	None
36	0	1	13425	None
100	20	0	0	EvilArmor_Stone
101	0	1	64827	None
102	0	1	64828	None
103	0	1	64829	None
104	0	1	64830	None
200	0	0	0	SantoCostume_f_Stone_NoEv
201	0	1	50085	None
202	0	1	50086	None
203	0	1	50087	None
204	0	1	50088	None
300	0	0	0	WepCosStone_Vernier
301	0	1	70070	None
302	0	1	70071	None
303	0	1	70072	None
304	0	1	70073	None
305	0	1	70074	None
306	0	1	70075	None
307	0	1	70076	None
308	0	1	70077	None
309	0	1	70078	None
310	0	1	70079	None
311	0	1	70080	None
312	0	1	70081	None
313	0	1	70082	None
314	0	1	70083	None
315	0	1	70084	None
316	0	1	70085	None
317	0	1	70086	None
318	0	1	70087	None
319	0	1	70088	None
320	0	1	70089	None
321	0	1	70090	None
322	0	1	70091	None
400	10	0	0	MagicArmor_Stone
401	0	1	500501	None
402	0	1	502511	None
403	0	1	502512	None
404	0	1	502513	None
405	0	1	501501	None
406	0	1	501502	None
407	0	1	501503	None
408	0	1	504501	None
409	0	1	504502	None
410	0	1	504503	None
411	0	1	503501	None
412	0	1	503502	None
413	0	1	503503	None
500	20	0	0	EvilAcc_Stone
501	0	1	46028	None
502	0	1	15310	None
503	0	1	19130	None
504	0	1	19527	None
505	0	1	45020	None
600	20	0	0	BstAcc_Stone
601	0	1	500502	None
602	0	1	502514	None
603	0	1	501504	None
604	0	1	504504	None
605	0	1	503504	None
700	20	0	0	EnhancedAcc_Stone
701	0	1	500508	None
702	0	1	500509	None
703	0	1	500510	None
704	0	1	500511	None
705	0	1	500512	None
706	0	1	503506	None
800	30	0	0	StrataAcc_Stone_Ev
801	0	1	500513	None
802	0	1	502515	None
803	0	1	501505	None
804	0	1	504505	None
805	0	1	503507	None
900	0	0	0	WepCosStone_Vernier_Ev
901	0	1	65505	None
902	0	1	65506	None
903	0	1	65507	None
904	0	1	65508	None
905	0	1	65509	None
906	0	1	65510	None
907	0	1	65511	None
908	0	1	65512	None
909	0	1	65513	None
910	0	1	65514	None
911	0	1	65515	None
912	0	1	65516	None
913	0	1	65517	None
914	0	1	65518	None
915	0	1	65519	None
916	0	1	65520	None
917	0	1	65521	None
918	0	1	65522	None
