CancelOpt	CancelOptScript	ClassID	ClassName	DirectMissionSet	MailCheck	MailProperty	QuestCondition	QuestName	QuestType	QuitOpt	QuitOptScript	RandomItem1	RandomItem2	RandomItem3	RandomItem4	RandomItemRate1	RandomItemRate2	RandomItemRate3	RandomItemRate4	RandomItemValue1	RandomItemValue2	RandomItemValue3	RandomItemValue4	RewardType	SelectItem1	SelectItem2	SelectItem3	SelectItem4	SelectItem5	SelectItemValue1	SelectItemValue2	SelectItemValue3	SelectItemValue4	SelectItemValue5	StartItem	StartItemValue	StartJobType	StartLv	StartLvType	StartOpt	StartOptScript	StartProperty	StartPropertyValue
YES	None	1	Nquest_00001_set	None	YES	Nquest_00001	<$>52108</>	<$>52107</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	7	MaxLv	YES	None	None	0
YES	None	2	Nquest_00002_set	None	YES	Nquest_00002	<$>52108</>	<$>52109</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	7	MaxLv	YES	None	None	0
YES	None	3	Nquest_00003_set	None	YES	Nquest_00003	<$>52110</>	<$>47121</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	8	MaxLv	YES	None	None	0
YES	None	4	Nquest_00004_set	None	YES	Nquest_00004	<$>52112</>	<$>52111</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	9	MaxLv	YES	None	None	0
YES	None	6	Nquest_00006_set	None	YES	Nquest_00006	<$>52114</>	<$>52113</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	10	MaxLv	YES	None	None	0
YES	None	7	Nquest_00007_set	None	YES	Nquest_00007	<$>52116</>	<$>52115</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	11	MaxLv	YES	None	None	0
YES	None	8	Nquest_00008_set	None	YES	Nquest_00008	<$>52116</>	<$>52117</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	11	MaxLv	YES	None	None	0
YES	None	9	Nquest_00009_set	None	YES	Nquest_00009	<$>52119</>	<$>52118</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	23	MaxLv	YES	None	None	0
YES	None	10	Nquest_00010_set	None	YES	Nquest_00010	<$>52119</>	<$>52120</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	23	MaxLv	YES	None	None	0
YES	None	11	Nquest_00011_set	None	YES	Nquest_00011	<$>52119</>	<$>52121</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	23	MaxLv	YES	None	None	0
YES	None	14	Nquest_00014_set	None	YES	Nquest_00014	<$>52122</>	<$>47184</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	34	MaxLv	YES	None	None	0
YES	None	15	Nquest_00015_set	None	YES	Nquest_00015	<$>52124</>	<$>52123</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	35	MaxLv	YES	None	None	0
