ClassID	ClassName	Item
1	Staff_1	Staff_30
2	Staff_2	Staff_32
3	Sword_1	Sword_30
4	Sword_2	Sword_32
5	Rapier_1	Rapier_30
6	Rapier_2	Rapier_32
7	Sabre_1	Sabre_30
8	Sabre_2	Sabre_32
9	THSword_1	THSword_30
10	THSword_2	THSword_32
11	Polearm_1	Polearm_30
12	Polearm_2	Polearm_32
13	Dagger_1	Dagger_30
14	Dagger_2	Dagger_32
15	Pistol_1	Pistol_30
16	Pistol_2	Pistol_32
17	Rifle_1	Rifle_30
18	Rifle_2	Rifle_32
19	Shotgun_1	Shotgun_30
20	Shotgun_2	Shotgun_32
21	Cannon_1	Cannon_30
22	Cannon_2	Cannon_32
23	Shield_1	Shield_30
24	Shield_2	Shield_32
25	Knuckle_1	Knuckle_30
26	Knuckle_2	Knuckle_32
27	Leguard_1	Leguard_30
28	Leguard_2	Leguard_32
29	Lute_1	Lute_30
30	Lute_2	Lute_32
31	CrossBow_1	CrossBow_30
32	CrossBow_2	CrossBow_32
33	Rod_1	Rod_30
34	Rod_2	Rod_32
35	ROR_1	ROR_30
36	ROR_2	ROR_32
37	FireBrc_1	FireBrc_30
38	FireBrc_2	FireBrc_32
39	IceBrc_1	IceBrc_30
40	IceBrc_2	IceBrc_32
41	LghtBrc_1	LghtBrc_30
42	LghtBrc_2	LghtBrc_32
43	MainG_1	MainG_30
44	MainG_2	MainG_32
45	Blunt_1	Blunt_30
46	Blunt_2	Blunt_32
47	Javelin_1	Javelin_30
48	Javelin_2	Javelin_32
49	Bayonet_1	Bayonet_30
50	Bayonet_2	Bayonet_32
51	Tool_1	Tool_30
52	Tool_2	Tool_32
53	Controller_1	Controller_30
54	Controller_2	Controller_32
55	Pendant_1	Pendant_30
56	Pendant_2	Pendant_32
57	Rosario_1	Rosario_30
58	Rosario_2	Rosario_32
59	BoneBrc_1	BoneBrc_30
60	BoneBrc_2	BoneBrc_32
61	Huntgun_1	Huntgun_30
62	Huntgun_2	Huntgun_32
63	ArmShield_1	ArmShield_30
64	ArmShield_2	ArmShield_32
65	ElemBrc_1	ElemBrc_30
66	ElemBrc_2	ElemBrc_32
67	Crescent_1	Crescent_30
68	Crescent_2	Crescent_32
69	Tonfa_1	Tonfa_30
70	Tonfa_2	Tonfa_32
75	Robe_1	LB_Warlock
76	Robe_2	ELB_Warlock
77	Metal_1	SB_Fighter
78	Metal_2	ESB_Fighter
79	LeatherFGT_1	LB_Fighter
80	LeatherFGT_2	ELB_Fighter
81	CoatMUS_1	LB_Muskeet
82	CoatMUS_2	ELB_Muskeet
83	CoatWIZ_1	LB_Wizard
84	CoatWIZ_2	ELB_Wizard
85	LeatherSCT_1	LB_Scout
86	LeatherSCT_2	ELB_Scout
87	Leather_1_fighter	LB_Fighter
88	Leather_2_fighter	ELB_Fighter
89	Leather_1_scout	LB_Scout
90	Leather_2_scout	ELB_Scout
91	Coat_1_wizard	LB_Wizard
92	Coat_2_wizard	ELB_Wizard
93	Coat_1_musketeer	LB_Muskeet
94	Coat_2_musketeer	ELB_Muskeet
95	Coat_1_warlock	LB_Muskeet
96	Coat_2_warlock	ELB_Muskeet
