BaseItem	BaseItemValue	ClassID	ClassName	DirectoryName	Item1	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item2	Item20	Item3	Item4	Item5	Item6	Item7	Item8	Item9	ItemRate1	ItemRate10	ItemRate11	ItemRate12	ItemRate13	ItemRate14	ItemRate15	ItemRate16	ItemRate17	ItemRate18	ItemRate19	ItemRate2	ItemRate20	ItemRate3	ItemRate4	ItemRate5	ItemRate6	ItemRate7	ItemRate8	ItemRate9	ItemValue1	ItemValue10	ItemValue11	ItemValue12	ItemValue13	ItemValue14	ItemValue15	ItemValue16	ItemValue17	ItemValue18	ItemValue19	ItemValue2	ItemValue20	ItemValue3	ItemValue4	ItemValue5	ItemValue6	ItemValue7	ItemValue8	ItemValue9
HealingAmpul	1	1	ItemBase_001	None	Nutrition	None	None	None	None	None	None	None	None	None	None	Mitridart	None	Painkiller	HealingLiquor	None	None	None	None	None	40	1	1	1	1	1	1	1	1	1	1	50	1	30	70	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	4	5	1	1	1	1	1
HealingAmpul	1	2	ItemBase_002	<$>39940</>	BroadSword	None	None	None	None	None	None	None	None	None	None	Knife	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	3	ItemBase_003	<$>39940</>	WallonSword	None	None	None	None	None	None	None	None	None	None	Dagger	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	4	ItemBase_004	<$>39940</>	Linebrink	None	None	None	None	None	None	None	None	None	None	Blade	None	RoundKnife	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	5	ItemBase_005	<$>39940</>	BattleSword	None	None	None	None	None	None	None	None	None	None	Shotel	None	Spear	Baselard	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	6	ItemBase_006	<$>39940</>	Katzbalger	None	None	None	None	None	None	None	None	None	None	Tessak	None	Pugio	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	7	ItemBase_007	<$>39940</>	BasketHilt	None	None	None	None	None	None	None	None	None	None	Falcata	None	BastardSword	LongSpear	Butterfly	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	8	ItemBase_008	<$>39940</>	Schiavona	None	None	None	None	None	None	None	None	None	None	Sabre	None	HighlanderSword	Poleaxe	Kukuri	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	9	ItemBase_009	<$>39940</>	LandsKnecht	None	None	None	None	None	None	None	None	None	None	Cutlass	None	Claymore	Partisan	BowieKnife	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	10	ItemBase_010	<$>39940</>	LongSword	None	None	None	None	None	None	None	None	None	None	Shamshir	None	SawBlade	Trident	Yatagan	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
