ClassID	ClassName	Feso	FesoPercent	LevelMultipleVis	Vis	VisPercent
1	BasicFee	0	0	0	0	0
2	Countable	0	0	0	10	0
3	Equip	0	0	0	50000	0
4	VeteranEquip	0	0	0	100000	0
5	FesoItem	0	1	0	0	0
6	Vis	0	0	0	0	5
7	Feso	0	1	0	0	0
101	Lv1	0	0	0	10	0
102	Lv10	0	0	0	100	0
103	Lv11	0	0	0	1100	0
104	Lv20	0	0	0	2000	0
105	Lv21	0	0	0	2100	0
106	Lv30	0	0	0	3000	0
107	Lv31	0	0	0	3100	0
108	Lv40	0	0	0	4000	0
109	Lv41	0	0	0	20500	0
110	Lv50	0	0	0	25000	0
111	Lv51	0	0	0	25500	0
112	Lv60	0	0	0	60000	0
113	Lv61	0	0	0	61000	0
114	Lv70	0	0	0	70000	0
115	Lv71	0	0	0	71000	0
116	Lv80	0	0	0	120000	0
117	Lv81	0	0	0	121500	0
118	Lv90	0	0	0	180000	0
119	Lv91	0	0	0	182000	0
120	Lv100	0	0	0	250000	0
