ClassID	ClassName	USESCROLL
1	Manual_BackGuard	R 10110
2	Manual_HighGuard	R 10120
3	Manual_HackandSlash	R 10130
4	Manual_EpeeGarde	R 10210
5	Manual_SabreGarde	R 10220
6	Manual_MaingaucheGarde	R 10230
7	Manual_MiddleGuard	R 10310
8	Manual_TwinBlades	R 10320
9	Manual_PlowGuard	R 10410
10	Manual_RoofGuard	R 10430
11	Manual_TailGuard	R 10420
12	Manual_BlandirCruz	R 10510
13	Manual_PenetrarCruz	R 10520
14	Manual_Escrima	R 10610
15	Manual_DobaladaCorte	R 10620
16	Manual_HeavenorHell	R 10710
17	Manual_AimingShot	R 11010
18	Manual_FreestyleShot	R 11020
19	Manual_DoublegunsShot	R 11030
20	Manual_StandingShot	R 11110
21	Manual_KneelingShot	R 11120
22	Manual_ShotgunBlaster	R 11210
23	Manual_SiegeBurst	R 11310
24	Manual_Psychokinesis	R 20110
25	Manual_ESP	R 20120
26	Manual_PhantomIllusion	R 20130
27	Manual_Levitation	R 20140
28	Manual_PossessionFire	R 20210
29	Manual_EvocationFire	R 20220
30	Manual_PossessionIce	R 20310
31	Manual_EvocationIce	R 20320
32	Manual_PossessionLightning	R 20410
33	Manual_EvocationLightning	R 20420
34	Manual_LordofElemental	R 20510
35	Manual_FirstAid	R 30110
36	Manual_Fortitudo	R 30120
37	Manual_InstallTrap	R 30210
38	Manual_Construction	R 30220
39	Manual_FlameGuard	R 10720
40	Manual_MartialArtsG	R 10020
41	Manual_MartialArtsS	R 10030
42	Manual_DobaladaCorteSCT	R 10640
43	Manual_TheDefender	R 10150
44	Manual_StabGuard	R 10530
45	Manual_Cauchemar	R 10270
46	Manual_EncounterShot	R 11610
47	Manual_GiganticMarksmanship	R 11320
48	Manual_Incantation	R 20150
49	Manual_Anathema	R 20160
50	Manual_DominationFire	R 20230
51	Manual_DominationIce	R 20330
52	Manual_DominationLightning	R 20430
53	Manual_TacticalAssistance	R 30140
54	Manual_AvanceGarde	R 10260
55	Manual_Sidewinder	R 10440
56	Manual_Amicus	R 30320
57	Manual_Testis	R 30330
58	Manual_MightyCruz	R 10540
59	Manual_RaidAssault	R 10650
60	Manual_LowGuard	R 10340
61	Manual_SightShot	R 11040 11041
62	Manual_OutrageShot	R 11050
63	Manual_GiganticBlaster	R 11230
64	Manual_Serenade	R 30150
65	Manual_Sagitta	R 11720
66	Manual_RapidaEspada	R 10350
67	Manual_Equites	R 10360 14000
68	Manual_Rapiere	R 10370
69	Manual_Arnis	R 10660
70	Manual_HangingGuard	R 10460
71	Manual_Flintlock	R 11140 11150 11160
72	Manual_Gorgeous	R 10380
73	Manual_Semilunar	R 10470
74	Manual_Rapiere2	R 10400
75	Manual_Equites2	R 10360 14000
76	Manual_Flintlock2	R 11140 11150 11160
77	Manual_TestedGuard	R 10670
78	Manual_FlintlockR	R 11140 11150 11160
79	Manual_ForgottenTheMagic	R 20710
80	Manual_Muathai	R 10040
81	Manual_MartialArtsF	R 10050
82	Manual_MartialArtsM	R 10060
83	Manual_MasterMartialArts	R 10070
84	Manual_ThePowerofDarkness	R 20170
85	Manual_MagicofOccultism	R 20520
86	Manual_OccultismAssitance	R 20530 20540
87	Manual_Madness	R 20180
89	Manual_EnhancedTactics	R 30160 30190 30200 30240 30260 30660 30930 40704
90	Manual_DemolitionBurst	R 11340
91	Manual_DemolitionBurst2	R 11350
92	Manual_Prelude	R 20620
93	Manual_LowGuardAS	R 10850
94	Manual_MoonGuard	R 10860
95	Manual_DeathChopping	R 10680
96	Manual_SidewinderAS	R 10890
97	Manual_SuperiorBlaster	R 11240
98	Manual_DuelBlaster	R 11250
99	Manual_TheCrusader	R 10170
