ClassID	ClassName	LinkID	LinkKey	Parent	QuestComplete	QuestMail	Title
1	reb	None	0	None	0	None	<$>3976</>
2	reb_scenario	None	0	reb	0	None	<$>66919</>
3	reb_scout	None	0	reb	0	None	<$>66920</>
4	reb_sub	None	0	reb	0	None	<$>96279</>
5	reb_etc	None	0	reb	0	None	<$>27429</>
6	coim	None	0	None	0	None	<$>1293</>
7	coim_scenario	None	0	coim	0	None	<$>66919</>
8	coim_scout	None	0	coim	0	None	<$>66920</>
9	coim_sub	None	0	coim	0	None	<$>96279</>
10	coim_etc	None	0	coim	0	None	<$>27429</>
11	auch	None	0	None	0	None	<$>3977</>
12	auch_scenario	None	0	auch	0	None	<$>66919</>
13	auch_scout	None	0	auch	0	None	<$>66920</>
14	auch_sub	None	0	auch	0	None	<$>96279</>
16	ust	None	0	None	0	None	<$>8793</>
17	ust_scenario	None	0	ust	0	None	<$>66919</>
18	ust_scout	None	0	ust	0	None	<$>66920</>
19	ust_sub	None	0	ust	0	None	<$>96279</>
20	ust_etc	None	0	ust	0	None	<$>27429</>
21	bah	None	0	None	0	None	<$>47516</>
22	bah_scenario	None	0	bah	0	None	<$>66919</>
23	bah_scout	None	0	bah	0	None	<$>66920</>
26	orden	None	0	None	0	None	<$>142057</>
27	orden_scenario	None	0	orden	0	None	<$>66919</>
28	orden_sub	None	0	orden	0	None	<$>96279</>
30	erc	None	0	None	0	None	<$>47784</>
31	erc_scenario	None	0	erc	0	None	<$>66919</>
32	erc_scout	None	0	erc	0	None	<$>66920</>
33	erc_etc	None	0	erc	0	None	<$>27429</>
34	cas	None	0	None	0	None	<$>51146</>
35	cas_scenario	None	0	cas	0	None	<$>66919</>
36	cas_scout	None	0	cas	0	None	<$>66920</>
37	cas_sub	None	0	cas	0	None	<$>96279</>
38	cas_etc	None	0	cas	0	None	<$>27429</>
39	viron	None	0	None	0	None	<$>47860</>
40	viron_scenario	None	0	viron	0	None	<$>66919</>
41	viron_scout	None	0	viron	0	None	<$>66920</>
42	viron_sub	None	0	viron	0	None	<$>96279</>
43	viron_etc	None	0	viron	0	None	<$>27429</>
44	bst	None	0	None	0	None	<$>81060</>
45	bst_scenario	None	0	bst	0	None	<$>66919</>
46	bst_scout	None	0	bst	0	None	<$>66920</>
47	bst_sub	None	0	bst	0	None	<$>96279</>
48	bst_etc	None	0	bst	0	None	<$>27429</>
49	arm	None	0	None	0	None	<$>106355</>
51	arm_scenario	None	0	arm	0	None	<$>66919</>
52	arm_scout	None	0	arm	0	None	<$>66920</>
53	arm_sub	None	0	arm	0	None	<$>96279</>
59	illier	None	0	None	0	None	<$>171814</>
60	illier_scenario	None	0	illier	0	None	<$>66919</>
61	illier_scout	None	0	illier	0	None	<$>66920</>
62	illier_sub	None	0	illier	0	None	<$>96279</>
63	Alt	None	0	None	0	None	<$>222703</>
64	Alt_scenario	None	0	Alt	0	None	<$>66919</>
65	Alt_scout	None	0	Alt	0	None	<$>66920</>
66	Alt_sub	None	0	Alt	0	None	<$>96279</>
67	arm_Ifarm	None	0	arm	0	None	<$>236528</>
200	etc	None	0	None	0	None	<$>27429</>
201	etc_scenario	None	0	etc	0	None	<$>66919</>
202	etc_scout	None	0	etc	0	None	<$>66920</>
203	etc_sub	None	0	etc	0	None	<$>96279</>
204	etc_etc	None	0	etc	0	None	<$>27429</>
10001	reb_scenario_1	section2	2	reb_scenario	200	NTQ_Quest01	None
10002	reb_scenario_2	section3	2	reb_scenario	200	NTQ_Quest0004	None
10003	reb_scenario_3	section4	2	reb_scenario	200	Quest_00001	None
10004	reb_scenario_4	section5	2	reb_scenario	200	Quest_00002	None
10005	reb_scenario_5	section6	2	reb_scenario	200	Quest_00003	None
10006	reb_scenario_6	section2835	2	reb_scenario	200	Quest_00004	None
10007	reb_scenario_7	section2836	2	reb_scenario	200	Quest_00005	None
10008	reb_scenario_8	section2837	2	reb_scenario	200	Quest_00006	None
11001	reb_scout_jack	None	0	reb_scout	0	None	<$>85</>
11002	reb_scout_jack_1	section1690	453	reb_scout_jack	200	Quest_01001	None
11003	reb_scout_jack_2	section1691	453	reb_scout_jack	200	Quest_01002	None
11004	reb_scout_andre	None	0	reb_scout	0	None	<$>82</>
11005	reb_scout_andre_1	section921	332	reb_scout_andre	200	Quest_01501	None
11006	reb_scout_andre_2	section922	332	reb_scout_andre	200	Quest_01502	None
11007	reb_scout_andre_3	section923	332	reb_scout_andre	200	Quest_01503	None
11008	reb_scout_andre_4	section924	332	reb_scout_andre	200	Quest_01504	None
11009	reb_scout_andre_5	section925	332	reb_scout_andre	200	Quest_01505	None
11010	reb_scout_andre_6	section926	332	reb_scout_andre	200	Quest_01506	None
11011	reb_scout_yeganeh	None	0	reb_scout	0	None	<$>84</>
11012	reb_scout_yeganeh_1	section927	333	reb_scout_yeganeh	200	Quest_02001	None
11013	reb_scout_yeganeh_2	section928	333	reb_scout_yeganeh	200	Quest_02002	None
11014	reb_scout_yeganeh_3	section929	333	reb_scout_yeganeh	200	Quest_02003	None
11015	reb_scout_yeganeh_4	section930	333	reb_scout_yeganeh	200	Quest_02004	None
11016	reb_scout_yeganeh_5	section931	333	reb_scout_yeganeh	200	Quest_02005	None
11017	reb_scout_yeganeh_6	section932	333	reb_scout_yeganeh	200	Quest_02006	None
11018	reb_scout_yeganeh_7	section2678	333	reb_scout_yeganeh	200	Quest_18003	None
11019	reb_scout_panfilo	None	0	reb_scout	0	None	<$>11192</>
11020	reb_scout_panfilo_1	section917	331	reb_scout_panfilo	200	Quest_02501	None
11021	reb_scout_panfilo_2	section918	331	reb_scout_panfilo	200	Quest_02502	None
11022	reb_scout_panfilo_3	section919	331	reb_scout_panfilo	200	Quest_02505	None
11023	reb_scout_panfilo_4	section955	343	reb_scout_panfilo	200	Quest_02503	None
11024	reb_scout_panfilo_5	section920	331	reb_scout_panfilo	200	Quest_02504	None
11025	reb_scout_brunie	None	0	reb_scout	0	None	<$>81</>
11026	reb_scout_brunie_1	section305	66	reb_scout_brunie	200	Quest_03001	None
11027	reb_scout_brunie_2	section306	66	reb_scout_brunie	200	Quest_03002	None
11028	reb_scout_idge	None	0	reb_scout	0	None	<$>3365</>
11029	reb_scout_idge_1	section933	334	reb_scout_idge	200	Quest_03501	None
11030	reb_scout_idge_2	section934	334	reb_scout_idge	200	Quest_03502	None
11031	reb_scout_idge_3	section935	334	reb_scout_idge	200	Quest_03503	None
11032	reb_scout_idge_4	section2732	334	reb_scout_idge	200	Quest_03504	None
11033	reb_scout_idge_5	section936	334	reb_scout_idge	200	Quest_99001	None
11034	reb_scout_idge_6	section937	334	reb_scout_idge	200	Quest_03505	None
11035	reb_scout_claude	None	0	reb_scout	0	None	<$>80</>
11036	reb_scout_claude_1	section319	67	reb_scout_claude	200	Quest_04501	None
11037	reb_scout_claude_2	section320	67	reb_scout_claude	200	Quest_04502	None
11038	reb_scout_claude_3	section915	67	reb_scout_claude	200	Quest_04503	None
11040	reb_scout_claude_5	section914	67	reb_scout_claude	200	Quest_04505	None
11041	reb_scout_ramiro	None	0	reb_scout	0	None	<$>83</>
11042	reb_scout_ramiro_1	section298	64	reb_scout_ramiro	200	Quest_05001	None
11043	reb_scout_ramiro_2	section299	64	reb_scout_ramiro	200	Quest_05002	None
11044	reb_scout_sharif	None	0	reb_scout	0	None	<$>3367</>
