Add_A_Like	Add_B_Like	Add_C_Like	ChoiceReward1	ChoiceReward2	ChoiceReward3	ChoiceReward4	ChoiceReward5	ChoiceRewardCount1	ChoiceRewardCount2	ChoiceRewardCount3	ChoiceRewardCount4	ChoiceRewardCount5	ClassID	ClassName	MapID	MapName	Rank	Reward1	Reward2	Reward3	Reward4	Reward5	RewardCount1	RewardCount2	RewardCount3	RewardCount4	RewardCount5	RewardPoint	Title
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000001	A_Pquest_00001	207	<$>47348</>	0	EXPCard_2	None	None	None	None	1	0	0	0	0	0	<$>52632</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000002	A_Pquest_00002	207	<$>47348</>	0	EXPCard_2	None	None	None	None	1	0	0	0	0	0	<$>52633</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000003	A_Pquest_00003	207	<$>47348</>	0	EXPCard_2	None	None	None	None	1	0	0	0	0	0	<$>52634</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000101	A_Pquest_00101	3601	<$>47439</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52635</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000102	A_Pquest_00102	3601	<$>47439</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52636</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000103	A_Pquest_00103	3601	<$>47439</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52637</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000104	A_Pquest_00104	3601	<$>47439</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52638</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000201	A_Pquest_00201	3603	<$>47443</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52639</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000202	A_Pquest_00202	3603	<$>47443</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52640</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000203	A_Pquest_00203	3603	<$>47443</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52641</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000204	A_Pquest_00204	3603	<$>47443</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52642</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000205	A_Pquest_00205	3603	<$>47443</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52643</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000301	A_Pquest_00301	3602	<$>47441</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52644</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000302	A_Pquest_00302	3602	<$>47441</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52645</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000303	A_Pquest_00303	3602	<$>47441</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52646</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000304	A_Pquest_00304	3602	<$>47441</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52647</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000305	A_Pquest_00305	3602	<$>47441</>	0	EXPCard_10_c	None	None	None	None	1	0	0	0	0	0	<$>52648</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000401	A_Pquest_00401	504	<$>28802</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52649</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000402	A_Pquest_00402	504	<$>28802</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52650</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000403	A_Pquest_00403	504	<$>28802</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52651</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000404	A_Pquest_00404	504	<$>28802</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52652</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000501	A_Pquest_00501	502	<$>28801</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52653</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000502	A_Pquest_00502	502	<$>28801</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52654</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000503	A_Pquest_00503	502	<$>28801</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52655</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000504	A_Pquest_00504	502	<$>28801</>	0	EXPCard_20_b	None	None	None	None	1	0	0	0	0	0	<$>52656</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000601	A_Pquest_00601	203	<$>47344</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52656</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000602	A_Pquest_00602	203	<$>47344</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52658</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000701	A_Pquest_00701	3701	<$>47450</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52659</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000702	A_Pquest_00702	3701	<$>47450</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52660</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000703	A_Pquest_00703	3701	<$>47450</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52661</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000704	A_Pquest_00704	3701	<$>47450</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52662</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000705	A_Pquest_00705	3701	<$>47450</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52663</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000801	A_Pquest_00801	3702	<$>47452</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52664</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000802	A_Pquest_00802	3702	<$>47452</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52665</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1000803	A_Pquest_00803	3702	<$>47452</>	0	EXPCard_4	None	None	None	None	1	0	0	0	0	0	<$>52666</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001001	A_Pquest_01001	3703	<$>47454</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52667</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001002	A_Pquest_01002	3703	<$>47454</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52668</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001003	A_Pquest_01003	3703	<$>47454</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52669</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001004	A_Pquest_01004	3703	<$>47454</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52670</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001005	A_Pquest_01005	3703	<$>47454</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52671</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001006	A_Pquest_01006	3703	<$>47454</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52672</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001101	A_Pquest_01101	505	<$>28787</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52673</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001102	A_Pquest_01102	505	<$>28787</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52674</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001103	A_Pquest_01103	505	<$>28787</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52675</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001104	A_Pquest_01104	505	<$>28787</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52676</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001105	A_Pquest_01105	505	<$>28787</>	0	EXPCard_40_a	None	None	None	None	1	0	0	0	0	0	<$>52677</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001201	A_Pquest_01201	204	<$>52611</>	0	EXPCard_50_a	None	None	None	None	1	0	0	0	0	1	<$>52678</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001202	A_Pquest_01202	204	<$>52611</>	0	EXPCard_50_a	None	None	None	None	1	0	0	0	0	1	<$>52679</>
1	-2	-2	None	None	None	None	None	0	0	0	0	0	1001203	A_Pquest_01203	204	<$>52611</>	0	EXPCard_50_a	None	None	None	None	1	0	0	0	0	1	<$>52680</>
