ClassID	ClassName	Grade
75101	Lumin_Garnet	1
75102	Lumin_Spodumene	1
75103	Lumin_Zircon	1
75104	Lumin_Pearl	1
75105	Lumin_Apatite	1
75106	Lumin_Obsidian	1
75107	Lumin_Bloodstone	1
75108	Lumin_Peridot	1
75109	Lumin_Tanzanite	1
75110	Lumin_Opal	1
75111	Lumin_Topaz	1
75112	Lumin_Turquoise	1
75201	Lumin_Garnet2	2
75202	Lumin_Spodumene2	2
75203	Lumin_Zircon2	2
75204	Lumin_Pearl2	2
75205	Lumin_Apatite2	2
75206	Lumin_Obsidian2	2
75207	Lumin_Bloodstone2	2
75208	Lumin_Peridot2	2
75209	Lumin_Tanzanite2	2
75210	Lumin_Opal2	2
75211	Lumin_Topaz2	2
75212	Lumin_Turquoise2	2
75301	Lumin_Garnet3	3
75302	Lumin_Spodumene3	3
75303	Lumin_Zircon3	3
75304	Lumin_Pearl3	3
75305	Lumin_Apatite3	3
75306	Lumin_Obsidian3	3
75307	Lumin_Bloodstone3	3
75308	Lumin_Peridot3	3
75309	Lumin_Tanzanite3	3
75310	Lumin_Opal3	3
75311	Lumin_Topaz3	3
75312	Lumin_Turquoise3	3
77560	Lumin_Garnet4	4
77561	Lumin_Spodumene4	4
77562	Lumin_Zircon4	4
77563	Lumin_Pearl4	4
77564	Lumin_Apatite4	4
77565	Lumin_Obsidian4	4
77566	Lumin_Bloodstone4	4
77567	Lumin_Peridot4	4
77568	Lumin_Tanzanite4	4
77569	Lumin_Opal4	4
77570	Lumin_Topaz4	4
77571	Lumin_Turquoise4	4
