ClassID	ClassName	CommPoint	IsColonyOwner	KillCount	MinLevel	MonsterName	MonsterStage	RewardExp	RewardItem	RewardItemCount	RewardItemCount_2	RewardItem_2	RewardLocation	TargetMonster
1	KQuest_99501	6	KQuest_99501_Col	30	1	<$>47107</>	2	0	Monster_Mandradora	1	0	None	REB_HUNT3	Monster_Mandradora
2	KQuest_99502	6	KQuest_99502_Col	30	2	<$>47108</>	2	0	Monster_Hornet	1	0	None	REB_HUNT3	Monster_Hornet
3	KQuest_99503	6	KQuest_99503_Col	100	4	<$>47109</>	2	0	Monster_FlyingSickle	1	0	None	btl_reb04	Monster_FlyingSickle
4	KQuest_99504	6	KQuest_99504_Col	100	5	<$>47110</>	2	0	Monster_LeafingCroc	1	0	None	btl_reb04	Monster_LeafingCroc
5	KQuest_99505	6	KQuest_99505_Col	100	8	<$>47111</>	2	0	Monster_ZebraEater	1	0	None	btl_reb04	Monster_ZebraEater
6	KQuest_99506	6	KQuest_99506_Col	100	9	<$>47112</>	2	0	Monster_Vedanobah	1	0	None	btl_reb04	Monster_Vedanobah
7	KQuest_99507	6	KQuest_99507_Col	100	9	<$>47113</>	2	0	Monster_Marcurse	1	0	None	btl_reb04	Monster_Marcurse
8	KQuest_99508	7	KQuest_99508_Col	100	12	<$>47114</>	2	0	Monster_Zealot	1	0	None	REB_HUNT1	Monster_Zealot
9	KQuest_99509	7	KQuest_99509_Col	100	13	<$>47115</>	2	0	Monster_Heretic	1	0	None	REB_HUNT1	Monster_Heretic
10	KQuest_99510	7	KQuest_99510_Col	100	14	<$>47116</>	2	0	Monster_Fanatic	1	0	None	REB_HUNT2	Monster_Fanatic
11	KQuest_99511	7	KQuest_99511_Col	100	15	<$>47117</>	2	0	Monster_Franzy	1	0	None	REB_HUNT2	Monster_Frenzy
12	KQuest_99512	7	KQuest_99512_Col	100	15	<$>47118</>	2	0	Monster_Masquerader	1	0	None	REB_HUNT2	Monster_Masquerader
13	KQuest_99513	7	KQuest_99513_Col	100	17	<$>47119</>	2	0	Monster_SaberBoar	1	0	None	btl_ttr02	Monster_SaberBoar
14	KQuest_99514	8	KQuest_99514_Col	100	21	<$>47120</>	2	0	Monster_LazimLam	1	0	None	btl_ttr02	Monster_LazimLam
15	KQuest_99515	7	KQuest_99515_Col	200	19	<$>47121</>	2	0	Monster_Buffalo	1	0	None	btl_ttr02	Monster_BrownBuffalo
16	KQuest_99516	8	KQuest_99516_Col	300	23	<$>47122</>	2	0	Monster_Phobitan	1	0	None	btl_ttr01	Monster_Phobitan
17	KQuest_99517	8	KQuest_99517_Col	200	28	<$>47123</>	2	0	Monster_Gargoyle	1	0	None	btl_ttr01	Monster_LesserGargoyle
18	KQuest_99518	9	KQuest_99518_Col	300	30	<$>47124</>	2	0	Monster_Nevare	1	0	None	COIM_HUNT1	Monster_Nevare
19	KQuest_99519	9	KQuest_99519_Col	50	31	<$>47125</>	2	0	Monster_RufusFaux	1	0	None	COIM_HUNT1	Monster_RufusFaux
20	KQuest_99520	9	KQuest_99520_Col	50	32	<$>47126</>	2	0	Monster_JumeauPlaque	1	0	None	COIM_HUNT1	Monster_JumeauPlaqueRouge
21	KQuest_99521	9	KQuest_99521_Col	300	31	<$>47127</>	2	0	Monster_Visage	1	0	None	COIM_HUNT1	Monster_VisageRouge
22	KQuest_99522	9	KQuest_99522_Col	200	36	<$>47128</>	2	0	Monster_Octopus	1	0	None	btl_ptv01	Monster_KingOctopus
23	KQuest_99523	9	KQuest_99523_Col	200	37	<$>47129</>	2	0	Monster_Merman	1	0	None	btl_coim01	Monster_Merman
