ClassID	ClassName	Material1	Material10	Material2	Material3	Material4	Material5	Material6	Material7	Material8	Material9	MaterialCount1	MaterialCount10	MaterialCount2	MaterialCount3	MaterialCount4	MaterialCount5	MaterialCount6	MaterialCount7	MaterialCount8	MaterialCount9	MaterialName1	MaterialName10	MaterialName2	MaterialName3	MaterialName4	MaterialName5	MaterialName6	MaterialName7	MaterialName8	MaterialName9	ProductCount	ProductName
1	CayenneSword	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	KnightSword	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44112</>	None	None	1	<$>14231</>
2	CayenneSabre	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	Karabela	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44190</>	None	None	1	<$>14232</>
3	CayenneRapier	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	Fleuret	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44142</>	None	None	1	<$>14233</>
4	CayenneDagger	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	Cinquedea	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44330</>	None	None	1	<$>14234</>
5	CayenneSlayer	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	Flamberge	None	None	30	0	2	2	2	2	2	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44225</>	None	None	1	<$>14235</>
6	CayenneRifle	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	BrownBess34	None	None	30	0	2	2	2	2	2	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44535</>	None	None	1	<$>14236</>
7	CayenneHandgun	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	Charioteer	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>44473</>	None	None	1	<$>14237</>
8	CayenneBraceletFire	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	BraceletofHell1	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>53478</>	None	None	1	<$>14238</>
9	CayenneBraceletIce	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	BraceletofTempest1	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>53479</>	None	None	1	<$>14239</>
10	CayenneBraceletLightning	TorscheOtiteChip	None	TorscheGear	TorscheSpring	TorscheClock	TorscheTube	TorscheHinge	ThunderBracelet1	None	None	15	0	1	1	1	1	1	1	0	0	<$>35183</>	None	<$>35177</>	<$>27530</>	<$>27527</>	<$>27528</>	<$>27532</>	<$>53480</>	None	None	1	<$>14240</>
