CashItemGroup	ClassID	CoolDown	RicoExchange	SetPeriod	WorldMsg	ability	arg1	arg2	cost	hour	itemID	itemname	min	period	salecost
Etc	18154	0	0	0	0	GAMBLE	0	0	170	0	21098	<$>100199</>	0	0	0
Package	11051	0	0	0	0	PACKAGE	0	0	1400	0	23518	<$>101020</>	0	0	0
Period	12107	0	0	0	0	HOMEPREMIUM	0	0	5340	0	88259	<$>30144</>	0	30	0
Etc	18011	0	0	0	0	REIN_PROTECT	0	0	2370	0	88061	<$>30494</>	0	0	0
Etc	18012	0	0	0	0	REIN_PROTECT	0	0	3560	0	88062	<$>30495</>	0	0	0
Etc	18016	0	0	0	0	REIN_PROTECT	0	0	4150	0	88066	<$>30499</>	0	0	0
Etc	18017	0	0	0	0	REIN_PROTECT	0	0	5340	0	88067	<$>30500</>	0	0	0
Etc	18021	0	0	0	0	REIN_PROTECT	0	0	4750	0	88071	<$>30504</>	0	0	0
Etc	18022	0	0	0	0	REIN_PROTECT	0	0	5940	0	88072	<$>30505</>	0	0	0
Etc	18026	0	0	0	0	REIN_PROTECT	0	0	5340	0	88076	<$>30509</>	0	0	0
Etc	18027	0	0	0	0	REIN_PROTECT	0	0	6530	0	88077	<$>30510</>	0	0	0
Etc	18039	0	0	0	0	None	0	0	5610	0	74429	<$>30521</>	0	0	0
Etc	18043	0	0	0	0	REINFORCE	0	0	60	0	88018	<$>30525</>	0	0	0
Etc	145908	0	0	0	0	GAMBLE	0	0	110	0	210014	<$>145453</>	0	0	0
Etc	145922	0	0	0	0	GAMBLE	0	0	110	0	210118	<$>145467</>	0	0	0
Consume	17199	0	0	0	0	none	0	0	180	0	40871	<$>166257</>	0	0	0
Period	12112	0	0	0	0	HARVESTPET	0	0	4150	0	88415	<$>30149</>	0	30	0
Period	12113	0	0	0	0	SANTAGRABER	0	0	5940	0	88425	<$>30150</>	0	30	0
Period	12121	0	0	0	0	TCAPYLEADER	0	0	7120	0	89060	<$>30158</>	0	30	0
Period	12120	0	0	0	0	COCKATRIES	0	0	7120	0	89058	<$>30157</>	0	30	0
Period	12119	0	0	0	0	PHOBITAN	0	0	7120	0	89062	<$>30156</>	0	30	0
Period	12111	0	0	0	0	PIGLING	0	0	5940	0	88405	<$>30148</>	0	30	0
Period	14156	0	0	0	0	none	0	0	3060	0	41870	<$>164247</>	0	7	0
Period	13092	0	0	0	0	QUESTWARP	0	0	1050	0	189291	<$>131879</>	0	15	0
Consume	17129	0	0	0	0	none	0	0	90	0	23498	<$>98296</>	0	0	0
Consume	17130	0	0	0	0	none	0	0	90	0	23499	<$>98297</>	0	0	0
Consume	17131	0	0	0	0	none	0	0	90	0	23500	<$>98298</>	0	0	0
Consume	17132	0	0	0	0	none	0	0	90	0	23501	<$>98299</>	0	0	0
Consume	17133	0	0	0	0	none	0	0	90	0	23502	<$>98300</>	0	0	0
Etc	18148	0	0	0	0	none	0	0	570	0	189200	<$>88548</>	0	0	0
Period	19034	0	0	0	0	HOMEPREMIUM	0	0	5340	0	189003	<$>30573</>	0	30	3520
Etc	19076	0	0	0	0	none	0	0	1700	0	88328	<$>37237</>	0	0	1400
Package	19077	0	0	0	0	none	0	0	3600	0	23536	<$>110715</>	0	0	700
Package	19083	0	0	0	0	none	0	0	3600	0	23537	<$>111549</>	0	0	700
Package	19078	0	0	0	0	none	0	0	700	0	189303	<$>110707</>	0	0	400
Package	19079	0	0	0	0	none	0	0	3500	0	189304	<$>110708</>	0	0	2900
Package	19080	0	0	0	0	none	0	0	4900	0	189305	<$>110709</>	0	0	3700
Package	19081	0	0	0	0	none	0	0	5800	0	189306	<$>110710</>	0	0	4900
Package	19082	0	0	0	0	none	0	0	7300	0	189307	<$>110711</>	0	0	5800
Package	19084	0	0	0	0	none	0	0	16100	0	23545	<$>112784</>	0	0	13900
Package	19085	0	0	0	0	none	0	0	31700	0	23546	<$>112785</>	0	0	26000
Package	19086	0	0	0	0	none	0	0	48000	0	23547	<$>112786</>	0	0	37300
Period	17376	0	0	0	0	none	0	0	9180	0	41947	<$>222705</>	0	30	0
Period	17377	0	0	0	0	none	0	0	9180	0	41951	<$>222706</>	0	30	0
Package	600096	0	0	0	0	PACKAGE	0	0	3300	0	24165	<$>230066</>	0	0	0
