ClassID	ClassName	FileName	Name
1	Suggest	tag_suggest.bmp	<$>132106</>
2	Day	tag_daily.bmp	<$>132107</>
3	Week	tag_weekly.bmp	<$>132108</>
4	Etc	tag_etc.bmp	<$>132109</>
5	Bnt	tag_bnt.bmp	<$>132110</>
6	Mer	tag_mer.bmp	<$>66946</>
7	Solo	tag_solo.bmp	<$>132111</>
8	Sqd	tag_sqd.bmp	<$>132112</>
9	Mcc3	tag_mcc3.bmp	3MCC
10	Mcc1	tag_mcc1.bmp	1MCC
11	Hard	tag_hard.bmp	<$>132113</>
12	Rep	tag_rep.bmp	<$>132114</>
13	Event	tag_event_kr.bmp	<$>34936</>
14	Rank1	tag_rank1_eng.bmp	Rank1
15	Rank2	tag_rank2_eng.bmp	Rank2
16	Rank3	tag_rank3_eng.bmp	Rank3
17	Rank4	tag_rank4_eng.bmp	Rank4
18	Rank5	tag_rank5_eng.bmp	Rank5
19	Rank6	tag_rank6_eng.bmp	Rank6
20	Rank7	tag_rank7_eng.bmp	Rank7
21	EXTRA	tag_extra.bmp	EXTRA
101	DBLDay	tag_dbl.bmp	<$>132115</>
102	Continuable	tag_con.bmp	<$>132116</>
