AIType	Attack	AttackHome	AutoLock	ClassID	ClassName	ClearMon	DropItem	DropLumin	Filter	HateCount	HateRange	Hatred	HomeSick	LifeTime	LtdMinion	LuminFreq	Move	MoveMax	MoveMin	Note	Rally	RunAway	SeekRange	SelfBomb
JPNEVENT	FALSE	FALSE	FALSE	9901	MON_JPNEVENT	FALSE	0	None	None	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_JPNEVENT	FALSE	FALSE	0	FALSE
JPNEVENT01	TRUE	FALSE	FALSE	9902	MON_JPNEVENT01	FALSE	0	Monster	MonAndPC	0	0	FALSE	FALSE	0	FALSE	15	None	0	0	MON_JPNEVENT01	FALSE	FALSE	2000	FALSE
JPNEVENT02	TRUE	FALSE	FALSE	9903	MON_JPNEVENT02	FALSE	0	Monster	MonAndPC	0	0	FALSE	FALSE	0	FALSE	15	None	0	0	MON_JPNEVENT02	FALSE	FALSE	2000	FALSE
JPNEVENT03	TRUE	FALSE	FALSE	9904	MON_JPNEVENT03	FALSE	0	Monster	MonAndPC	0	0	FALSE	FALSE	0	FALSE	15	None	0	0	MON_JPNEVENT03	FALSE	FALSE	2000	FALSE
HALFHUNT	TRUE	FALSE	FALSE	9905	MON_HALFHUNT	FALSE	0	None	None	0	0	FALSE	TRUE	0	FALSE	0	RANDOMLOCAL	500	0	MON_HALFHUNT	FALSE	FALSE	1500	FALSE
COMICEVENT01	FALSE	FALSE	FALSE	9906	MON_COMICEVENT01	FALSE	0	None	None	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_COMICEVENT01	FALSE	FALSE	0	FALSE
COMICEVENT02	TRUE	FALSE	FALSE	9907	MON_COMICEVENT02	FALSE	0	Monster	MonAndPC	0	0	FALSE	FALSE	0	FALSE	10000	RANDOMLOCAL	300	0	MON_COMICEVENT02	FALSE	FALSE	1200	FALSE
COMICEVENT03	TRUE	FALSE	FALSE	9908	MON_COMICEVENT03	FALSE	0	Monster	MonAndPC	0	0	FALSE	FALSE	0	FALSE	10000	RANDOMLOCAL	300	0	MON_COMICEVENT03	FALSE	FALSE	1200	FALSE
COMICEVENT04	TRUE	FALSE	FALSE	9909	MON_COMICEVENT04	FALSE	0	Monster	MonAndPC	0	0	FALSE	FALSE	0	FALSE	10000	RANDOMLOCAL	300	0	MON_COMICEVENT04	FALSE	FALSE	1200	FALSE
COMICSEVE_01	TRUE	TRUE	FALSE	9910	MON_COMICSEVE_01	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	RANDOM	500	0	MON_COMICSEVE_01	R1S1R2S2	FALSE	2000	FALSE
COMICSEVE_02	TRUE	TRUE	FALSE	9911	MON_COMICSEVE_02	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	RANDOM	500	0	MON_COMICSEVE_02	R1R2R3S1	FALSE	2000	FALSE
COMICSEVE_HOME	TRUE	TRUE	FALSE	9912	MON_COMICSEVE_HOME	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_COMICSEVE_HOME	FALSE	FALSE	1500	FALSE
COMICTHEVE_BOSS	TRUE	TRUE	FALSE	9913	MON_COMICTHEVE_BOSS	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_COMICTHEVE_BOSS	FALSE	TRUE	3000	FALSE
COMICTHEVE_HOME	TRUE	TRUE	FALSE	9914	MON_COMICTHEVE_HOME	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_COMICTHEVE_HOME	FALSE	TRUE	30000	FALSE
COMICTHEVE_01	TRUE	TRUE	FALSE	9915	MON_COMICTHEVE_01	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_COMICTHEVE_01	FALSE	TRUE	30000	FALSE
COMICTHEVE_02	TRUE	TRUE	FALSE	9916	MON_COMICTHEVE_02	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_COMICTHEVE_02	FALSE	TRUE	30000	FALSE
ASOKAEVE	TRUE	TRUE	FALSE	9917	MON_ASOKAEVE	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_ASOKAEVE	FALSE	TRUE	30000	FALSE
ASOKAEVE_01	TRUE	TRUE	FALSE	9918	MON_ASOKAEVE_01	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_ASOKAEVE_01	FALSE	TRUE	30000	FALSE
ASOKAEVE_BOSS	TRUE	TRUE	FALSE	9919	MON_ASOKAEVE_BOSS	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_ASOKAEVE_BOSS	FALSE	TRUE	30000	FALSE
ASOKAEVE_DROP	TRUE	TRUE	FALSE	9920	MON_ASOKAEVE_DROP	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_ASOKAEVE_DROP	FALSE	TRUE	30000	FALSE
EVENT201010_JP	TRUE	TRUE	FALSE	9921	MON_EVENT201010_JP	FALSE	0	None	MonAndPC	0	0	FALSE	FALSE	0	FALSE	0	None	0	0	MON_EVENT201010_JP	FALSE	TRUE	30000	FALSE
CHOCO_WAR	TRUE	FALSE	FALSE	9922	MON_CHOCO_WAR	FALSE	0	None	None	0	0	FALSE	TRUE	300	FALSE	0	RANDOMLOCAL	500	0	MON_CHOCO_WAR	FALSE	FALSE	1500	FALSE
