ClassID	ItemID	Rank	Value
1	7201	math.floor(2 + Lv/5)	Lv*1.7 + 55
2	7202	math.floor(2 + Lv/5)	Lv*1.9 + 50
3	7203	math.floor(2 + Lv/5)	Lv + 80
4	7204	math.floor(2 + Lv/5)	Lv*2 + 40
5	7205	math.floor(2 + Lv/5)	Lv*2 + 70
6	7206	math.floor(2 + Lv/5)	Lv*3.2 + 80
7	7207	math.floor(2 + Lv/5)	Lv*2.3 + 80
8	7208	math.floor(2 + Lv/5)	Lv*1.2 + 43
9	7209	math.floor(2 + Lv/5)	Lv*2 + 215
10	7210	math.floor(2 + Lv/5)	Lv*1.2 + 65
11	7211	math.floor(2 + Lv/5)	Lv*1.7 + 70
12	7212	math.floor(2 + Lv/5)	Lv*2.6 + 90
13	7213	math.floor(2 + Lv/5)	Lv*1.8 + 60
14	7214	math.floor(2 + Lv/5)	Lv*3.5 + 120
15	7215	math.floor(1 + 0)	5 + Lv/5
16	7216	math.floor(2 + Lv/5)	Lv*1.3 + 41
17	7217	math.floor(2 + Lv/5)	Lv + 38
18	7218	math.floor(2 + Lv/5)	Lv*1.7 + 68
19	7219	math.floor(2 + Lv/5)	Lv*2.4 + 88
20	7220	math.floor(2 + Lv/5)	Lv*2 + 75
21	7221	math.floor(2 + Lv/5)	Lv*2 + 75
22	7222	math.floor(2 + Lv/5)	Lv*1.8 + 55
23	7223	math.floor(2 + Lv/5)	Lv*1.8 + 55
24	7224	math.floor(2 + Lv/5)	Lv*1.8 + 55
25	7225	math.floor(2 + Lv/5)	Lv*1.7 + 55
26	7226	math.floor(2 + Lv/5)	Lv*2 + 37
27	7227	math.floor(2 + Lv/5)	Lv*2 + 18
28	7228	math.floor(2 + Lv/5)	Lv*2 + 37
29	7229	math.floor(2 + Lv/5)	Lv*1.2 + 40
30	7230	math.floor(1 + Lv/4)	Lv*0
31	7231	math.floor(1 + Lv/4)	Lv*0
32	7232	math.floor(1 + Lv/4)	Lv*0
33	7234	math.floor(2 + Lv/5)	Lv*2 + 75
34	15001	math.floor(2 + Lv/5)	Lv*1.2 + 55
35	15002	math.floor(2 + Lv/5)	Lv*1.3 + 67
36	15003	math.floor(2 + Lv/5)	Lv*1.1 + 40
37	15004	math.floor(2 + Lv/5)	Lv*1.1 + 40
38	7235	math.floor(0)	Lv/6
101	7401	math.floor(6 + Lv/4)	Lv*2.6 + 96
102	7402	math.floor(6 + Lv/4)	Lv*3.2 + 86
103	7403	math.floor(6 + Lv/4)	Lv*1.8 + 61
104	7404	math.floor(6 + Lv/4)	Lv*1.8 + 61
105	7405	math.floor(6 + Lv/4)	Lv*1.8 + 61
106	7406	math.floor(6 + Lv/4)	Lv*2.3 + 81
