ApplyTime	AttachEffectIndex	BodyColor	BuffRank	BuffType	Category	ChangeDefLayer	ClassID	ClassName	CookBuffPoint	Desc	ElapsedSeconds	Emitter	EmitterLoop	Emoticon	EscHitCount	Eventbuff	ExGroupIndex	GroupIndex	HitCount	HoldAttack	HoldItem	HoldMove	HoldSkill	IgnoreMagicalSkill	IgnoreNormalHit	IgnorePhysicalSkill	IgnoreTargetting	Invisible	Name	Particle	Partybuffpoint	Position	Range	Save	ShowDetailInfoToOther	TargetParticle	ToolTip	Unremovable	UpdateType	WeaponTail
0	None	None	0	None	Enhance	0	27	LavaPlasma	0	LavaPlasma	0	None	NO	None	0	NO	G 3001 3002	3	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27655</>	Buff_Lplasma	0	Bottom	0	FALSE	TRUE	HIT_Blood_FIRE	<$>95996</>	NO	NORMAL	3_3
0	None	None	0	None	Enhance	0	28	ColdPlasma	0	ColdPlasma	0	None	NO	None	0	NO	G 3001 3002	3	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27657</>	Buff_CPlasma	0	Bottom	0	FALSE	TRUE	HIT_Blood_ICE	<$>95997</>	NO	NORMAL	2_3
0	None	None	0	None	Enhance	0	29	ElectricPlasma	0	ElectricPlasma	0	None	NO	None	0	NO	G 3001 3002	3	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27659</>	Buff_EPlazma	0	Bottom	0	FALSE	TRUE	HIT_Blood_LGHT	<$>95998</>	NO	NORMAL	1_3
0	None	None	0	None	buff	0	30	MagicBarrier	0	MagicBarrier	0	None	NO	None	0	NO	G 821	2	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27661</>	Buff_Mbarrier	0	Middle	0	FALSE	TRUE	None	<$>27662</>	NO	NORMAL	None
0	None	None	0	None	buff	0	31	IgnoreHarm	0	IgnoreHarm	0	None	NO	None	0	NO	None	2	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27663</>	Buff_IHarm	0	Middle	0	FALSE	TRUE	None	<$>103629</>	NO	NORMAL	None
0	None	None	0	None	buff	0	33	SpiritualShield	0	SPShield	0	None	NO	None	0	NO	None	2	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>190179</>	Buff_SPShield	0	Middle	0	FALSE	TRUE	None	<$>190180</>	NO	NORMAL	None
0	None	None	0	None	buff	0	34	AntimagicShell	0	AMShell	0	None	NO	None	0	NO	None	2	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27669</>	Buff_AMShell	0	Middle	0	FALSE	TRUE	None	<$>96000</>	NO	NORMAL	None
0	None	None	0	None	Enhance	0	38	BurningHands	0	BHands	0	None	NO	None	0	NO	G 3001 3002	3	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27677</>	Buff_BHands	0	Bottom	0	FALSE	TRUE	HIT_Blood_FIRE	<$>96003</>	NO	NORMAL	3_3
0	None	None	0	None	Enhance	0	39	ChillingTouch	0	CTouch	0	None	NO	None	0	NO	G 3001 3002	3	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27679</>	Buff_CTouch	0	Bottom	0	FALSE	TRUE	HIT_Blood_ICE	<$>96004</>	NO	NORMAL	2_3
0	None	None	0	None	Enhance	0	40	ElectricCharger	0	ECharger	0	None	NO	None	0	NO	G 3001 3002	3	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27681</>	Buff_ECharger	0	Bottom	0	FALSE	TRUE	HIT_Blood_LGHT	<$>96005</>	NO	NORMAL	1_3
0	None	None	100	None	Enhance	0	41	EnchantedArm	0	EnchantedArm	0	None	NO	None	0	YES	G 606 3	3002	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27683</>	Buff_EnchantedArm	0	Bottom	0	FALSE	TRUE	None	<$>27684</>	YES	NORMAL	None
0	None	None	2	None	ETC	0	43	Clique	0	Clique	0	None	NO	None	0	NO	None	110	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27687</>	None	0	None	0	FALSE	TRUE	None	<$>27688</>	YES	INFINITY	None
0	None	None	0	None	buff	0	52	Intensify	0	Intensify	0	None	NO	None	0	NO	None	6	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27705</>	Buff_Intensify	0	Bottom	0	FALSE	TRUE	None	<$>96007</>	NO	NORMAL	None
0	None	None	0	None	buff	0	53	Concentrate	0	Concentrate	0	None	NO	None	0	NO	None	100005	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27707</>	Buff_Concentrate	0	Bottom	0	FALSE	TRUE	None	<$>96008</>	NO	NORMAL	None
0	None	None	0	None	buff	0	54	Fortify	0	Fortify	0	None	NO	None	0	NO	None	7	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27709</>	Buff_Fortify	0	Bottom	0	FALSE	TRUE	None	<$>96009</>	NO	NORMAL	None
0	None	None	0	None	buff	0	55	Acceleration	0	Acceleration	0	None	NO	None	0	NO	None	7	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27711</>	Buff_Acceleration	0	Bottom	0	FALSE	TRUE	None	<$>96010</>	NO	NORMAL	None
0	None	None	0	None	buff	0	56	Meditation	0	Meditation	0	None	NO	None	0	NO	None	8	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27713</>	Buff_Meditation	0	Bottom	0	FALSE	TRUE	None	<$>96011</>	NO	NORMAL	None
0	None	None	0	None	Enhance	0	84	CatsEye	0	CatsEye	0	None	NO	None	0	NO	G 33	55	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27769</>	Buff_Refmind	0	Bottom	0	FALSE	TRUE	None	<$>96017</>	YES	NORMAL	None
0	None	None	0	None	buff	0	101	LadiesOrder	0	LadiesOrder	0	None	NO	None	0	YES	None	819	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27793</>	Buff_Adcast	0	Bottom	0	FALSE	TRUE	None	<$>27794</>	YES	NORMAL	None
0	None	None	100	None	buff	0	107	Mark	0	Mark	0	None	NO	None	0	YES	G 604	819	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27805</>	Buff_Adcast	0	Bottom	0	FALSE	TRUE	None	<$>118789</>	YES	NORMAL	None
0	None	None	0	None	buff	0	139	Furious	0	Furious	0	None	NO	None	0	YES	None	819	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27865</>	Buff_Refmind	0	Bottom	0	FALSE	TRUE	None	<$>27866</>	YES	NORMAL	None
0	None	None	0	None	buff	0	143	Tactics	0	Tactics	0	None	NO	None	0	NO	None	822	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27872</>	None	0	None	0	FALSE	TRUE	None	<$>27873</>	NO	NORMAL	None
0	None	None	0	None	Enhance	0	150	Heating	0	Heating	0	None	NO	None	0	YES	None	825	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27884</>	None	0	None	0	FALSE	TRUE	HIT_Blood_FIRE	<$>27885</>	YES	NORMAL	3_3
0	None	None	100	None	buff	0	156	FatalBlues	0	FatalBlues	0	None	NO	None	0	NO	G 604	100013	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27893</>	None	0	None	0	FALSE	TRUE	None	<$>150991</>	NO	NORMAL	None
0	None	None	0	None	buff	0	163	Dreamofdoll	0	Dreamofdoll	0	None	NO	None	0	NO	None	100022	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27903</>	Buff_Concentrate	0	Bottom	0	FALSE	TRUE	None	<$>27903</>	NO	NORMAL	None
0	None	None	1	None	ETC	0	171	BlessOfAncient	0	BlessOfAncient	0	None	NO	None	0	NO	None	10000	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>8290</>	None	0	None	0	TRUE	TRUE	None	<$>27918</>	YES	NORMAL	None
0	None	None	0	None	ETC	0	187	ProtectionofEsperanza	0	ProtectionofEsperanza	0	None	NO	None	0	NO	None	85	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27937</>	None	0	Bottom	0	FALSE	TRUE	None	<$>27938</>	YES	INFINITY	None
0	None	None	0	None	buff	0	231	SoulOfGrim	0	SoulOfGrim	0	None	NO	None	0	YES	None	9	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>28012</>	Buff_SoulOfGrim	0	Bottom	0	FALSE	TRUE	None	<$>28013</>	NO	NORMAL	None
0	None	None	0	None	ETC	0	233	EXPBuff50	0	EXPBuff50	0	None	NO	None	0	NO	None	43	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27765</>	None	0	None	0	FALSE	TRUE	None	<$>27766</>	YES	INFINITY	None
0	None	None	0	None	ETC	0	235	EXPBuff100	0	EXPBuff100	0	None	NO	None	0	NO	None	43	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27765</>	None	0	None	0	FALSE	TRUE	None	<$>28017</>	YES	INFINITY	None
0	None	None	0	None	ETC	0	236	StnEXPBuff50	0	StnEXPBuff50	0	None	NO	None	0	NO	None	41	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>27932</>	None	0	None	0	FALSE	TRUE	None	<$>28018</>	YES	INFINITY	None
0	None	None	0	None	ETC	0	238	StnEXPBuff100	0	StnEXPBuff100	0	None	NO	None	0	NO	None	41	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	StnEXPBuff100	None	0	None	0	FALSE	TRUE	None	<$>28020</>	YES	INFINITY	None
0	None	None	0	None	buff	0	248	ShiningBallade	0	ShiningBallade	0	None	NO	None	0	NO	None	2	0	NO	NO	NO	NO	NO	NO	NO	NO	NO	<$>28039</>	Buff_ShiningBallade	0	Middle	0	FALSE	TRUE	None	<$>96022</>	NO	NORMAL	None
