ClassID	ClassName	Condition1	Condition2	Condition3	Condition4	Condition5	Condition6	Condition7	Condition8	Location1	Location2	Location3	Location4	Location5	Location6	Location7	Location8	Map1	Map2	Map3	Map4	Map5	Map6	Map7	Map8	Npc1	Npc2	Npc3	Npc4	Npc5	Npc6	Npc7	Npc8	QuestLv1	QuestLv2	QuestLv3	QuestLv4	QuestLv5	QuestLv6	QuestLv7	QuestLv8	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Scenario	StartMap	StartNpc	Title	TotalStage	Type	WarLocation1	WarLocation2	WarLocation3	WarLocation4	WarLocation5	WarLocation6	WarLocation7	WarLocation8
52	Quest_00052	None	None	None	None	None	None	None	None	<$>189114</>	<$>88733</>	<$>88733</>	<$>88733</>	None	None	None	None	bst_lab	bst_lab	bst_lab	bst_lab	None	None	None	None	C1_BST_MARCHETTI	C1_BST_MARCHETTI	C1_BST_MARCHETTI	C1_BST_MARCHETTI	None	None	None	None	120	120	120	120	1	1	1	1	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	None	None	None	None	<$>94671</>	None	None	<$>94670</>	4	Scout	None	btl_jaq04 - -	dun_tbk02 - - btl_tbk01 - -	None	None	None	None	None
24	Quest_00024	None	None	None	None	<$>99768</>	None	None	None	<$>29411</>	<$>29414</>	<$>47488</>	<$>48363</>	<$>148182</>	None	None	None	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	None	None	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	None	None	120	120	120	120	120	1	1	1	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	None	None	None	<$>99773</>	None	None	<$>94654</>	5	Choice	mission_cas_mine - -	mission_cas_relic - -	mission_dun_ktv_boss - -	mission_weekly_sekhmet - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None
21501	Quest_21501	<$>171903</>	None	None	None	None	None	None	None	<$>155794</>	None	None	None	None	None	None	None	bah_basic	None	None	None	None	None	None	None	C1_BAH_IGORNYI	None	None	None	None	None	None	None	105	0	1	1	1	1	1	1	500,000 Vis	None	None	None	None	None	None	None	<$>171902</>	bah_basic	C1_BAH_IGORNYI	<$>12669</>	1	Msg	btl_bah01 - - btl_bah02 - - btl_bah03 - - btl_bah04 - - dun_bah04 - - dun_bah05 - -	None	None	None	None	None	None	None
150011	Quest_150011	<$>91378</>	<$>91379</>	<$>91378</>	None	None	None	None	None	<$>89241</>	<$>88733</>	<$>89241</>	None	None	None	None	None	mission_government	None	mission_government	None	None	None	None	None	C1_BST_KESS	None	C1_BST_KESS	None	None	None	None	None	120	120	120	1	1	1	1	1	<$>27187</>	<$>13438</>	<$>13438</>	None	None	None	None	None	<$>91377</>	bst_basic	None	<$>92987</>	3	Msg	bst_basic -163 8278 2017	bst_lab 1487 1742	bst_basic -163 8278 2017	None	None	None	None	None
150016	Quest_150016	<$>93003</>	<$>105059</>	<$>134697</>	<$>93006</>	None	None	None	None	<$>81060</>	<$>81060</>	<$>81060</>	<$>81060</>	None	None	None	None	bst_basic	None	None	bst_basic	None	None	None	None	C1_BST_DORVAN	None	None	C1_BST_DORVAN	None	None	None	None	120	120	120	120	1	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	<$>13438</>	None	None	None	None	<$>93002</>	bst_basic	None	<$>93001</>	4	Msg	bst_basic -8527 -14727	bst_basic 22235 3830 2320 btl_bst01 -7214 18194 -642	bst_basic 22235 3830 2320	bst_basic -8527 -14727	None	None	None	None
150044	Quest_150044	<$>103146</>	<$>103138</>	None	None	None	None	None	None	<$>81060</>	<$>88802</>	None	None	None	None	None	None	bst_basic	mission_bst_fin10	None	None	None	None	None	None	TR_BST_FIN06	C1_BST_KESS	None	None	None	None	None	None	120	120	1	1	1	1	1	1	<$>103145</>	<$>134698</>	None	None	None	None	None	None	<$>103144</>	bst_basic	None	<$>102960</>	2	Msg	bst_basic -123 6235	bst_basic -163 8278	None	None	None	None	None	None
21018	Quest_21018	<$>4636</>	None	None	None	None	None	None	None	<$>47519</>	None	None	None	None	None	None	None	bah_witchin	None	None	None	None	None	None	None	C1_BAH_SIERRA	None	None	None	None	None	None	None	120	0	0	1	1	1	1	1	<$>134699</>	None	None	None	None	None	None	None	<$>108689</>	bah_witchin	C1_BAH_SIERRA	<$>108338</>	1	Msg	None	None	None	None	None	None	None	None
21026	Quest_21026	<$>110931</>	None	None	None	None	None	None	None	<$>47518</>	None	None	None	None	None	None	None	bah_witchin	None	None	None	None	None	None	None	C1_BAH_SIERRA	None	None	None	None	None	None	None	120	0	0	1	1	1	1	1	<$>134700</>	None	None	None	None	None	None	None	<$>110932</>	None	None	<$>110702</>	1	Msg	None	None	None	None	None	None	None	None
21034	Quest_21034	<$>110936</>	<$>110940</>	None	None	None	None	None	None	<$>47518</>	<$>106356</>	None	None	None	None	None	None	bah_witchin	btl_bah05	None	None	None	None	None	None	C1_BAH_SIERRA	C1_BAH_NENA	None	None	None	None	None	None	120	120	1	1	1	1	1	1	<$>27187</>	<$>134701</>	None	None	None	None	None	None	<$>110965</>	bah_witchin	C1_BAH_SIERRA	<$>110964</>	2	Scout	None	None	None	None	None	None	None	None
148403	Quest_148403	<$>125370</>	<$>151472</>	<$>125370</>	None	<$>125370</>	None	<$>125370</>	None	<$>3976</>	<$>151356</>	<$>3976</>	<$>47523</>	<$>3976</>	<$>151473</>	<$>3976</>	<$>151474</>	reb_basic	btl_bah02 - - btl_bah03 - - btl_bah04 - -	reb_basic	None	reb_basic	None	reb_basic	None	chr_panfilo	C1_VIRON_LYNN	chr_panfilo	None	chr_panfilo	None	chr_panfilo	None	120	120	120	120	120	120	120	120	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	<$>151471</>	dun_caslucifer04	C1_VIRON_LYNN	<$>151470</>	8	Scout	None	None	None	dun_bah01 - -	None	mission_masung_erc - -	None	mission_lucifer2_defence - -
