Caption1	Caption2	ClassID	ClassName	Name1	Name2	UiFrame
<$>2170</>	None	135	mcdragon	mission_dragon	None	mcwithnolv
<$>29387</>	None	178	mcpalace	mission_palace	None	mcwithnolv
<$>47828</>	None	216	mcmasungpot	mission_masung_pot	None	mcwithnolv
<$>47829</>	None	217	mcmasungtor	mission_masung_tor	None	mcwithnolv
<$>47831</>	None	218	mcmasungjaq	mission_masung_jaq	None	mcwithnolv
<$>47833</>	None	219	mcmasungust	mission_masung_ust	None	mcwithnolv
<$>47835</>	None	220	mcmasungbah	mission_masung_bah	None	mcwithnolv
<$>47837</>	None	221	mcmasungsed	mission_masung_sed	None	mcwithnolv
<$>47839</>	None	222	mcmasungerc	mission_masung_erc	None	mcwithnolv
<$>47842</>	None	223	mcmasungktv	mission_masung_ktv	None	mcwithnolv
<$>47844</>	None	225	mcmasungtbk	mission_masung_tbk	None	mcwithnolv
<$>47845</>	None	226	mcmasungsct	mission_masung_sct	None	mcwithnolv
<$>106372</>	<$>29414</>	231	mccasrelic	mission_cas_relic_H	mission_cas_relic	mcwithnolv
<$>29415</>	None	232	mctowerofchaos	mission_tower_of_chaos	None	mcwithnolv
<$>48531</>	None	270	mcbtlviron02	mission_btl_viron02	None	mcwithnolv
<$>47945</>	None	293	mcsauterelle	mission_sauterelle	None	mcwithnolv
<$>47950</>	None	294	mcnephthys	mission_nephthys	None	mcwithnolv
<$>47959</>	None	454	mccortes	mission_cortes	None	mcwithnolv
<$>47961</>	None	614	mcdw	mission_dw	None	mcwithnolv
<$>105345</>	None	721	mcmasungcas01	mission_masung_cas01_H	None	mcwithnolv
<$>105346</>	None	722	mcmasungcas02	mission_masung_cas02_H	None	mcwithnolv
<$>105347</>	None	723	mcmasungcas03	mission_masung_cas03_H	None	mcwithnolv
<$>121329</>	None	763	mcarmchaos	mission_arm_chaos	None	mcwithnolv
