CheckProperty1	CheckProperty2	CheckProperty3	CheckPropertyDesc1	CheckPropertyDesc2	CheckPropertyDesc3	CheckPropertyValue1	CheckPropertyValue2	CheckPropertyValue3	ClassID	ClassName	DropItem1	DropItem2	DropItem3	DropItemCount1	DropItemCount2	DropItemCount3	DropItemRate1	DropItemRate2	DropItemRate3	DropMonster1	DropMonster2	DropMonster3	ItemCount1	ItemCount2	ItemCount3	MonsterCount1	MonsterCount2	MonsterCount3	Property1	Property2	Property3	Property4	Property5	Property6	PropertyValue1	PropertyValue2	PropertyValue3	PropertyValue4	PropertyValue5	PropertyValue6	QuestName	RewardCommPoint	SaveCount1	SaveCount2	SaveCount3	Stage	TargetItem1	TargetItem2	TargetItem3	TargetMonster1	TargetMonster2	TargetMonster3
None	None	None	None	None	None	0	0	0	1	Quest_01501_1	MandraTentacle	None	None	3	0	0	1	0	0	Monster_Mandradora	None	None	0	0	0	0	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_01501	0	0	0	0	1	None	None	None	None	None	None
None	None	None	None	None	None	0	0	0	2	Quest_01506_1	WhiteFeather	WhiteFeather	WhiteFeather	3	3	3	1	1	1	Monster_CockatriesFlame	Monster_CockatriesChill	Monster_CockatriesShock	0	0	0	0	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_01506	0	0	0	0	1	None	None	None	None	None	None
None	None	None	None	None	None	0	0	0	5	Quest_01518_1	CarpenterwaspWing	None	None	10	0	0	1	0	0	Monster_Carpenterwasp	None	None	0	0	0	0	0	0	Quest_01518	XQ_Andre	XM_Andre	None	None	None	2	76	7	0	0	0	Quest_01518	0	0	0	0	1	None	None	None	None	None	None
None	None	None	None	None	None	0	0	0	6	Quest_00014_1	Symbol_Piece	Symbol_Piece	Symbol_Piece	2	2	2	100	100	100	Monster_Betelgeuse	Monster_sctw03_Betelgeues01	Monster_General_Guard	0	0	0	0	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_00014	0	0	0	0	1	None	None	None	None	None	None
None	None	None	None	None	None	0	0	0	7	Quest_00014_2	Symbol_Piece	Symbol_Piece	Symbol_Piece	3	3	3	100	100	100	Monster_Betelgeuse	Monster_sctw03_Betelgeues01	Monster_General_Guard	0	0	0	0	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_00014	0	0	0	0	2	None	None	None	None	None	None
None	None	None	None	None	None	0	0	0	8	Quest_00014_3	Symbol_Piece	Symbol_Piece	Symbol_Piece	4	4	4	100	100	100	Monster_Betelgeuse	Monster_sctw03_Betelgeues01	Monster_General_Guard	0	0	0	0	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_00014	0	0	0	0	3	None	None	None	None	None	None
None	None	None	None	None	None	0	0	0	21	Quest_00021_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	20	20	Quest_00021	None	None	None	None	None	2	0	0	0	0	0	Quest_00021	0	1	1	1	1	None	None	None	Monster_Demoniac _EscudoPecher_01	Monster_Demoniac _Pasiar_01	Monster_Demoniac _Imanon_01
None	None	None	None	None	None	0	0	0	22	Quest_00021_2	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	20	20	Quest_00021	None	None	None	None	None	3	0	0	0	0	0	Quest_00021	0	1	1	1	2	None	None	None	Monster_Demoniac _Victor_01	Monster_Demoniac _Helena_01	Monster_Demoniac _Sasha_01
None	None	None	None	None	None	0	0	0	23	Quest_00021_3	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	20	20	Quest_00021	None	None	None	None	None	4	0	0	0	0	0	Quest_00021	0	1	1	1	3	None	None	None	Monster_Demoniac _Chrysalis_01	Monster_Demoniac _GhostlyFather_01	Monster_Demoniac _Jabberwock_01
None	None	None	None	None	None	0	0	0	24	Quest_00021_4	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	20	20	Quest_00021	None	None	None	None	None	5	0	0	0	0	0	Quest_00021	0	1	1	1	4	None	None	None	Monster_Demoniac _Boneless_01	Monster_Demoniac _skeletonsta_01	Monster_Demoniac _skeletonhg_01
None	None	None	None	None	None	0	0	0	27	Quest_00022_2	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	0	0	Quest_00022	None	None	None	None	None	3	0	0	0	0	0	Quest_00022	0	1	0	0	2	None	None	None	Mission_queenzeater_b_raid	None	None
None	None	None	None	None	None	0	0	0	28	Quest_00022_3	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	0	0	Quest_00022	None	None	None	None	None	4	0	0	0	0	0	Quest_00022	0	1	0	0	3	None	None	None	Monster_SharffenbergerADV_raid	None	None
None	None	None	None	None	None	0	0	0	29	Quest_00022_4	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	0	0	Quest_00022	None	None	None	None	None	5	0	0	0	0	0	Quest_00022	0	1	0	0	4	None	None	None	Monster_Argusbrain_Mission	None	None
