AR	ASPD	ASPD_Opt	ATK	AddATK	AddATK_Opt	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BLK_Opt	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	CRT_Opt	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefIP_Opt	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireATK_Opt	FireIP	FireIP_Opt	GolemBane	GroupName	HPDrain	HPDrain_Opt	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceATK_Opt	IceIP	IceIP_Opt	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncHeal	IncINT	IncMHP	IncMHP_Opt	IncMSP	IncMSP_Opt	IncSTR	InfoView	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LghtATK_Opt	LghtIP_Opt	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	Option4ID	Option4MaxValue	Option4MinValue	OptionGroup	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyATK_Opt	PsyIP	PsyIP_Opt	RFIRE	RFIRE_Opt	RHP	RHP_Opt	RICE	RICE_Opt	RLGHT	RLGHT_Opt	RPSY	RPSY_Opt	RSP	RSTAT	RSTAT_Opt	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	3	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>102985</>	26059	8years_unlimit	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>120301</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	GE 8th Anniversary	ACHIEVE	None	None	2147483647	0	FALSE	it_m_8years	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	1	1	1	1	0	1	0	0	0	0	1	TRUE	Achi	SYS_item_column_red	0	<$>112788</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	26059	1	None	1	0	None	<$>120302</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	10	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>102985</>	26064	9years_unlimit	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	10	<$>155382</>	10	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Seeker of Truth	ACHIEVE	None	None	2147483647	0	FALSE	it_m_9years	0	0	0	0	10	Achieve	0	0	0	0	10	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	TRUE	Achi	SYS_item_column_red	0	<$>155381</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	26064	1	None	1	0	None	<$>155383</>	_NO	None	FALSE	10	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	20	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Accomplish	<$>175451</>	26128	10th_Anniversary	Achieve	NO	0	FALSE	1	3	0	ACHIEVE	20	<$>175453</>	20	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	GE 10th Anniversary	ACHIEVE	None	None	2147483647	0	FALSE	it_m_10years	0	0	3	0	20	Achieve	0	0	0	0	20	3	0	0	0	3	0	None	0	0	0	0	0	0	0	0	0	0	0	TRUE	Accom	SYS_item_column_red	0	<$>175452</>	None	0	1000	0	0	0	3	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	26128	1	None	1	0	None	<$>175454</>	_NO	None	FALSE	20	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	2	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Settlement	<$>175448</>	26147	Ileempiresavior	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>211993</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Illier Empier Savior Badge	ACHIEVE	None	None	2147483647	0	FALSE	it_m_ileempiresavior	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	500	0	200	0	0	TRUE	Settle	SYS_item_column_red	0	<$>211992</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	26147	1	None	1	0	None	<$>211994</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	20	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Accomplish	<$>175451</>	26154	12th_Anniversary	Achieve	NO	0	FALSE	1	3	0	ACHIEVE	20	<$>216445</>	20	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	GE 12th Anniversary	ACHIEVE	None	None	2147483647	0	FALSE	it_m_12years	0	0	3	0	20	Achieve	0	0	0	0	20	3	0	0	0	3	0	None	0	0	0	0	0	0	0	0	0	0	0	TRUE	Accom	SYS_item_column_red	0	<$>216444</>	None	0	1000	0	0	0	3	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	26154	1	None	1	0	None	<$>216446</>	_NO	None	FALSE	20	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	10	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>31206</>	117501	Achv_Gehenna	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>76144</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Medal of Gehenna	ACHIEVE	None	None	2147483647	0	FALSE	it_m_phoenix6	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	TRUE	Prize	SYS_item_column_red	0	<$>81705</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	27001	1	None	1	0	None	<$>81720</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>31206</>	117502	Achv_Yigdrasil	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>76147</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Medal of Yggdrasil	ACHIEVE	None	None	2147483647	0	FALSE	it_m_hopefulrenaissance	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	2	2	2	2	0	2	0	0	0	0	2	TRUE	Prize	SYS_item_column_red	0	<$>81706</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	27002	1	None	1	0	None	<$>81721</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>31206</>	117503	Achv_Champion	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>76150</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Medal of Champion	ACHIEVE	None	None	2147483647	0	FALSE	it_m_bugmaster	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	5	TRUE	Prize	SYS_item_column_red	0	<$>81707</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	27002	1	None	1	0	None	<$>81725</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>31206</>	117504	Achv_Speedking	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>76153</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Medal of SpeedKing	ACHIEVE	None	None	2147483647	0	FALSE	it_m_bugmaster	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	5	0	0	0	0	0	0	0	0	0	0	TRUE	Prize	SYS_item_column_red	0	<$>81708</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	27002	1	None	1	0	None	<$>81719</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	Badge	<$>27347</>	Exploration 	<$>31206</>	117505	Achv_Yusha	Achieve	NO	0	FALSE	1	0	0	ACHIEVE	0	<$>76155</>	0	0	0	0	None	Etc	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	Medal of Braver	ACHIEVE	None	None	2147483647	0	FALSE	it_m_castillatempleconqueror	0	0	0	0	0	Achieve	0	0	0	0	0	0	0	0	0	0	0	None	0	0	5	0	0	0	0	0	0	0	0	TRUE	Prize	SYS_item_column_red	0	<$>81709</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31209</>	1	27002	1	None	1	0	None	<$>76156</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	1	None	0	0	0
