ClassID	ClassName	ConditionCheckScp	ConsumePoint	GroupName	Img	LimitCount	MinimumCost	Name	TooltipScp	UIPosition
1	CM_AttackUp1	None	1	Offence	cm_AttackUp2.bmp	5	0	<$>210328</>	TIP_CM_AttackUp1	R 26 65
2	CM_RageAtk	CheckOkSkill	1	Offence	cm_RageAtk.bmp	5	0	<$>50217</>	TIP_CM_RageAtk	R 245 135
3	CM_PcAtk	CheckOkSkill	2	Offence	cm_PcAtk.bmp	5	0	<$>17459</>	TIP_CM_PcAtk	R 99 205
4	CM_DefenceUp2	CheckOkSkill	2	Offence	cm_DefenceUp2.bmp	5	0	<$>210329</>	TIP_CM_DefenceUp2	R 26 275
5	CM_MaxHpUpp	CheckOkSkill	3	Offence	cm_MaxHpUp6.bmp	5	0	<$>210330</>	TIP_CM_MaxHpUpp	R 99 345
6	CM_Agiity	CheckOkSkill	4	Offence	cm_Agiity.bmp	5	0	<$>88191</>	TIP_CM_Agiity	R 26 415
7	CM_MHPAtk	CheckOkSkill	5	Offence	CM_MHPAtk.bmp	1	0	<$>210331</>	TIP_CM_MHPAtk	R 26 485
8	CM_ASPDUp1	None	1	Offence	cm_ASPDUp1.bmp	5	0	<$>210332</>	TIP_CM_ASPDUp1	R 99 65
9	CM_Hard	CheckOkSkill	1	Offence	cm_Hard.bmp	5	0	<$>88195</>	TIP_CM_Hard	R 99 135
10	CM_FastCast	CheckOkSkill	4	Offence	cm_FastCast.bmp	5	0	<$>88176</>	TIP_CM_FastCast	R 172 415
11	CM_MSPAtk	CheckOkSkill	5	Offence	CM_MSPAtk.bmp	1	0	<$>210333</>	TIP_CM_MSPAtk	R 172 485
12	CM_MonAtk1	None	1	Offence	cm_MonAtk1.bmp	5	0	<$>210334</>	TIP_CM_MonAtk1	R 245 65
13	CM_Trace	CheckOkSkill	1	Offence	cm_Trace.bmp	5	0	<$>88196</>	TIP_CM_Trace	R 26 135
14	CM_MaxHpUp2	CheckOkSkill	2	Offence	cm_MaxHpUp2.bmp	5	0	<$>210335</>	TIP_CM_MaxHpUp2	R 318 275
15	CM_MaxSpUp	CheckOkSkill	3	Offence	CM_MaxSpUp.bmp	5	0	<$>210336</>	TIP_CM_MaxSpUp	R 245 345
16	CM_Accuracy	None	1	Offence	cm_Accuracy.bmp	5	0	<$>88174</>	TIP_CM_Accuracy	R 318 65
17	CM_Ambush	CheckOkSkill	1	Offence	cm_Ambush.bmp	5	0	<$>88194</>	TIP_CM_Ambush	R 318 135
18	CM_MonAtk2	CheckOkSkill	2	Offence	cm_MonAtk2.bmp	5	0	<$>210337</>	TIP_CM_MonAtk2	R 245 205
19	CM_CRTUp	CheckOkSkill	4	Offence	CM_CRTUp.bmp	5	0	<$>27385</>	TIP_CM_CRTUp	R 318 415
20	CM_CrtAtk	CheckOkSkill	5	Offence	cm_CrtAtk.bmp	1	0	<$>88175</>	TIP_CM_CrtAtk	R 318 485
