CharName	CharUserID	ClassID	IsConsumeRecipe	MakeType	MaterialID	MaterialOpt	NPCUserID	Recipe	RecipeLv	RecipeName	Stuff1	Stuff1Name	Stuff1Num	Stuff2	Stuff2Name	Stuff2Num	Stuff3	Stuff3Name	Stuff3Num	Stuff4	Stuff4Name	Stuff4Num	Stuff5	Stuff5Name	Stuff5Num	Stuff6	Stuff6Name	Stuff6Num	Stuff7	Stuff7Name	Stuff7Num	Target	TargetName	TargetNum
Adelina	19	10102	TRUE	6	0	0	COIM_WEP	80002	36	Recipe_LongSword_Elite	21807	RedJewel2	2	21601	CompositeSteel	14	21104	Aidanium	30	21105	Etretanium	30	0	None	0	0	None	0	0	None	0	60102	LongSword_Elite	1
Adelina	19	10103	TRUE	6	0	0	COIM_WEP	80003	52	Recipe_Durandal_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	30	21137	Quartz_Ref	30	0	None	0	0	None	0	0	None	0	60103	Durandal_Elite	1
Adelina	19	10104	TRUE	6	0	0	COIM_WEP	80004	68	Recipe_ValkyrieSpirit_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	30	21140	SilverBulk	30	0	None	0	0	None	0	0	None	0	60104	ValkyrieSpirit_Elite	1
Adelina	19	10105	TRUE	6	0	0	COIM_WEP	80005	68	Recipe_Penetrator_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	30	21140	SilverBulk	30	0	None	0	0	None	0	0	None	0	60105	Penetrator_Elite	1
Adelina	19	10201	TRUE	6	0	0	COIM_WEP	80101	52	Recipe_EpeePra_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	36	21137	Quartz_Ref	36	0	None	0	0	None	0	0	None	0	60201	EpeePra_Elite	1
Adelina	19	10202	TRUE	6	0	0	COIM_WEP	80102	68	Recipe_RapierTra_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	36	21140	SilverBulk	36	0	None	0	0	None	0	0	None	0	60202	RapierTra_Elite	1
Adelina	19	10302	TRUE	6	0	0	COIM_WEP	80202	36	Recipe_Cutlass_Elite	21807	RedJewel2	2	21601	CompositeSteel	14	21104	Aidanium	33	21105	Etretanium	33	0	None	0	0	None	0	0	None	0	60302	Cutlass_Elite	1
Adelina	19	10303	TRUE	6	0	0	COIM_WEP	80203	52	Recipe_Shamshir_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	33	21137	Quartz_Ref	33	0	None	0	0	None	0	0	None	0	60303	Shamshir_Elite	1
Adelina	19	10304	TRUE	6	0	0	COIM_WEP	80204	68	Recipe_JadeSlicer_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	33	21140	SilverBulk	33	0	None	0	0	None	0	0	None	0	60304	JadeSlicer_Elite	1
Adelina	19	10306	TRUE	6	0	0	COIM_WEP	80206	84	Recipe_Girlcompassion	3004	Capybara_sickle	1	21601	CompositeSteel	26	21196	Talt_Pure	33	21198	Quartz_Pure	33	21656	Girlheart	1	0	None	0	0	None	0	3011	Girlcompassion	1
Claude	8	10401	TRUE	6	0	0	REB_WEP	80301	36	Recipe_BastardSword_Elite	21807	RedJewel2	2	21601	CompositeSteel	14	21104	Aidanium	60	21105	Etretanium	60	0	None	0	0	None	0	0	None	0	60401	BastardSword_Elite	1
Claude	8	10402	TRUE	6	0	0	REB_WEP	80302	52	Recipe_Bidenhander_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	60	21137	Quartz_Ref	60	0	None	0	0	None	0	0	None	0	60402	Bidenhander_Elite	1
Claude	8	10403	TRUE	6	0	0	REB_WEP	80303	68	Recipe_Slayer_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	60	21140	SilverBulk	60	0	None	0	0	None	0	0	None	0	60403	Slayer_Elite	1
Claude	8	10404	TRUE	6	0	0	REB_WEP	80304	68	Recipe_Merveilleuse_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	60	21140	SilverBulk	60	0	None	0	0	None	0	0	None	0	60404	Merveilleuse_Elite	1
Claude	8	10501	TRUE	6	0	0	REB_WEP	80401	36	Recipe_Guisarme_Elite	21807	RedJewel2	2	21601	CompositeSteel	14	21104	Aidanium	57	21105	Etretanium	57	0	None	0	0	None	0	0	None	0	60501	Guisarme_Elite	1
Claude	8	10502	TRUE	6	0	0	REB_WEP	80402	52	Recipe_Spetum_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	57	21137	Quartz_Ref	57	0	None	0	0	None	0	0	None	0	60502	Spetum_Elite	1
Claude	8	10503	TRUE	6	0	0	REB_WEP	80403	68	Recipe_Gungnir_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	57	21140	SilverBulk	57	0	None	0	0	None	0	0	None	0	60503	Gungnir_Elite	1
Claude	8	10504	TRUE	6	0	0	REB_WEP	80404	68	Recipe_Muspellheim_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	57	21140	SilverBulk	57	0	None	0	0	None	0	0	None	0	60504	Muspellheim_Elite	1
Adelina	19	10602	TRUE	6	0	0	COIM_WEP	80502	36	Recipe_Pugio_Elite	21807	RedJewel2	2	21601	CompositeSteel	14	21104	Aidanium	24	21105	Etretanium	24	0	None	0	0	None	0	0	None	0	60602	Pugio_Elite	1
Adelina	19	10603	TRUE	6	0	0	COIM_WEP	80503	52	Recipe_EaredDagger_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	24	21137	Quartz_Ref	24	0	None	0	0	None	0	0	None	0	60603	EaredDagger_Elite	1
Adelina	19	10604	TRUE	6	0	0	COIM_WEP	80504	68	Recipe_Xiphos_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	24	21140	SilverBulk	24	0	None	0	0	None	0	0	None	0	60604	Xiphos_Elite	1
Adelina	19	10701	TRUE	6	0	0	COIM_WEP	80601	52	Recipe_Maingauche_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	24	21137	Quartz_Ref	24	0	None	0	0	None	0	0	None	0	60701	Maingauche_Elite	1
Adelina	19	10702	TRUE	6	0	0	COIM_WEP	80602	68	Recipe_SplittedDagger_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	24	21140	SilverBulk	24	0	None	0	0	None	0	0	None	0	60702	SplittedDagger_Elite	1
Claude	8	10901	TRUE	6	0	0	REB_WEP	80701	52	Recipe_LegGuard_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	24	21137	Quartz_Ref	24	0	None	0	0	None	0	0	None	0	60901	LegGuard_Elite	1
Claude	8	10902	TRUE	6	0	0	REB_WEP	80702	68	Recipe_WindLegGuard_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	24	21140	SilverBulk	24	0	None	0	0	None	0	0	None	0	60902	WindLegGuard_Elite	1
Grace	6	11001	TRUE	6	0	0	REB_GUNS	80801	36	Recipe_Handgun_Elite	21812	BlueJewel2	2	21602	CastIron	14	21104	Aidanium	26	21105	Etretanium	26	0	None	0	0	None	0	0	None	0	61001	Handgun_Elite	1
Grace	6	11002	TRUE	6	0	0	REB_GUNS	80802	52	Recipe_Chassepot_Elite	21813	BlueJewel3	1	21602	CastIron	18	21106	SilverPiece	26	21137	Quartz_Ref	26	0	None	0	0	None	0	0	None	0	61002	Chassepot_Elite	1
Grace	6	11003	TRUE	6	0	0	REB_GUNS	80803	68	Recipe_Revolver_Elite	21813	BlueJewel3	2	21602	CastIron	22	21138	Aidanium_Ref	26	21140	SilverBulk	26	0	None	0	0	None	0	0	None	0	61003	Revolver_Elite	1
Grace	6	11102	TRUE	6	0	0	REB_GUNS	80902	36	Recipe_Wheellocker_Elite	21812	BlueJewel2	2	21602	CastIron	14	21104	Aidanium	72	21105	Etretanium	72	0	None	0	0	None	0	0	None	0	61102	Wheellocker_Elite	1
Grace	6	11103	TRUE	6	0	0	REB_GUNS	80903	52	Recipe_BrownBess_Elite	21813	BlueJewel3	1	21602	CastIron	18	21106	SilverPiece	72	21137	Quartz_Ref	72	0	None	0	0	None	0	0	None	0	61103	BrownBess_Elite	1
Grace	6	11104	TRUE	6	0	0	REB_GUNS	80904	68	Recipe_Dreyse_Elite	21813	BlueJewel3	2	21602	CastIron	22	21138	Aidanium_Ref	72	21140	SilverBulk	72	0	None	0	0	None	0	0	None	0	61104	Dreyse_Elite	1
Lorch	26	11201	TRUE	6	0	0	AUCH_LORCH	81001	52	Recipe_Shotgun_Elite	21813	BlueJewel3	1	21602	CastIron	18	21106	SilverPiece	78	21137	Quartz_Ref	78	0	None	0	0	None	0	0	None	0	61201	Shotgun_Elite	1
Lorch	26	11202	TRUE	6	0	0	AUCH_LORCH	81002	68	Recipe_SemiautoShotgun_Elite	21813	BlueJewel3	2	21602	CastIron	22	21138	Aidanium_Ref	78	21140	SilverBulk	78	0	None	0	0	None	0	0	None	0	61202	SemiautoShotgun_Elite	1
Jose	18	11301	TRUE	6	0	0	COIM_SOLM	81101	52	Recipe_RecoillessCannon_Elite	21813	BlueJewel3	1	21602	CastIron	18	21106	SilverPiece	84	21137	Quartz_Ref	84	0	None	0	0	None	0	0	None	0	61301	RecoillessCannon_Elite	1
Jose	18	11302	TRUE	6	0	0	COIM_SOLM	81102	68	Recipe_AutomaticCannon_Elite	21813	BlueJewel3	2	21602	CastIron	22	21138	Aidanium_Ref	84	21140	SilverBulk	84	0	None	0	0	None	0	0	None	0	61302	AutomaticCannon_Elite	1
Idge	7	11902	TRUE	6	0	0	REB_SMITH	82002	36	Recipe_Buckler_Elite	21807	RedJewel2	2	21601	CompositeSteel	14	21104	Aidanium	24	21105	Etretanium	24	0	None	0	0	None	0	0	None	0	61902	Buckler_Elite	1
Idge	7	11903	TRUE	6	0	0	REB_SMITH	82003	52	Recipe_IronShield_Elite	21808	RedJewel3	1	21601	CompositeSteel	18	21106	SilverPiece	24	21137	Quartz_Ref	24	0	None	0	0	None	0	0	None	0	61903	IronShield_Elite	1
Idge	7	11904	TRUE	6	0	0	REB_SMITH	82004	68	Recipe_TemplarGuard_Elite	21808	RedJewel3	2	21601	CompositeSteel	22	21138	Aidanium_Ref	24	21140	SilverBulk	24	0	None	0	0	None	0	0	None	0	61904	TemplarGuard_Elite	1
MBoma	20	12102	TRUE	6	0	0	COIM_MAIN2	82102	36	Recipe_JewelRod_Elite	21817	GreenJewel2	2	21603	Juniper	14	21104	Aidanium	66	21105	Etretanium	66	0	None	0	0	None	0	0	None	0	62102	JewelRod_Elite	1
MBoma	20	12103	TRUE	6	0	0	COIM_MAIN2	82103	52	Recipe_MageRod_Elite	21818	GreenJewel3	1	21603	Juniper	18	21106	SilverPiece	66	21137	Quartz_Ref	66	0	None	0	0	None	0	0	None	0	62103	MageRod_Elite	1
