AccomplishID	AccomplishName	AccomplishPoint	CheckProperty	CheckType	ClassID	ClassName	Desc	IsContinue	RewardItem	Stage	SysMsg	Title	Type
1	LatestMaxCommLv	6	LatestMaxCommLv, 3	CommProp	1	LatestMaxCommLv3	<$>161302</>	TRUE	21375, 20	1	<$>161303</>	<$>161301</>	General
1	LatestMaxCommLv	10	LatestMaxCommLv, 5	CommProp	2	LatestMaxCommLv5	<$>161305</>	TRUE	75330, 1	2	<$>161303</>	<$>161304</>	General
1	LatestMaxCommLv	14	LatestMaxCommLv, 7	CommProp	3	LatestMaxCommLv7	<$>161307</>	TRUE	75330, 1	3	<$>161303</>	<$>161306</>	General
1	LatestMaxCommLv	20	LatestMaxCommLv, 10	CommProp	4	LatestMaxCommLv10	<$>161309</>	TRUE	20586, 10	4	<$>161303</>	<$>161308</>	General
1	LatestMaxCommLv	32	LatestMaxCommLv, 15	CommProp	5	LatestMaxCommLv15	<$>161311</>	TRUE	160011, 10	5	<$>161303</>	<$>161310</>	General
1	LatestMaxCommLv	44	LatestMaxCommLv, 20	CommProp	6	LatestMaxCommLv20	<$>161313</>	TRUE	157182, 20	6	<$>161303</>	<$>161312</>	General
1	LatestMaxCommLv	58	LatestMaxCommLv, 25	CommProp	7	LatestMaxCommLv25	<$>161315</>	TRUE	88300, 1	7	<$>161303</>	<$>161314</>	General
1	LatestMaxCommLv	72	LatestMaxCommLv, 30	CommProp	8	LatestMaxCommLv30	<$>161317</>	TRUE	89065, 1	8	<$>161303</>	<$>161316</>	General
1	LatestMaxCommLv	88	LatestMaxCommLv, 35	CommProp	9	LatestMaxCommLv35	<$>161319</>	TRUE	88516, 1	9	<$>161303</>	<$>161318</>	General
1	LatestMaxCommLv	104	LatestMaxCommLv, 40	CommProp	10	LatestMaxCommLv40	<$>161321</>	TRUE	88517, 1	10	<$>161303</>	<$>161320</>	General
1	LatestMaxCommLv	122	LatestMaxCommLv, 45	CommProp	11	LatestMaxCommLv45	<$>161323</>	TRUE	88300, 1	11	<$>161303</>	<$>161322</>	General
1	LatestMaxCommLv	140	LatestMaxCommLv, 50	CommProp	12	LatestMaxCommLv50	<$>161325</>	TRUE	89065, 1	12	<$>161303</>	<$>161324</>	General
1	LatestMaxCommLv	160	LatestMaxCommLv, 55	CommProp	13	LatestMaxCommLv55	<$>161327</>	TRUE	88351, 1	13	<$>161303</>	<$>161326</>	General
1	LatestMaxCommLv	180	LatestMaxCommLv, 60	CommProp	14	LatestMaxCommLv60	<$>161329</>	TRUE	88265, 1	14	<$>161303</>	<$>161328</>	General
1	LatestMaxCommLv	202	LatestMaxCommLv, 65	CommProp	15	LatestMaxCommLv65	<$>161331</>	TRUE	20587, 10	15	<$>161303</>	<$>161330</>	General
1	LatestMaxCommLv	224	LatestMaxCommLv, 70	CommProp	16	LatestMaxCommLv70	<$>161333</>	TRUE	160011, 10	16	<$>161303</>	<$>161332</>	General
1	LatestMaxCommLv	248	LatestMaxCommLv, 75	CommProp	17	LatestMaxCommLv75	<$>161335</>	TRUE	189601, 1	17	<$>161303</>	<$>161334</>	General
1	LatestMaxCommLv	272	LatestMaxCommLv, 80	CommProp	18	LatestMaxCommLv80	<$>161337</>	TRUE	88259, 1	18	<$>161303</>	<$>161336</>	General
201	CommPlay	10	AP_AttendanceCheck, 1	CommProp	201	Game1	<$>161339</>	TRUE	20084, 20	1	<$>161303</>	<$>161338</>	General
201	CommPlay	70	AP_AttendanceCheck, 7	CommProp	202	Game2	<$>230682</>	TRUE	21375, 30	2	<$>161303</>	<$>161340</>	General
201	CommPlay	300	AP_AttendanceCheck, 30	CommProp	203	Game3	<$>230683</>	TRUE	88429, 1	3	<$>161303</>	<$>161342</>	General
201	CommPlay	900	AP_AttendanceCheck, 90	CommProp	204	Game4	<$>230684</>	TRUE	189601, 1	4	<$>161303</>	<$>161344</>	General
201	CommPlay	1800	AP_AttendanceCheck, 180	CommProp	205	Game5	<$>230685</>	TRUE	88259, 1	5	<$>161303</>	<$>161346</>	General
201	CommPlay	3650	AP_AttendanceCheck, 365	CommProp	206	Game6	<$>230686</>	TRUE	88259, 1	6	<$>161303</>	<$>161348</>	General
201	CommPlay	7300	AP_AttendanceCheck, 730	CommProp	207	Game7	<$>230687</>	TRUE	88259, 1	7	<$>161303</>	<$>161350</>	General
201	CommPlay	10950	AP_AttendanceCheck, 1095	CommProp	208	Game8	<$>230688</>	TRUE	88259, 1	8	<$>161303</>	<$>161352</>	General
201	CommPlay	14600	AP_AttendanceCheck, 1460	CommProp	209	Game9	<$>230689</>	TRUE	88259, 1	9	<$>161303</>	<$>161354</>	General
201	CommPlay	18250	AP_AttendanceCheck, 1825	CommProp	210	Game10	<$>230690</>	TRUE	88259, 1	10	<$>161303</>	<$>161356</>	General
301	GetMoney	1	AP_GetMoney, 100000	CommProp	301	GetMoney1	<$>161359</>	FALSE	21212, 1	1	<$>161303</>	<$>161358</>	General
301	GetMoney	4	AP_GetMoney, 1000000	CommProp	302	GetMoney2	<$>161361</>	FALSE	21803, 1	2	<$>161303</>	<$>161360</>	General
301	GetMoney	7	AP_GetMoney, 5000000	CommProp	303	GetMoney3	<$>161363</>	FALSE	21803, 5	3	<$>161303</>	<$>161362</>	General
301	GetMoney	10	AP_GetMoney, 10000000	CommProp	304	GetMoney4	<$>161365</>	FALSE	21803, 5	4	<$>161303</>	<$>161364</>	General
301	GetMoney	25	AP_GetMoney, 50000000	CommProp	305	GetMoney5	<$>161367</>	FALSE	21803, 10	5	<$>161303</>	<$>161366</>	General
301	GetMoney	50	AP_GetMoney, 100000000	CommProp	306	GetMoney6	<$>161369</>	FALSE	21803, 10	6	<$>161303</>	<$>161368</>	General
301	GetMoney	150	AP_GetMoney, 300000000	CommProp	307	GetMoney7	<$>165077</>	FALSE	21803, 10	7	<$>161303</>	<$>163873</>	General
301	GetMoney	250	AP_GetMoney, 500000000	CommProp	308	GetMoney8	<$>165078</>	FALSE	21803, 10	8	<$>161303</>	<$>161370</>	General
301	GetMoney	350	AP_GetMoney, 700000000	CommProp	309	GetMoney9	<$>165079</>	FALSE	21803, 10	9	<$>161303</>	<$>163874</>	General
301	GetMoney	500	AP_GetMoney, 1000000000	CommProp	310	GetMoney10	<$>161373</>	FALSE	21803, 10	10	<$>161303</>	<$>163875</>	General
301	GetMoney	750	AP_GetMoney, 1500000000	CommProp	311	GetMoney11	<$>165080</>	FALSE	21803, 10	11	<$>161303</>	<$>163876</>	General
301	GetMoney	1000	AP_GetMoney, 2000000000	CommProp	312	GetMoney12	<$>161396</>	FALSE	26117, 1	12	<$>161303</>	<$>163877</>	General
501	AP_Point	0	accomplishmentPoint, 1000	CommProp	501	AP_Point1	<$>163879</>	TRUE	155048, 1	1	<$>161303</>	<$>163878</>	General
501	AP_Point	0	accomplishmentPoint, 3000	CommProp	502	AP_Point2	<$>163881</>	TRUE	22572, 1	2	<$>161303</>	<$>163880</>	General
501	AP_Point	0	accomplishmentPoint, 5000	CommProp	503	AP_Point3	<$>163883</>	TRUE	22597, 1	3	<$>161303</>	<$>163882</>	General
501	AP_Point	0	accomplishmentPoint, 10000	CommProp	504	AP_Point4	<$>163885</>	TRUE	22606, 1	4	<$>161303</>	<$>163884</>	General
501	AP_Point	0	accomplishmentPoint, 20000	CommProp	505	AP_Point5	<$>163887</>	TRUE	22588, 1	5	<$>161303</>	<$>163886</>	General
501	AP_Point	0	accomplishmentPoint, 50000	CommProp	506	AP_Point6	<$>163889</>	TRUE	22580, 1	6	<$>161303</>	<$>163888</>	General
501	AP_Point	0	accomplishmentPoint, 100000	CommProp	507	AP_Point7	<$>163891</>	TRUE	26125, 1	7	<$>161303</>	<$>163890</>	General
1101	Undeadkill	1	Undead, 100	MonKill	1101	Undead1	<$>161419</>	FALSE	20964, 2	1	<$>161303</>	<$>161418</>	Battle_PVE
1101	Undeadkill	2	Undead, 1000	MonKill	1102	Undead2	<$>161420</>	FALSE	23441, 3	2	<$>161303</>	U - 1000	Battle_PVE
1101	Undeadkill	3	Undead, 1500	MonKill	1103	Undead3	<$>161421</>	FALSE	23442, 3	3	<$>161303</>	U - 1500	Battle_PVE
1101	Undeadkill	4	Undead, 2000	MonKill	1104	Undead4	<$>161423</>	FALSE	23443, 3	4	<$>161303</>	<$>161422</>	Battle_PVE
1101	Undeadkill	5	Undead, 5000	MonKill	1105	Undead5	<$>161425</>	FALSE	20964, 10	5	<$>161303</>	<$>161424</>	Battle_PVE
1101	Undeadkill	6	Undead, 10000	MonKill	1106	Undead6	<$>161427</>	FALSE	23441, 15	6	<$>161303</>	<$>161426</>	Battle_PVE
1101	Undeadkill	7	Undead, 20000	MonKill	1107	Undead7	<$>161429</>	FALSE	23442, 15	7	<$>161303</>	<$>161428</>	Battle_PVE
1101	Undeadkill	8	Undead, 30000	MonKill	1108	Undead8	<$>161431</>	FALSE	23443, 15	8	<$>161303</>	<$>161430</>	Battle_PVE
1101	Undeadkill	9	Undead, 50000	MonKill	1109	Undead9	<$>161433</>	FALSE	189147, 5	9	<$>161303</>	<$>161432</>	Battle_PVE
1101	Undeadkill	10	Undead, 100000	MonKill	1110	Undead10	<$>161435</>	FALSE	189147, 5	10	<$>161303</>	<$>161434</>	Battle_PVE
1101	Undeadkill	15	Undead, 1000000	MonKill	1111	Undead11	<$>161437</>	FALSE	189147, 5	11	<$>161303</>	<$>161436</>	Battle_PVE
1101	Undeadkill	20	Undead, 10000000	MonKill	1112	Undead12	<$>161439</>	FALSE	189147, 5	12	<$>161303</>	<$>161438</>	Battle_PVE
1101	Undeadkill	25	Undead, 30000000	MonKill	1113	Undead13	<$>161441</>	FALSE	189147, 10	13	<$>161303</>	<$>161440</>	Battle_PVE
1101	Undeadkill	30	Undead, 50000000	MonKill	1114	Undead14	<$>161443</>	FALSE	189147, 10	14	<$>161303</>	<$>161442</>	Battle_PVE
1101	Undeadkill	40	Undead, 80000000	MonKill	1115	Undead15	<$>161445</>	FALSE	189147, 10	15	<$>161303</>	<$>161444</>	Battle_PVE
1101	Undeadkill	50	Undead, 100000000	MonKill	1116	Undead16	<$>161447</>	FALSE	189147, 10	16	<$>161303</>	<$>161446</>	Battle_PVE
1101	Undeadkill	75	Undead, 150000000	MonKill	1117	Undead17	<$>161449</>	FALSE	189147, 20	17	<$>161303</>	<$>161448</>	Battle_PVE
1101	Undeadkill	100	Undead, 200000000	MonKill	1118	Undead18	<$>161451</>	FALSE	189147, 20	18	<$>161303</>	<$>161450</>	Battle_PVE
1101	Undeadkill	125	Undead, 250000000	MonKill	1119	Undead19	<$>161453</>	FALSE	189147, 20	19	<$>161303</>	<$>161452</>	Battle_PVE
